slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,12.661717171717171,28.0,23.0,26.0,25.163636363636364,32.45909090909091,9,64,9,992,6890,19.65,26.0,15.5264,28.0
51,12.752020202020201,29.0,24.0,27.0,25.36969696969697,32.72222222222222,12,73,12,468,3066,20.01,27.0,15.5872,29.0
52,12.956363636363637,29.0,24.0,27.0,25.80808080808081,33.20141414141414,14,57,14,380,2135,20.45,28.0,15.8608,29.0
53,12.848484848484848,30.0,25.0,28.0,26.193939393939395,33.2460606060606,24,59,21,533,3939,20.77,28.0,15.4888,30.0
54,12.970404040404041,31.0,25.0,28.0,26.76161616161616,33.70515151515151,15,58,15,366,2357,21.19,28.0,15.6148,31.0
55,13.022323232323233,29.0,25.0,29.0,27.44848484848485,33.86949494949495,12,67,12,594,3545,21.57,29.0,15.802,29.0
56,13.185454545454546,30.0,26.0,29.0,27.905050505050504,34.36151515151515,17,54,16,358,2147,21.738,30.0,16.0592,29.0
57,13.451515151515151,31.0,26.0,29.0,28.270707070707072,35.00181818181818,19,64,16,317,1425,22.098,31.0,16.4716,30.0
58,13.77969696969697,31.0,26.0,30.0,28.818181818181817,35.752020202020205,18,53,16,179,1008,22.438,31.0,16.8964,31.0
59,14.101717171717171,32.0,27.0,31.0,29.15959595959596,36.54313131313131,13,66,13,179,871,22.858,32.0,17.2964,31.0
60,14.355858585858586,32.0,27.0,32.0,29.492929292929293,37.24535353535354,7,32,6,221,1147,23.158,32.0,17.6412,32.0
61,14.540606060606061,32.0,28.0,32.0,29.743434343434345,37.90050505050505,18,64,16,282,1339,23.458,32.0,17.9812,32.0
62,14.524242424242424,33.0,28.0,32.0,29.97979797979798,37.73414141414141,18,64,18,689,4815,23.27,33.0,18.3232,33.0
63,14.66,33.0,28.0,33.0,30.161616161616163,38.21272727272727,19,58,16,345,2121,23.63,33.0,18.3776,33.0
64,14.781313131313132,34.0,29.0,33.0,30.731313131313133,38.59070707070707,24,48,17,360,2660,23.2548,34.0,18.73,33.0
65,14.842121212121212,34.0,28.0,32.0,30.68686868686869,38.80858585858586,15,64,13,457,3259,22.8804,34.0,19.0272,33.0
66,14.601212121212122,34.0,29.0,32.0,30.715151515151515,38.29979797979798,12,62,11,850,6147,22.5284,34.0,19.094,33.0
67,14.697676767676768,34.0,29.0,33.0,31.125252525252524,38.38959595959596,12,60,12,513,3500,23.0484,34.0,19.4264,33.0
68,14.487474747474748,34.0,29.0,32.0,31.068686868686868,38.223232323232324,10,59,10,672,4853,22.0888,34.0,19.7864,33.0
69,14.677979797979798,35.0,29.0,33.0,31.496969696969696,38.6320202020202,17,57,15,363,2272,22.5088,35.0,20.1588,34.0
70,14.873737373737374,35.0,29.0,33.0,31.65858585858586,38.94232323232323,15,56,14,413,2814,22.5188,35.0,20.596,35.0
71,14.597474747474747,36.0,29.0,34.0,31.486868686868686,38.3750505050505,13,64,11,835,6596,21.1988,36.0,20.8056,35.0
72,14.40939393939394,37.0,28.0,33.0,30.97171717171717,38.11646464646465,14,60,13,725,5228,20.1712,37.0,21.198,35.0
73,14.53141414141414,38.0,28.0,33.0,31.135353535353534,38.54939393939394,16,52,13,373,2257,20.2524,38.0,21.4152,36.0
74,14.614141414141415,39.0,29.0,32.01000000000022,31.412121212121214,38.852929292929296,13,65,13,395,2745,20.46,39.0,21.4248,36.0
75,14.831414141414141,39.0,29.0,33.01000000000022,31.737373737373737,39.30020202020202,15,58,13,334,2007,20.6012,39.0,21.9448,36.0
76,14.906060606060606,40.0,29.0,33.0,31.644444444444446,39.42717171717172,16,69,15,492,3518,20.61,40.0,22.2496,34.0
77,15.155555555555555,40.0,30.0,34.0,32.19191919191919,40.01959595959596,10,64,10,280,1490,20.93,40.0,22.7296,35.0
78,15.162121212121212,40.0,30.0,34.0,32.32525252525252,40.091818181818184,13,62,12,524,3598,20.8148,40.0,23.1096,35.0
79,15.383333333333333,40.0,30.0,34.0,32.82222222222222,40.63666666666666,15,69,14,318,1770,21.2284,40.0,23.4332,35.0
80,15.723131313131313,40.0,31.0,35.0,33.571717171717175,41.355858585858584,13,61,13,194,1091,21.7484,40.0,23.8132,36.0
81,16.04080808080808,41.0,32.0,36.0,34.17777777777778,42.02989898989899,14,59,14,233,1211,22.0524,41.0,24.2932,36.0
82,16.303232323232322,42.0,32.0,36.0,34.49292929292929,42.649595959595956,12,57,12,283,1461,22.4444,42.0,24.6732,36.0
