source,version,generation_slot,completion_slot,delay,completed
1,1,0,89,89,True
18,1,0,89,89,True
19,1,0,89,89,True
21,1,0,89,89,True
22,1,0,89,89,True
25,1,0,95,95,True
30,1,0,89,89,True
37,1,0,89,89,True
39,1,0,89,89,True
48,1,0,89,89,True
50,1,0,55,55,True
60,1,0,55,55,True
64,1,0,55,55,True
76,1,0,55,55,True
78,1,0,55,55,True
86,1,0,55,55,True
93,1,0,55,55,True
94,1,0,121,121,True
95,1,0,121,121,True
0,1,1,89,88,True
10,1,1,89,88,True
11,1,1,89,88,True
12,1,1,89,88,True
18,2,1,89,88,True
20,1,1,89,88,True
23,1,1,89,88,True
26,1,1,89,88,True
41,1,1,89,88,True
46,1,1,89,88,True
50,2,1,55,54,True
53,1,1,55,54,True
57,1,1,55,54,True
60,2,1,55,54,True
70,1,1,76,75,True
75,1,1,55,54,True
82,1,1,55,54,True
90,1,1,55,54,True
91,1,1,55,54,True
96,1,1,55,54,True
4,1,2,89,87,True
13,1,2,89,87,True
15,1,2,89,87,True
17,1,2,89,87,True
30,2,2,89,87,True
40,1,2,89,87,True
44,1,2,89,87,True
74,1,2,55,53,True
80,1,2,55,53,True
81,1,2,55,53,True
82,2,2,55,53,True
83,1,2,55,53,True
84,1,2,55,53,True
85,1,2,55,53,True
90,2,2,55,53,True
98,1,2,55,53,True
10,2,3,89,86,True
17,2,3,89,86,True
20,2,3,89,86,True
31,1,3,89,86,True
34,1,3,89,86,True
38,1,3,89,86,True
51,1,3,55,52,True
57,2,3,55,52,True
59,1,3,55,52,True
60,3,3,55,52,True
62,1,3,55,52,True
79,1,3,55,52,True
81,2,3,55,52,True
87,1,3,55,52,True
93,2,3,55,52,True
95,2,3,121,118,True
96,2,3,55,52,True
11,2,4,89,85,True
12,2,4,89,85,True
15,2,4,89,85,True
21,2,4,89,85,True
27,1,4,89,85,True
30,3,4,89,85,True
33,1,4,89,85,True
35,1,4,89,85,True
39,2,4,89,85,True
48,2,4,107,103,True
52,1,4,76,72,True
56,1,4,55,51,True
60,4,4,55,51,True
62,2,4,55,51,True
66,1,4,55,51,True
75,2,4,55,51,True
78,2,4,55,51,True
80,2,4,55,51,True
82,3,4,55,51,True
85,2,4,55,51,True
93,3,4,55,51,True
94,2,4,121,117,True
1,2,5,89,84,True
3,1,5,89,84,True
4,2,5,89,84,True
6,1,5,89,84,True
7,1,5,89,84,True
12,3,5,89,84,True
14,1,5,89,84,True
19,2,5,89,84,True
31,2,5,89,84,True
38,2,5,89,84,True
39,3,5,89,84,True
41,2,5,89,84,True
44,2,5,89,84,True
46,2,5,89,84,True
62,3,5,55,50,True
64,2,5,76,71,True
65,1,5,55,50,True
73,1,5,55,50,True
74,2,5,55,50,True
85,3,5,55,50,True
88,1,5,121,116,True
89,1,5,55,50,True
1,3,6,89,83,True
5,1,6,95,89,True
8,1,6,89,83,True
15,3,6,89,83,True
23,2,6,89,83,True
24,1,6,89,83,True
35,2,6,89,83,True
52,2,6,76,70,True
53,2,6,55,49,True
59,2,6,55,49,True
62,4,6,55,49,True
64,3,6,76,70,True
72,1,6,55,49,True
75,3,6,55,49,True
76,2,6,55,49,True
82,4,6,55,49,True
86,2,6,55,49,True
87,2,6,55,49,True
88,2,6,121,115,True
92,1,6,55,49,True
95,3,6,121,115,True
3,2,7,89,82,True
5,2,7,95,88,True
11,3,7,89,82,True
21,3,7,89,82,True
26,2,7,89,82,True
29,1,7,89,82,True
32,1,7,89,82,True
39,4,7,89,82,True
50,3,7,55,48,True
60,5,7,55,48,True
70,2,7,76,69,True
74,3,7,55,48,True
78,3,7,55,48,True
88,3,7,121,114,True
90,3,7,55,48,True
97,1,7,55,48,True
6,2,8,89,81,True
11,4,8,89,81,True
16,1,8,95,87,True
19,3,8,89,81,True
23,3,8,89,81,True
26,3,8,89,81,True
32,2,8,89,81,True
52,3,8,76,68,True
57,3,8,55,47,True
59,3,8,55,47,True
65,2,8,55,47,True
66,2,8,55,47,True
67,1,8,55,47,True
69,1,8,55,47,True
73,2,8,55,47,True
78,4,8,55,47,True
80,3,8,55,47,True
82,5,8,55,47,True
89,2,8,55,47,True
94,3,8,121,113,True
97,2,8,55,47,True
0,2,9,89,80,True
5,3,9,95,86,True
12,4,9,89,80,True
21,4,9,89,80,True
24,2,9,89,80,True
32,3,9,89,80,True
36,1,9,89,80,True
38,3,9,89,80,True
40,2,9,89,80,True
42,1,9,89,80,True
44,3,9,89,80,True
55,1,9,55,46,True
56,2,9,55,46,True
63,1,9,55,46,True
65,3,9,55,46,True
66,3,9,55,46,True
67,2,9,55,46,True
79,2,9,55,46,True
81,3,9,55,46,True
84,2,9,121,112,True
94,4,9,121,112,True
99,1,9,55,46,True
9,1,10,89,79,True
13,2,10,89,79,True
14,2,10,89,79,True
16,2,10,95,85,True
19,4,10,89,79,True
20,3,10,89,79,True
21,5,10,89,79,True
22,2,10,89,79,True
24,3,10,89,79,True
33,2,10,89,79,True
41,3,10,89,79,True
50,4,10,121,111,True
51,2,10,121,111,True
53,3,10,55,45,True
62,5,10,55,45,True
75,4,10,55,45,True
85,4,10,76,66,True
88,4,10,121,111,True
92,2,10,55,45,True
95,4,10,121,111,True
98,2,10,55,45,True
0,3,11,89,78,True
8,2,11,107,96,True
11,5,11,89,78,True
14,3,11,89,78,True
25,2,11,95,84,True
26,4,11,89,78,True
29,2,11,89,78,True
33,3,11,89,78,True
34,2,11,89,78,True
44,4,11,89,78,True
48,3,11,107,96,True
51,3,11,121,110,True
65,4,11,55,44,True
66,4,11,55,44,True
67,3,11,121,110,True
78,5,11,55,44,True
83,2,11,55,44,True
86,3,11,55,44,True
90,4,11,55,44,True
6,3,12,89,77,True
8,3,12,107,95,True
12,5,12,89,77,True
14,4,12,89,77,True
20,4,12,89,77,True
26,5,12,89,77,True
27,2,12,89,77,True
32,4,12,107,95,True
37,2,12,89,77,True
49,1,12,89,77,True
54,1,12,55,43,True
58,1,12,55,43,True
59,4,12,55,43,True
64,4,12,76,64,True
76,3,12,55,43,True
79,3,12,55,43,True
97,3,12,55,43,True
4,3,13,89,76,True
13,3,13,89,76,True
18,3,13,89,76,True
24,4,13,89,76,True
34,3,13,89,76,True
37,3,13,89,76,True
47,1,13,95,82,True
48,4,13,107,94,True
49,2,13,89,76,True
53,4,13,121,108,True
61,1,13,55,42,True
62,6,13,55,42,True
67,4,13,121,108,True
77,1,13,55,42,True
81,4,13,55,42,True
87,3,13,55,42,True
2,1,14,107,93,True
6,4,14,89,75,True
13,4,14,89,75,True
35,3,14,89,75,True
36,2,14,89,75,True
37,4,14,89,75,True
38,4,14,95,81,True
46,3,14,107,93,True
53,5,14,121,107,True
60,6,14,55,41,True
62,7,14,55,41,True
70,3,14,76,62,True
75,5,14,76,62,True
81,5,14,55,41,True
88,5,14,121,107,True
90,5,14,55,41,True
97,4,14,55,41,True
0,4,15,89,74,True
5,4,15,95,80,True
10,3,15,89,74,True
13,5,15,89,74,True
15,4,15,107,92,True
23,4,15,89,74,True
27,3,15,89,74,True
30,4,15,89,74,True
31,3,15,89,74,True
33,4,15,89,74,True
37,5,15,89,74,True
42,2,15,89,74,True
46,4,15,107,92,True
54,2,15,55,40,True
66,5,15,121,106,True
67,5,15,121,106,True
70,4,15,76,61,True
73,3,15,55,40,True
92,3,15,55,40,True
10,4,16,89,73,True
12,6,16,89,73,True
22,3,16,107,91,True
24,5,16,89,73,True
25,3,16,95,79,True
26,6,16,89,73,True
27,4,16,89,73,True
31,4,16,89,73,True
39,5,16,89,73,True
41,4,16,89,73,True
50,5,16,121,105,True
65,5,16,55,39,True
67,6,16,121,105,True
73,4,16,55,39,True
78,6,16,55,39,True
81,6,16,55,39,True
83,3,16,55,39,True
89,3,16,55,39,True
96,3,16,55,39,True
7,2,17,89,72,True
15,5,17,107,90,True
18,4,17,89,72,True
31,5,17,89,72,True
32,5,17,107,90,True
33,5,17,89,72,True
34,4,17,89,72,True
38,5,17,95,78,True
41,5,17,89,72,True
43,1,17,95,78,True
45,1,17,89,72,True
46,5,17,107,90,True
47,2,17,95,78,True
58,2,17,121,104,True
59,5,17,76,59,True
61,2,17,55,38,True
62,8,17,121,104,True
82,6,17,76,59,True
85,5,17,76,59,True
87,4,17,55,38,True
90,6,17,55,38,True
93,4,17,55,38,True
4,4,18,89,71,True
10,5,18,89,71,True
14,5,18,89,71,True
15,6,18,107,89,True
17,3,18,89,71,True
30,5,18,89,71,True
34,5,18,89,71,True
42,3,18,89,71,True
46,6,18,107,89,True
49,3,18,89,71,True
51,4,18,121,103,True
62,9,18,121,103,True
63,2,18,76,58,True
68,1,18,56,38,True
70,5,18,76,58,True
72,2,18,121,103,True
75,6,18,76,58,True
87,5,18,55,37,True
92,4,18,55,37,True
99,2,18,55,37,True
1,4,19,107,88,True
21,6,19,89,70,True
25,4,19,95,76,True
26,7,19,89,70,True
28,1,19,107,88,True
36,3,19,89,70,True
43,2,19,95,76,True
44,5,19,89,70,True
45,2,19,89,70,True
50,6,19,121,102,True
54,3,19,55,36,True
62,10,19,121,102,True
64,5,19,76,57,True
66,6,19,121,102,True
71,1,19,55,36,True
76,4,19,121,102,True
78,7,19,55,36,True
80,4,19,55,36,True
82,7,19,76,57,True
88,6,19,121,102,True
91,2,19,121,102,True
93,5,19,55,36,True
96,4,19,55,36,True
98,3,19,121,102,True
99,3,19,55,36,True
0,5,20,89,69,True
2,2,20,107,87,True
12,7,20,89,69,True
18,5,20,89,69,True
21,7,20,89,69,True
33,6,20,89,69,True
40,3,20,89,69,True
44,6,20,89,69,True
45,3,20,89,69,True
49,4,20,89,69,True
64,6,20,76,56,True
66,7,20,121,101,True
71,2,20,55,35,True
79,4,20,55,35,True
86,4,20,55,35,True
96,5,20,55,35,True
99,4,20,121,101,True
0,6,21,89,68,True
3,3,21,107,86,True
8,4,21,107,86,True
15,7,21,107,86,True
16,3,21,95,74,True
20,5,21,89,68,True
22,4,21,107,86,True
24,6,21,89,68,True
28,2,21,107,86,True
37,6,21,89,68,True
46,7,21,107,86,True
48,5,21,107,86,True
50,7,21,121,100,True
53,6,21,121,100,True
61,3,21,76,55,True
62,11,21,121,100,True
64,7,21,76,55,True
67,7,21,121,100,True
69,2,21,121,100,True
72,3,21,121,100,True
81,7,21,55,34,True
85,6,21,76,55,True
94,5,21,121,100,True
0,7,22,89,67,True
2,3,22,107,85,True
13,6,22,89,67,True
20,6,22,89,67,True
22,5,22,107,85,True
24,7,22,89,67,True
31,6,22,89,67,True
36,4,22,89,67,True
38,6,22,95,73,True
40,4,22,89,67,True
48,6,22,107,85,True
53,7,22,121,99,True
57,4,22,121,99,True
60,7,22,55,33,True
66,8,22,121,99,True
83,4,22,55,33,True
93,6,22,76,54,True
94,6,22,121,99,True
97,5,22,55,33,True
3,4,23,107,84,True
6,5,23,89,66,True
18,6,23,107,84,True
22,6,23,107,84,True
35,4,23,89,66,True
48,7,23,107,84,True
56,3,23,121,98,True
57,5,23,121,98,True
60,8,23,55,32,True
63,3,23,76,53,True
67,8,23,121,98,True
69,3,23,121,98,True
75,7,23,76,53,True
77,2,23,121,98,True
81,8,23,121,98,True
87,6,23,55,32,True
91,3,23,121,98,True
3,5,24,107,83,True
10,6,24,89,65,True
11,6,24,89,65,True
13,7,24,89,65,True
14,6,24,89,65,True
16,4,24,95,71,True
18,7,24,107,83,True
22,7,24,107,83,True
25,5,24,95,71,True
27,5,24,89,65,True
31,7,24,89,65,True
32,6,24,107,83,True
37,7,24,89,65,True
39,6,24,89,65,True
40,5,24,89,65,True
41,6,24,89,65,True
45,4,24,89,65,True
49,5,24,89,65,True
51,5,24,121,97,True
59,6,24,76,52,True
61,4,24,76,52,True
64,8,24,76,52,True
66,9,24,121,97,True
69,4,24,121,97,True
72,4,24,121,97,True
73,5,24,76,52,True
79,5,24,55,31,True
80,5,24,55,31,True
84,3,24,121,97,True
8,5,25,107,82,True
11,7,25,89,64,True
17,4,25,107,82,True
19,5,25,89,64,True
20,7,25,89,64,True
22,8,25,107,82,True
23,5,25,107,82,True
35,5,25,89,64,True
40,6,25,89,64,True
43,3,25,95,70,True
44,7,25,89,64,True
46,8,25,107,82,True
50,8,25,121,96,True
52,4,25,76,51,True
56,4,25,121,96,True
57,6,25,121,96,True
59,7,25,76,51,True
77,3,25,121,96,True
78,8,25,121,96,True
82,8,25,89,64,True
88,7,25,121,96,True
99,5,25,121,96,True
6,6,26,89,63,True
10,7,26,89,63,True
13,8,26,89,63,True
20,8,26,89,63,True
29,3,26,107,81,True
32,7,26,107,81,True
34,6,26,107,81,True
47,3,26,95,69,True
51,6,26,121,95,True
58,3,26,121,95,True
61,5,26,76,50,True
72,5,26,121,95,True
79,6,26,121,95,True
82,9,26,89,63,True
84,4,26,121,95,True
85,7,26,76,50,True
86,5,26,76,50,True
90,7,26,67,41,True
93,7,26,76,50,True
97,6,26,121,95,True
99,6,26,121,95,True
6,7,27,107,80,True
9,2,27,107,80,True
10,8,27,89,62,True
11,8,27,89,62,True
