slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,6.296363636363636,16.0,13.0,14.0,13.614141414141415,33.99929292929293,9,64,9,940,3311,9.572,15.0,7.8424,16.0
51,6.3677777777777775,16.0,13.0,15.0,13.688888888888888,34.29727272727273,12,73,12,444,1471,9.772,15.0,7.894,16.0
52,6.432525252525252,16.0,13.0,15.0,14.01010101010101,34.76838383838384,14,57,14,343,1042,9.952,15.0,7.9912,16.0
53,6.375656565656565,17.0,13.0,15.0,14.335353535353535,34.85606060606061,24,59,21,525,1949,10.112,15.0,7.7972,17.0
54,6.4526262626262625,18.0,14.0,15.0,14.54949494949495,35.316464646464645,15,58,15,346,1218,10.352,15.0,7.8716,18.0
55,6.490909090909091,15.0,14.0,15.0,14.692929292929293,35.48838383838384,12,67,12,511,1700,10.512,15.0,8.006,15.0
56,6.546262626262626,16.0,14.0,16.0,15.15959595959596,35.994949494949495,17,54,16,296,1036,10.5544,16.0,8.1176,16.0
57,6.686565656565657,16.0,14.0,16.0,15.444444444444445,36.623939393939395,19,64,16,263,690,10.7344,16.0,8.3348,16.0
58,6.786161616161616,16.0,14.0,16.0,15.636363636363637,37.37080808080808,18,53,16,151,499,10.8744,16.0,8.4492,16.0
59,6.916464646464647,17.0,14.0,17.0,16.032323232323233,38.17272727272727,13,66,13,118,393,11.0344,17.0,8.6292,17.0
60,7.048686868686869,17.0,15.0,17.0,16.147474747474746,38.89727272727273,7,32,6,183,572,11.1544,17.0,8.8436,17.0
61,7.155858585858586,18.0,15.0,17.0,16.454545454545453,39.56979797979798,18,64,16,235,622,11.2944,18.0,9.0436,18.0
62,7.096363636363637,18.0,15.0,17.0,16.377777777777776,39.46121212121212,18,64,18,598,2371,11.136,18.0,9.1696,18.0
63,7.110909090909091,18.0,15.0,17.0,16.353535353535353,39.96818181818182,19,58,16,284,1044,11.236,18.0,9.1728,18.0
64,7.148080808080808,18.0,15.0,18.0,16.543434343434342,40.406565656565654,24,48,17,312,1315,10.976,18.0,9.37,18.0
65,7.2038383838383835,19.0,15.0,18.0,16.66060606060606,40.68181818181818,15,64,13,396,1626,10.8328,18.0,9.5216,19.0
66,7.062323232323232,19.0,15.0,18.0,16.78989898989899,40.24262626262626,12,62,11,748,3084,10.6512,18.0,9.522,19.0
67,7.143838383838384,19.0,15.0,18.0,16.90707070707071,40.36888888888889,12,60,12,463,1668,10.9712,18.0,9.6792,19.0
68,7.071717171717172,19.0,15.0,18.0,16.85050505050505,40.2689898989899,10,59,10,602,2397,10.5236,18.0,9.8792,19.0
69,7.143838383838384,20.0,15.0,18.0,17.232323232323232,40.677676767676765,17,57,15,325,1167,10.7036,19.0,10.0564,20.0
70,7.265555555555555,20.0,15.0,18.0,17.266666666666666,41.0149494949495,15,56,14,366,1468,10.6756,19.0,10.368,20.0
71,7.138080808080808,21.0,16.0,18.0,17.44040404040404,40.61989898989899,12,59,10,744,3242,9.9716,19.0,10.5168,21.0
72,7.039292929292929,21.0,16.0,19.0,17.67070707070707,40.44777777777778,14,60,13,647,2562,9.4496,19.0,10.694,21.0
73,7.148686868686869,21.0,16.0,20.0,17.844444444444445,40.92717171717172,16,52,13,308,1095,9.52,19.0,10.8656,21.0
74,7.242121212121212,21.0,16.0,20.0,18.056565656565656,41.26353535353535,13,65,13,336,1352,9.6628,20.0,10.9324,21.0
75,7.4,22.0,16.0,20.0,18.44040404040404,41.72181818181818,15,58,13,289,1011,9.8212,20.0,11.2124,22.0
76,7.4818181818181815,22.0,16.0,20.0,18.444444444444443,41.89121212121212,16,69,15,447,1764,9.8968,20.0,11.3868,22.0
77,7.628484848484849,23.0,16.0,20.0,19.058585858585857,42.49878787878788,10,64,10,223,726,10.0368,20.0,11.6868,23.0
78,7.578484848484848,23.0,17.0,21.0,18.97979797979798,42.589696969696966,13,62,12,459,1782,9.9216,21.0,11.8268,23.0
