source,version,generation_slot,completion_slot,delay,completed
1,1,0,89,89,True
18,1,0,52,52,True
19,1,0,52,52,True
21,1,0,52,52,True
22,1,0,52,52,True
25,1,0,60,60,True
30,1,0,52,52,True
37,1,0,41,41,True
39,1,0,89,89,True
48,1,0,89,89,True
50,1,0,66,66,True
60,1,0,66,66,True
64,1,0,113,113,True
76,1,0,82,82,True
78,1,0,82,82,True
86,1,0,60,60,True
93,1,0,60,60,True
94,1,0,82,82,True
95,1,0,82,82,True
0,1,1,52,51,True
10,1,1,52,51,True
11,1,1,52,51,True
12,1,1,52,51,True
18,2,1,52,51,True
20,1,1,52,51,True
23,1,1,89,88,True
26,1,1,89,88,True
41,1,1,89,88,True
46,1,1,52,51,True
50,2,1,66,65,True
53,1,1,66,65,True
57,1,1,82,81,True
60,2,1,66,65,True
70,1,1,66,65,True
75,1,1,66,65,True
82,1,1,60,59,True
90,1,1,82,81,True
91,1,1,82,81,True
96,1,1,66,65,True
4,1,2,89,87,True
13,1,2,52,50,True
15,1,2,52,50,True
17,1,2,89,87,True
30,2,2,52,50,True
40,1,2,52,50,True
44,1,2,52,50,True
74,1,2,66,64,True
80,1,2,66,64,True
81,1,2,66,64,True
82,2,2,60,58,True
83,1,2,66,64,True
84,1,2,113,111,True
85,1,2,66,64,True
90,2,2,82,80,True
98,1,2,82,80,True
10,2,3,52,49,True
17,2,3,89,86,True
20,2,3,52,49,True
31,1,3,52,49,True
34,1,3,89,86,True
38,1,3,89,86,True
51,1,3,82,79,True
57,2,3,82,79,True
59,1,3,113,110,True
60,3,3,66,63,True
62,1,3,82,79,True
79,1,3,66,63,True
81,2,3,66,63,True
87,1,3,82,79,True
93,2,3,60,57,True
95,2,3,82,79,True
96,2,3,66,63,True
11,2,4,52,48,True
12,2,4,52,48,True
15,2,4,52,48,True
21,2,4,52,48,True
27,1,4,52,48,True
30,3,4,52,48,True
33,1,4,52,48,True
35,1,4,52,48,True
39,2,4,89,85,True
48,2,4,89,85,True
52,1,4,82,78,True
56,1,4,82,78,True
60,4,4,66,62,True
62,2,4,82,78,True
66,1,4,82,78,True
75,2,4,66,62,True
78,2,4,82,78,True
80,2,4,66,62,True
82,3,4,60,56,True
85,2,4,66,62,True
93,3,4,66,62,True
94,2,4,113,109,True
1,2,5,89,84,True
3,1,5,89,84,True
4,2,5,89,84,True
6,1,5,89,84,True
7,1,5,89,84,True
12,3,5,59,54,True
14,1,5,89,84,True
19,2,5,52,47,True
31,2,5,52,47,True
38,2,5,89,84,True
39,3,5,89,84,True
41,2,5,89,84,True
44,2,5,52,47,True
46,2,5,52,47,True
62,3,5,82,77,True
64,2,5,113,108,True
65,1,5,66,61,True
73,1,5,66,61,True
74,2,5,66,61,True
85,3,5,66,61,True
88,1,5,82,77,True
89,1,5,66,61,True
1,3,6,89,83,True
5,1,6,89,83,True
8,1,6,89,83,True
15,3,6,52,46,True
23,2,6,89,83,True
24,1,6,89,83,True
35,2,6,52,46,True
52,2,6,82,76,True
53,2,6,82,76,True
59,2,6,113,107,True
62,4,6,82,76,True
64,3,6,113,107,True
72,1,6,82,76,True
75,3,6,82,76,True
76,2,6,82,76,True
82,4,6,60,54,True
86,2,6,82,76,True
87,2,6,82,76,True
88,2,6,82,76,True
92,1,6,66,60,True
95,3,6,82,76,True
3,2,7,89,82,True
5,2,7,89,82,True
11,3,7,52,45,True
21,3,7,52,45,True
26,2,7,89,82,True
29,1,7,52,45,True
32,1,7,89,82,True
39,4,7,89,82,True
50,3,7,82,75,True
60,5,7,66,59,True
70,2,7,82,75,True
74,3,7,66,59,True
78,3,7,82,75,True
88,3,7,82,75,True
90,3,7,82,75,True
97,1,7,66,59,True
6,2,8,89,81,True
11,4,8,52,44,True
16,1,8,60,52,True
19,3,8,89,81,True
23,3,8,89,81,True
26,3,8,89,81,True
32,2,8,89,81,True
52,3,8,82,74,True
57,3,8,82,74,True
59,3,8,113,105,True
65,2,8,66,58,True
66,2,8,82,74,True
67,1,8,82,74,True
69,1,8,82,74,True
73,2,8,113,105,True
78,4,8,82,74,True
80,3,8,82,74,True
82,5,8,66,58,True
89,2,8,66,58,True
94,3,8,113,105,True
97,2,8,82,74,True
0,2,9,89,80,True
5,3,9,89,80,True
12,4,9,59,50,True
21,4,9,52,43,True
24,2,9,89,80,True
32,3,9,89,80,True
36,1,9,89,80,True
38,3,9,89,80,True
40,2,9,52,43,True
42,1,9,117,108,True
44,3,9,59,50,True
55,1,9,66,57,True
56,2,9,82,73,True
63,1,9,82,73,True
65,3,9,66,57,True
66,3,9,82,73,True
67,2,9,82,73,True
79,2,9,82,73,True
81,3,9,82,73,True
84,2,9,113,104,True
94,4,9,113,104,True
99,1,9,82,73,True
9,1,10,89,79,True
13,2,10,52,42,True
14,2,10,89,79,True
16,2,10,60,50,True
19,4,10,89,79,True
20,3,10,89,79,True
21,5,10,52,42,True
22,2,10,52,42,True
24,3,10,89,79,True
33,2,10,52,42,True
41,3,10,89,79,True
50,4,10,82,72,True
51,2,10,113,103,True
53,3,10,82,72,True
62,5,10,82,72,True
75,4,10,82,72,True
85,4,10,82,72,True
88,4,10,82,72,True
92,2,10,82,72,True
95,4,10,82,72,True
98,2,10,82,72,True
0,3,11,89,78,True
8,2,11,89,78,True
11,5,11,52,41,True
14,3,11,89,78,True
25,2,11,89,78,True
26,4,11,89,78,True
29,2,11,89,78,True
33,3,11,89,78,True
34,2,11,89,78,True
44,4,11,59,48,True
48,3,11,89,78,True
51,3,11,113,102,True
65,4,11,82,71,True
66,4,11,82,71,True
67,3,11,82,71,True
78,5,11,82,71,True
83,2,11,82,71,True
86,3,11,82,71,True
90,4,11,82,71,True
6,3,12,119,107,True
8,3,12,89,77,True
12,5,12,89,77,True
14,4,12,89,77,True
20,4,12,89,77,True
26,5,12,89,77,True
27,2,12,89,77,True
32,4,12,119,107,True
37,2,12,89,77,True
49,1,12,89,77,True
54,1,12,66,54,True
58,1,12,82,70,True
59,4,12,113,101,True
64,4,12,113,101,True
76,3,12,82,70,True
79,3,12,82,70,True
97,3,12,82,70,True
4,3,13,119,106,True
13,3,13,89,76,True
18,3,13,89,76,True
24,4,13,89,76,True
34,3,13,89,76,True
37,3,13,89,76,True
47,1,13,89,76,True
48,4,13,89,76,True
49,2,13,89,76,True
53,4,13,82,69,True
61,1,13,113,100,True
62,6,13,82,69,True
67,4,13,113,100,True
77,1,13,82,69,True
81,4,13,82,69,True
87,3,13,82,69,True
