slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,6.774949494949495,17.0,14.0,16.0,15.357575757575757,35.99818181818182,16,50,14,253,1033,9.0396,17.0,9.06,16.0
51,6.817979797979798,17.0,14.0,16.0,15.488888888888889,36.50484848484849,8,46,8,271,1059,9.1796,17.0,9.0008,16.0
52,6.788787878787879,18.0,14.0,17.0,15.797979797979798,36.38686868686869,7,53,7,730,2467,9.2288,18.0,8.8748,17.0
53,6.8007070707070705,18.0,14.0,17.0,15.709090909090909,36.637373737373736,9,59,9,439,1565,9.38,18.0,9.0004,17.0
54,6.994242424242424,18.0,14.0,17.0,16.03030303030303,37.214747474747476,13,53,11,276,856,9.66,18.0,9.2208,17.0
55,7.103535353535354,18.0,14.0,17.0,16.1010101010101,37.8160606060606,12,53,11,237,799,9.9,18.0,9.336,17.0
56,7.004949494949495,18.0,14.0,17.0,16.13737373737374,37.29555555555555,9,52,9,779,3154,10.034,18.0,9.0228,17.0
57,7.027171717171717,18.0,14.0,17.0,16.34747474747475,37.81969696969697,13,64,12,251,968,10.134,18.0,9.1404,18.0
58,7.096666666666667,18.0,14.0,18.0,16.492929292929293,38.298080808080805,13,61,12,282,1094,10.334,18.0,9.2716,18.0
59,6.917676767676768,19.0,14.0,18.0,16.276767676767676,37.70030303030303,10,68,10,690,3455,10.534,19.0,8.4032,18.0
60,6.859191919191919,19.0,14.0,18.0,16.26060606060606,37.86313131313131,12,49,12,397,1767,10.634,19.0,8.2832,18.0
61,7.030808080808081,19.0,14.0,18.0,16.262626262626263,38.50181818181818,9,59,9,210,677,10.914,19.0,8.4236,18.0
62,7.105555555555555,19.0,14.0,18.0,16.67878787878788,38.75252525252525,13,64,12,392,1537,11.134,19.0,8.5808,19.0
63,7.229494949494949,19.0,15.0,19.0,16.79191919191919,39.29313131313131,15,57,14,267,951,11.394,19.0,8.7556,19.0
64,7.06,19.0,15.0,18.0,16.684848484848484,38.84262626262626,9,58,9,670,3064,11.594,19.0,8.1548,19.0
65,7.1595959595959595,19.0,15.0,18.0,17.038383838383837,39.34535353535354,15,63,15,311,994,11.874,19.0,7.9884,19.0
66,7.085757575757576,19.0,15.0,18.0,17.03030303030303,38.94020202020202,11,70,11,683,3008,12.174,19.0,7.5132,19.0
67,7.201818181818182,19.0,16.0,18.0,17.286868686868686,39.514545454545456,7,42,7,259,930,12.414,19.0,7.6684,19.0
68,7.254848484848485,19.0,16.0,19.0,17.397979797979797,40.2940404040404,13,54,13,137,465,12.514,19.0,7.746,19.0
69,7.143131313131313,19.0,16.0,19.0,17.52929292929293,39.7579797979798,10,68,10,668,3185,11.972,19.0,7.8348,19.0
70,7.213030303030303,20.0,16.0,19.0,17.737373737373737,40.26868686868687,14,54,12,315,991,12.112,20.0,7.9688,19.0
71,7.396262626262626,20.0,16.0,20.0,18.016161616161614,41.1430303030303,4,24,4,74,265,12.292,20.0,8.1964,20.0
72,7.436767676767677,21.0,16.0,20.0,18.18989898989899,41.44585858585859,12,55,12,356,1480,12.472,21.0,8.158,20.0
73,7.186969696969697,21.0,16.0,20.0,17.804040404040403,39.99060606060606,12,54,12,1016,5047,11.692,21.0,8.0016,20.0
74,7.171010101010101,21.0,16.0,20.0,17.87070707070707,40.354949494949494,14,57,14,329,1346,11.832,21.0,7.8564,19.0
75,7.27020202020202,21.0,16.0,20.0,18.21818181818182,40.95232323232323,10,50,10,215,800,12.012,21.0,7.9692,19.0
76,7.1860606060606065,21.0,16.0,20.0,18.11717171717172,40.76686868686868,11,67,11,596,2417,11.688,21.0,8.0624,19.0
77,7.266464646464646,21.0,17.0,20.0,18.486868686868686,41.252929292929295,13,64,13,280,1085,11.888,21.0,8.2192,19.0
78,7.181313131313131,22.0,16.0,20.0,18.65858585858586,41.036262626262626,13,77,13,531,2328,11.962,22.0,8.3344,19.0
79,7.262020202020202,23.0,17.0,20.0,18.963636363636365,41.279191919191916,15,72,15,356,1478,11.99,23.0,8.5356,19.0
80,7.4676767676767675,23.0,17.0,21.0,19.115151515151513,42.146565656565656,10,51,10,97,241,12.17,23.0,8.8156,19.0
81,7.613333333333333,23.0,17.0,21.0,19.252525252525253,42.84787878787879,8,46,7,153,538,12.37,23.0,9.0156,20.0
82,7.713737373737374,23.0,17.0,21.0,19.553535353535352,43.33616161616162,12,52,12,254,986,12.61,23.0,9.1368,20.0
83,7.748989898989899,24.0,17.0,21.0,19.705050505050504,43.45444444444445,9,68,9,535,1730,12.83,24.0,9.224,20.0
84,7.78060606060606,24.0,18.0,21.0,19.731313131313133,43.44080808080808,15,56,11,415,1964,12.818,24.0,9.4276,21.0
85,7.704646464646465,24.0,18.0,21.0,19.98181818181818,43.238181818181815,5,46,5,514,2534,12.7156,24.0,9.304,21.0
86,7.763232323232323,24.0,18.0,21.0,20.01212121212121,43.58434343434343,14,66,13,285,1301,12.6836,24.0,9.4852,21.0
87,7.814444444444445,24.0,18.0,22.0,20.044444444444444,43.80464646464647,12,57,11,369,1572,12.7176,24.0,9.7004,21.0
88,7.753737373737374,24.0,18.0,21.0,20.024242424242424,43.58565656565656,11,59,11,561,2383,12.8316,24.0,9.6028,21.0
89,7.627474747474747,24.0,18.0,21.0,20.161616161616163,43.2089898989899,18,56,16,461,2834,12.1244,24.0,9.6864,21.0
90,7.751111111111111,24.0,18.0,22.0,20.44040404040404,43.71858585858586,5,31,5,225,954,12.3044,24.0,9.8676,22.0
91,7.937171717171717,24.0,18.0,22.0,20.555555555555557,44.66,7,40,6,53,138,12.5044,24.0,10.0676,22.0
92,7.942929292929293,25.0,18.0,22.0,20.69090909090909,44.518181818181816,12,66,12,497,2319,12.5432,25.0,10.0724,22.0
93,7.853737373737374,25.0,18.0,22.0,20.408080808080808,44.23969696969697,12,53,11,460,2467,12.138,25.0,10.0396,23.0
94,7.817474747474748,25.0,18.0,22.0,20.23838383838384,44.01050505050505,9,39,7,488,2438,11.954,25.0,10.0612,23.0
95,7.667676767676768,25.0,18.0,22.0,19.763636363636362,43.45212121212121,11,59,11,581,3166,11.5288,25.0,10.0188,23.0
96,7.371515151515151,25.0,17.0,21.0,19.44848484848485,42.09121212121212,8,52,8,884,4813,10.4884,25.0,10.1376,24.0
97,7.216060606060606,25.0,17.0,20.0,19.1010101010101,41.55050505050505,8,58,8,594,3123,10.1188,25.0,10.05,19.0
98,7.272828282828283,25.0,17.0,20.0,19.1010101010101,42.03787878787879,10,61,10,276,1022,10.1528,25.0,10.2164,20.0
99,7.431212121212122,25.0,17.0,21.0,19.315151515151516,42.91919191919192,11,45,11,83,214,10.2528,25.0,10.4764,21.0
100,7.192727272727272,26.0,17.0,20.0,19.07070707070707,41.66989898989899,12,57,11,827,4539,9.5148,26.0,10.7364,21.0
101,7.066060606060606,26.0,17.0,21.0,19.054545454545455,41.20292929292929,11,65,11,627,2739,9.6748,26.0,10.1684,21.0
102,6.884545454545455,24.0,17.0,20.0,18.81010101010101,40.374848484848485,12,58,12,623,3678,9.0828,24.0,10.2168,22.0
