slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,6.182323232323232,20.0,13.0,16.0,14.987878787878788,33.635858585858585,10,71,10,311,976,9.8664,20.0,6.9956,15.0
51,6.367070707070707,20.0,14.0,16.0,15.488888888888889,34.2569696969697,9,41,8,240,745,10.0864,20.0,7.2956,16.0
52,6.4098989898989895,20.0,14.0,16.0,15.587878787878788,34.67030303030303,11,61,11,390,1160,10.2664,20.0,7.4356,16.0
53,6.545050505050505,20.0,14.0,17.0,15.698989898989899,35.50767676767677,13,66,13,144,345,10.4664,20.0,7.5756,16.0
54,6.677575757575758,20.0,14.0,17.0,16.016161616161614,36.111111111111114,16,67,15,281,866,10.7264,20.0,7.7556,16.0
55,6.776262626262627,20.0,15.0,17.0,16.286868686868686,36.803030303030305,11,60,11,205,607,10.8664,20.0,7.9356,16.0
56,6.863333333333333,20.0,15.0,17.0,16.47878787878788,36.87808080808081,15,57,13,534,1910,10.772,20.0,8.2156,17.0
57,6.943434343434343,20.0,15.0,17.0,16.68888888888889,37.357070707070704,11,62,11,360,989,10.912,20.0,8.4356,17.0
58,7.094141414141414,20.0,16.0,17.0,16.834343434343435,38.068585858585855,10,48,8,206,587,11.192,20.0,8.5756,17.0
59,7.232828282828283,20.0,16.0,17.0,17.107070707070708,38.72616161616162,11,47,10,228,706,11.432,20.0,8.7556,17.0
60,7.274141414141414,20.0,16.0,18.0,17.36969696969697,38.682626262626265,12,50,11,587,1967,11.612,20.0,8.9224,18.0
61,7.478282828282828,20.0,16.0,18.0,17.64242424242424,39.43363636363637,21,55,19,168,454,11.972,20.0,9.0624,18.0
62,7.424848484848485,20.0,16.0,19.0,17.775757575757577,39.39090909090909,17,66,16,573,2212,11.6304,20.0,9.1824,18.0
63,7.37979797979798,21.0,16.0,19.0,17.73939393939394,39.03727272727273,9,54,9,732,2921,11.1416,21.0,9.2892,18.0
64,7.406060606060606,21.0,16.0,20.0,17.824242424242424,38.724141414141414,11,58,10,669,2710,11.0536,21.0,9.5092,18.0
65,7.541313131313132,21.0,16.0,20.0,17.963636363636365,39.222929292929294,6,42,6,279,1037,11.24,21.0,9.7092,19.0
66,7.654646464646465,21.0,16.0,20.0,18.115151515151513,40.04454545454546,9,43,9,122,363,11.4,21.0,9.8492,19.0
67,7.613232323232324,21.0,16.0,20.0,18.084848484848486,40.34959595959596,15,50,13,358,1499,11.2192,21.0,9.9692,19.0
68,7.735555555555556,22.0,16.0,20.0,18.292929292929294,40.75919191919192,17,69,16,327,1264,11.3256,22.0,10.136,19.0
69,7.872727272727273,22.0,16.0,20.0,18.56969696969697,41.594545454545454,7,50,7,113,325,11.4456,22.0,10.3116,19.0
70,7.8,23.0,16.0,20.0,18.610101010101012,41.43181818181818,17,76,17,626,2502,11.2712,23.0,10.4716,19.0
71,7.8241414141414145,24.0,17.0,20.0,18.612121212121213,41.56979797979798,20,64,18,406,1840,11.1768,24.0,10.6116,20.0
72,7.771919191919192,24.0,17.0,20.0,18.33737373737374,41.73383838383838,10,46,10,416,1804,10.9224,24.0,10.7516,20.0
73,7.815858585858586,25.0,17.0,20.0,18.654545454545456,42.04787878787879,9,63,9,359,1446,11.1024,25.0,10.9516,20.0
74,7.903636363636363,25.0,17.0,20.0,18.90707070707071,42.81050505050505,11,66,11,127,517,11.2224,25.0,11.1116,20.0
75,7.936464646464646,25.0,17.0,20.0,18.905050505050504,43.01656565656565,6,47,6,491,1556,11.3824,25.0,11.0208,20.0
76,7.926565656565656,25.0,17.0,20.0,19.2020202020202,43.30191919191919,15,56,15,420,1484,11.4824,25.0,11.0676,21.0
77,8.034848484848485,26.0,17.0,20.0,19.496969696969696,43.5389898989899,9,61,9,398,1601,11.6288,26.0,11.132,22.0
78,8.226868686868686,27.0,18.0,20.0,19.86262626262626,44.39191919191919,13,59,10,104,277,11.8688,27.0,11.332,23.0
79,8.178383838383839,27.0,18.0,21.0,19.70909090909091,44.39848484848485,15,66,14,502,2262,11.6344,27.0,11.552,23.0
80,8.196464646464646,28.0,18.0,21.0,19.91111111111111,44.76464646464647,6,33,6,245,1306,11.6964,28.0,11.3448,23.0
81,8.189595959595959,28.0,18.0,21.0,19.711111111111112,44.56212121212121,16,63,14,651,2543,11.6756,28.0,11.3628,24.0
82,8.026262626262627,24.0,18.0,20.0,19.585858585858585,44.00090909090909,13,49,13,720,3102,11.5988,22.0,11.2184,24.0
83,8.005252525252525,24.0,18.0,20.0,19.62020202020202,43.604646464646464,22,56,19,530,2782,11.7988,22.0,10.76,24.0
84,7.925252525252525,24.0,18.0,20.0,19.490909090909092,43.35393939393939,13,61,12,588,2475,11.8356,22.0,10.4172,24.0
85,8.025353535353535,24.0,18.0,20.0,19.490909090909092,43.82424242424243,10,52,10,285,1088,12.1156,22.0,10.5572,24.0
86,8.035454545454545,25.0,18.0,20.0,19.672727272727272,43.95656565656566,18,55,15,400,1682,12.0492,22.0,10.7772,25.0
87,8.127474747474748,25.0,18.0,20.0,19.854545454545455,44.47131313131313,14,67,14,274,970,12.2492,22.0,10.8684,25.0
88,8.061717171717172,25.0,18.0,21.0,20.066666666666666,44.654848484848486,12,64,12,438,1641,12.3292,22.0,10.8552,25.0
89,8.045959595959596,25.0,18.0,21.0,20.076767676767677,44.70727272727273,16,55,16,368,1938,11.9972,22.0,10.9952,25.0
90,7.888181818181818,25.0,18.0,21.0,19.957575757575757,43.84949494949495,9,59,9,811,3641,12.2172,22.0,10.5364,25.0
91,7.778383838383839,23.0,18.0,22.0,19.945454545454545,43.13666666666666,12,65,11,759,3364,12.3816,22.0,10.0552,23.0
92,7.726161616161616,23.0,18.0,21.0,20.07070707070707,42.76070707070707,13,57,12,591,2695,12.206,23.0,9.988,23.0
93,7.542222222222223,24.0,18.0,22.0,20.068686868686868,42.09909090909091,14,65,12,744,3306,12.1196,23.0,9.7584,24.0
94,7.452727272727273,24.0,18.0,22.0,20.1010101010101,41.59,9,61,9,642,2866,11.8232,23.0,9.7336,24.0
95,7.080909090909091,24.0,17.0,21.0,19.638383838383838,39.827171717171716,14,52,13,1047,5265,10.7056,24.0,9.5888,24.0
96,7.038585858585859,24.0,17.0,21.0,19.498989898989898,39.48323232323232,14,56,14,537,2696,10.2748,24.0,9.7136,24.0
97,6.854040404040404,25.0,17.0,20.0,19.086868686868687,38.59141414141414,9,63,9,836,3708,10.1052,24.0,9.4416,25.0
98,7.001313131313132,25.0,17.0,21.0,19.21212121212121,39.2310101010101,14,55,13,189,720,10.2396,25.0,9.7416,25.0
99,7.122929292929293,25.0,17.0,21.0,19.515151515151516,39.53151515151515,13,56,11,333,1370,10.346,25.0,10.0016,25.0
100,7.195252525252525,26.0,17.0,21.0,19.63030303030303,39.64848484848485,9,61,9,459,1858,10.2524,25.0,10.1664,26.0
101,7.093333333333334,26.0,17.0,21.0,19.587878787878786,39.16686868686869,12,70,11,623,2791,9.9492,26.0,10.3664,26.0
102,7.15010101010101,27.0,16.0,22.0,19.616161616161616,39.473030303030306,10,54,9,311,1319,9.8596,26.0,10.5264,27.0
103,6.95060606060606,27.0,15.0,20.0,18.232323232323232,38.70111111111111,20,64,18,750,3460,9.5588,23.0,10.092,27.0
104,7.10010101010101,28.0,15.0,21.0,18.383838383838384,39.472727272727276,10,35,10,143,500,9.5824,23.0,10.352,28.0
105,7.166969696969697,24.0,15.0,21.0,18.173737373737374,39.58171717171717,14,64,13,472,1813,9.6844,24.0,10.4496,21.0
106,7.152727272727272,24.0,15.0,22.0,18.444444444444443,39.36939393939394,18,56,15,556,2319,9.794,24.0,10.0832,22.0
107,7.278080808080808,24.0,16.0,22.0,18.498989898989898,39.898080808080806,13,64,12,268,937,9.9636,24.0,10.208,22.0
108,7.352020202020202,24.0,16.0,22.0,18.397979797979797,40.33444444444444,17,63,16,334,1149,10.0428,24.0,10.408,22.0
109,7.424848484848485,25.0,16.0,22.0,18.525252525252526,40.82393939393939,17,53,16,276,962,10.2428,25.0,10.548,23.0
110,7.524141414141414,25.0,16.0,20.0,18.721212121212123,40.88474747474748,18,55,17,448,1888,10.3864,25.0,10.768,23.0
111,7.5248484848484845,25.0,16.0,20.0,18.62020202020202,40.9740404040404,8,30,7,466,1973,10.1988,25.0,10.988,24.0
112,7.385555555555555,26.0,16.0,20.0,18.19191919191919,40.32373737373737,8,57,8,820,3359,10.0964,26.0,10.6168,24.0
113,7.517979797979798,27.0,16.0,20.0,18.105050505050507,40.66969696969697,13,47,13,322,1362,10.2356,27.0,10.8216,24.0
114,7.555050505050505,24.0,16.0,20.0,18.45858585858586,40.842121212121214,12,65,12,456,1712,10.4852,18.0,10.9416,24.0
115,7.583838383838384,25.0,17.0,20.0,18.454545454545453,41.05131313131313,15,68,13,443,1695,10.6652,18.0,10.9712,25.0
116,7.718080808080808,25.0,17.0,20.0,18.454545454545453,41.753535353535355,10,42,8,192,651,10.9252,18.0,11.1112,25.0
117,7.8241414141414145,25.0,17.0,20.0,18.814141414141414,42.12373737373738,13,52,13,353,1227,11.1104,19.0,11.3712,25.0
118,7.9246464646464645,25.0,17.0,20.0,18.92929292929293,42.54373737373737,14,67,14,300,1183,11.236,19.0,11.496,25.0
119,7.8542424242424245,25.0,17.0,20.0,18.90909090909091,41.9289898989899,10,61,10,718,3172,11.456,19.0,10.9068,25.0
120,7.8942424242424245,25.0,17.0,20.0,19.151515151515152,42.00090909090909,13,61,13,425,1881,11.656,19.0,10.7488,25.0
121,7.93020202020202,25.0,18.0,20.0,19.133333333333333,42.44171717171717,11,50,11,206,1129,11.836,19.0,10.5584,25.0
122,7.913131313131313,25.0,18.0,20.0,19.272727272727273,42.45010101010101,16,62,16,448,1951,11.7872,19.0,10.588,25.0
123,7.704343434343435,25.0,17.0,21.0,19.327272727272728,41.31,13,66,13,824,4245,11.15,19.0,10.4472,25.0
124,7.739696969696969,26.0,18.0,20.0,19.565656565656564,41.44383838383838,14,69,13,368,1729,10.9712,20.0,10.592,26.0
125,7.451515151515151,26.0,18.0,20.0,19.527272727272727,40.277979797979796,13,66,13,742,4338,10.6928,20.0,9.856,26.0
126,7.256060606060606,26.0,17.0,20.0,19.345454545454544,39.17656565656566,15,66,13,839,4311,10.4188,20.0,9.4476,26.0
127,7.331414141414141,26.0,17.0,21.0,19.573737373737373,39.557878787878785,8,47,8,283,1234,10.6588,20.0,9.3924,26.0
128,7.374343434343435,26.0,18.0,21.0,19.804040404040403,39.969292929292926,13,68,13,323,1258,10.8788,21.0,9.4048,26.0
129,7.444141414141414,26.0,18.0,22.0,20.072727272727274,40.41535353535353,14,66,14,284,1091,10.9592,22.0,9.4696,26.0
130,7.461111111111111,26.0,18.0,22.0,20.12929292929293,40.547171717171715,18,62,17,418,1812,11.1992,22.0,9.1992,26.0
131,7.554545454545455,26.0,18.0,22.0,20.197979797979798,41.38575757575757,11,40,8,103,362,11.3592,22.0,9.2992,26.0
132,7.634848484848485,26.0,18.0,22.0,20.33939393939394,42.053939393939395,8,49,8,153,690,11.4992,22.0,9.3516,26.0
133,7.786262626262626,26.0,18.0,22.0,20.537373737373738,42.66676767676768,16,60,15,195,778,11.6196,22.0,9.5716,26.0
134,7.9396969696969695,26.0,18.0,22.0,20.68888888888889,43.30585858585859,11,50,11,201,758,11.8196,22.0,9.8316,26.0
135,7.922929292929293,26.0,18.0,22.0,20.79191919191919,43.23646464646465,14,65,14,408,2146,11.6012,22.0,9.9716,26.0
136,7.9634343434343435,27.0,18.0,22.0,20.87878787878788,43.65676767676768,12,45,11,248,1183,11.502,22.0,10.1516,27.0
137,7.98929292929293,27.0,19.0,22.0,21.0020202020202,43.62707070707071,17,62,16,428,2120,11.662,22.0,9.826,27.0
138,8.135050505050504,27.0,19.0,22.0,21.303030303030305,44.38010101010101,14,62,11,160,537,11.8368,22.0,10.006,27.0
139,7.658585858585859,27.0,18.0,22.0,20.377777777777776,42.11040404040404,16,55,16,943,6499,11.7976,23.0,8.594,27.0
140,7.616969696969697,25.0,18.0,22.0,20.169696969696968,41.6110101010101,14,54,14,526,2986,11.898,23.0,8.3684,25.0
141,7.526767676767677,26.0,16.0,22.0,19.9979797979798,41.12191919191919,12,66,12,589,2972,11.7992,24.0,8.2056,26.0
142,7.351919191919192,26.0,16.0,22.0,19.583838383838383,40.741313131313134,16,57,13,522,2721,11.4408,24.0,8.2856,26.0
143,7.382323232323232,26.0,16.0,22.0,19.436363636363637,40.828686868686866,8,52,8,378,1877,11.3816,24.0,8.5456,26.0
144,7.37020202020202,27.0,16.0,22.0,19.543434343434342,41.17959595959596,12,58,11,361,1308,11.5016,24.0,8.558,27.0
145,7.30959595959596,27.0,16.0,21.0,19.18989898989899,40.89040404040404,11,61,11,515,2580,11.2268,25.0,8.778,27.0
146,7.431212121212122,27.0,16.0,22.0,19.414141414141415,41.49919191919192,10,55,10,218,776,11.4068,26.0,8.998,27.0
147,7.464444444444444,27.0,16.0,22.0,19.57979797979798,41.67030303030303,15,60,13,404,1651,11.4472,26.0,9.238,27.0
148,7.419292929292929,26.0,16.0,22.0,19.418181818181818,41.7720202020202,14,59,13,424,1833,11.6272,26.0,9.0152,15.0
149,7.312020202020202,26.0,15.0,22.0,18.87070707070707,41.66444444444444,11,48,11,473,2349,11.4084,26.0,9.1352,15.0
150,7.38959595959596,26.0,15.0,23.0,19.068686868686868,42.06363636363636,9,63,9,243,1113,11.5484,26.0,9.3752,15.0
151,7.503030303030303,26.0,16.0,23.0,19.268686868686867,42.55646464646465,13,60,12,255,1055,11.7484,26.0,9.6152,16.0
152,7.678585858585858,27.0,16.0,23.0,19.484848484848484,43.27444444444444,14,64,14,149,539,11.9884,27.0,9.8352,16.0
153,7.682626262626263,27.0,17.0,23.0,19.74949494949495,43.06474747474748,14,63,13,567,2435,12.1236,27.0,9.8264,17.0
154,7.761111111111111,28.0,17.0,23.0,19.955555555555556,43.3389898989899,14,65,13,370,1500,12.3036,28.0,9.972,17.0
155,7.765656565656566,25.0,17.0,23.0,20.167676767676767,43.13989898989899,13,59,13,522,2430,12.4788,25.0,10.192,17.0
156,7.920606060606061,26.0,16.049999999999272,23.0,20.563636363636363,43.758383838383835,10,53,10,220,743,12.7388,26.0,10.3024,17.0
157,8.047676767676768,27.0,16.049999999999272,24.0,20.96969696969697,44.55131313131313,15,52,13,121,425,12.9388,27.0,10.4424,18.0
158,8.245454545454546,28.0,17.0,24.0,21.363636363636363,45.34959595959596,10,45,10,103,418,13.1188,28.0,10.7424,18.0
159,8.370909090909091,29.0,17.0,24.0,21.725252525252525,45.95818181818182,16,60,16,214,738,13.2988,29.0,10.9624,18.0
160,8.47030303030303,30.0,17.0,24.0,21.913131313131313,46.38080808080808,17,62,16,315,1095,13.4788,30.0,11.1128,18.0
161,8.643636363636364,30.0,17.0,24.0,22.145454545454545,47.14131313131313,13,50,12,157,462,13.6388,30.0,11.3928,18.0
162,8.578282828282829,30.0,18.0,24.0,22.147474747474746,46.78010101010101,12,50,11,569,2528,13.3552,30.0,11.588,18.0
163,8.516565656565657,30.0,18.0,24.0,22.050505050505052,46.48868686868687,14,66,13,570,2492,13.2984,30.0,11.5144,18.0
164,8.492727272727272,30.0,17.0,24.0,22.13939393939394,46.747070707070705,11,62,11,358,1523,13.4584,30.0,11.5696,19.0
165,8.413535353535353,30.0,17.0,24.0,21.894949494949493,46.48838383838384,12,55,10,346,2467,12.7556,30.0,11.7696,19.0
166,8.528686868686869,30.0,18.0,25.0,22.086868686868687,46.72313131313131,17,66,17,397,1434,12.9956,30.0,12.0496,19.0
167,8.505959595959595,30.0,18.0,25.0,22.234343434343433,46.746767676767675,11,57,11,383,1809,12.782,30.0,12.1896,20.0
168,8.577777777777778,30.0,18.0,25.0,22.424242424242426,47.06040404040404,11,54,10,355,1269,12.922,30.0,12.4496,20.0
169,8.487777777777778,30.0,18.0,25.0,22.55959595959596,46.37646464646465,13,71,13,731,3267,12.9296,30.0,12.4008,21.0
170,8.024545454545455,30.0,18.0,25.0,21.68686868686869,44.19474747474747,17,67,17,895,6269,11.0796,30.0,12.6208,21.0
171,8.204040404040404,30.0,19.0,25.0,21.973737373737375,44.94444444444444,11,51,11,157,500,11.2988,30.0,12.8608,22.0
172,8.126363636363637,31.0,19.0,24.0,21.79191919191919,44.39060606060606,10,50,8,497,3046,10.6916,31.0,13.1408,23.0
173,8.233333333333333,31.0,19.0,24.0,21.87070707070707,44.92121212121212,11,58,11,211,921,10.6548,31.0,13.3808,23.0
174,7.884747474747475,31.0,19.0,24.0,21.482828282828283,43.644444444444446,10,47,10,784,4540,9.8488,31.0,13.1036,23.0
175,7.591414141414141,31.0,19.0,23.0,21.161616161616163,42.30060606060606,11,65,11,692,4587,9.2088,31.0,12.4932,23.0
176,7.68,32.0,19.0,23.0,21.387878787878787,42.812222222222225,12,60,12,247,905,9.388,32.0,12.5448,23.0
177,7.638080808080808,33.0,19.0,24.0,21.303030303030305,42.38363636363636,12,58,9,532,2692,9.036,33.0,12.72,24.0
178,7.517171717171717,33.0,19.0,22.0,20.85050505050505,41.45565656565657,16,62,16,612,3771,8.3848,33.0,12.7268,24.0
179,7.693434343434343,33.0,19.0,22.0,21.25050505050505,42.09111111111111,12,47,11,183,631,8.5944,33.0,12.9868,24.0
180,7.73040404040404,33.0,19.0,23.0,21.256565656565655,42.22666666666667,14,69,14,434,1614,8.5344,33.0,13.2468,24.0
181,7.823535353535354,33.0,19.0,23.0,21.57171717171717,42.54606060606061,12,52,12,345,1256,8.7744,33.0,13.3572,24.0
182,7.857272727272727,34.0,19.0,22.0,21.404040404040405,42.777979797979796,8,50,8,260,1547,8.58,34.0,13.5372,24.0
183,7.804343434343434,34.0,19.0,22.0,21.44040404040404,42.43727272727273,9,49,9,546,2603,8.6756,34.0,13.2576,24.0
