source,version,generation_slot,completion_slot,delay,completed
4,1,0,41,41,True
10,1,0,98,98,True
11,1,0,41,41,True
20,1,0,81,81,True
23,1,0,41,41,True
26,1,0,41,41,True
30,1,0,41,41,True
31,1,0,41,41,True
34,1,0,105,105,True
36,1,0,41,41,True
40,1,0,105,105,True
47,1,0,81,81,True
52,1,0,45,45,True
53,1,0,59,59,True
57,1,0,59,59,True
60,1,0,59,59,True
61,1,0,97,97,True
64,1,0,59,59,True
65,1,0,59,59,True
69,1,0,59,59,True
70,1,0,59,59,True
73,1,0,59,59,True
78,1,0,59,59,True
83,1,0,59,59,True
88,1,0,59,59,True
94,1,0,59,59,True
95,1,0,59,59,True
97,1,0,59,59,True
3,1,1,41,40,True
5,1,1,41,40,True
10,2,1,98,97,True
17,1,1,98,97,True
26,2,1,41,40,True
28,1,1,41,40,True
31,2,1,41,40,True
37,1,1,105,104,True
42,1,1,81,80,True
49,1,1,41,40,True
52,2,1,59,58,True
53,2,1,59,58,True
64,2,1,59,58,True
66,1,1,59,58,True
75,1,1,59,58,True
80,1,1,59,58,True
82,1,1,59,58,True
91,1,1,59,58,True
93,1,1,59,58,True
94,2,1,59,58,True
95,2,1,59,58,True
1,1,2,81,79,True
2,1,2,118,116,True
3,2,2,41,39,True
20,2,2,81,79,True
27,1,2,41,39,True
29,1,2,81,79,True
31,3,2,81,79,True
35,1,2,81,79,True
42,2,2,81,79,True
47,2,2,81,79,True
48,1,2,81,79,True
50,1,2,59,57,True
64,3,2,59,57,True
73,2,2,59,57,True
74,1,2,59,57,True
79,1,2,59,57,True
86,1,2,59,57,True
91,2,2,59,57,True
93,2,2,59,57,True
97,2,2,59,57,True
5,2,3,41,38,True
6,1,3,81,78,True
13,1,3,81,78,True
17,2,3,98,95,True
26,3,3,41,38,True
32,1,3,98,95,True
34,2,3,105,102,True
35,2,3,81,78,True
44,1,3,41,38,True
47,3,3,81,78,True
50,2,3,59,56,True
52,3,3,59,56,True
57,2,3,59,56,True
60,2,3,59,56,True
69,2,3,59,56,True
75,2,3,59,56,True
86,2,3,59,56,True
94,3,3,59,56,True
98,1,3,59,56,True
3,3,4,41,37,True
5,3,4,41,37,True
7,1,4,81,77,True
12,1,4,41,37,True
18,1,4,81,77,True
20,3,4,81,77,True
22,1,4,98,94,True
27,2,4,41,37,True
39,1,4,41,37,True
42,3,4,81,77,True
44,2,4,41,37,True
45,1,4,98,94,True
47,4,4,81,77,True
53,3,4,59,55,True
54,1,4,59,55,True
57,3,4,59,55,True
65,2,4,59,55,True
67,1,4,59,55,True
70,2,4,59,55,True
84,1,4,83,79,True
90,1,4,59,55,True
94,4,4,59,55,True
95,3,4,59,55,True
96,1,4,59,55,True
97,3,4,59,55,True
99,1,4,59,55,True
2,2,5,118,113,True
14,1,5,81,76,True
21,1,5,81,76,True
23,2,5,41,36,True
39,2,5,81,76,True
40,2,5,105,100,True
43,1,5,98,93,True
45,2,5,98,93,True
47,5,5,81,76,True
50,3,5,59,54,True
55,1,5,59,54,True
56,1,5,59,54,True
66,2,5,59,54,True
77,1,5,59,54,True
82,2,5,59,54,True
83,2,5,59,54,True
84,2,5,83,78,True
85,1,5,59,54,True
86,3,5,59,54,True
92,1,5,59,54,True
94,5,5,59,54,True
95,4,5,59,54,True
5,4,6,41,35,True
10,3,6,98,92,True
17,3,6,98,92,True
20,4,6,81,75,True
29,2,6,81,75,True
31,4,6,81,75,True
42,4,6,81,75,True
55,2,6,59,53,True
62,1,6,59,53,True
68,1,6,59,53,True
73,3,6,59,53,True
74,2,6,59,53,True
78,2,6,59,53,True
92,2,6,59,53,True
98,2,6,59,53,True
3,4,7,81,74,True
4,2,7,41,34,True
8,1,7,105,98,True
10,4,7,98,91,True
13,2,7,81,74,True
16,1,7,98,91,True
27,3,7,41,34,True
30,2,7,41,34,True
35,3,7,81,74,True
36,2,7,41,34,True
41,1,7,98,91,True
46,1,7,105,98,True
47,6,7,81,74,True
48,2,7,81,74,True
49,2,7,41,34,True
50,4,7,59,52,True
56,2,7,59,52,True
59,1,7,59,52,True
60,3,7,59,52,True
63,1,7,59,52,True
65,3,7,59,52,True
67,2,7,59,52,True
71,1,7,59,52,True
75,3,7,59,52,True
77,2,7,59,52,True
78,3,7,59,52,True
82,3,7,59,52,True
85,2,7,59,52,True
86,4,7,59,52,True
95,5,7,59,52,True
99,2,7,59,52,True
1,2,8,81,73,True
4,3,8,41,33,True
7,2,8,98,90,True
9,1,8,81,73,True
11,2,8,41,33,True
15,1,8,98,90,True
30,3,8,41,33,True
36,3,8,41,33,True
38,1,8,81,73,True
50,5,8,59,51,True
52,4,8,59,51,True
55,3,8,59,51,True
56,3,8,59,51,True
57,4,8,59,51,True
60,4,8,59,51,True
68,2,8,59,51,True
70,3,8,59,51,True
71,2,8,59,51,True
76,1,8,59,51,True
77,3,8,59,51,True
85,3,8,59,51,True
87,1,8,59,51,True
88,2,8,59,51,True
95,6,8,59,51,True
2,3,9,118,109,True
12,2,9,41,32,True
13,3,9,81,72,True
16,2,9,98,89,True
18,2,9,81,72,True
30,4,9,41,32,True
31,5,9,81,72,True
32,2,9,98,89,True
58,1,9,83,74,True
61,2,9,97,88,True
70,4,9,59,50,True
72,1,9,59,50,True
74,3,9,59,50,True
80,2,9,59,50,True
82,4,9,59,50,True
83,3,9,59,50,True
88,3,9,59,50,True
91,3,9,59,50,True
92,3,9,59,50,True
93,3,9,59,50,True
0,1,10,81,71,True
2,4,10,118,108,True
7,3,10,98,88,True
9,2,10,81,71,True
12,3,10,41,31,True
