source,version,generation_slot,completion_slot,delay,completed
1,1,0,75,75,True
4,1,0,75,75,True
5,1,0,75,75,True
7,1,0,151,151,True
8,1,0,75,75,True
11,1,0,75,75,True
12,1,0,75,75,True
16,1,0,105,105,True
25,1,0,105,105,True
26,1,0,105,105,True
32,1,0,75,75,True
34,1,0,105,105,True
35,1,0,75,75,True
39,1,0,75,75,True
40,1,0,75,75,True
41,1,0,75,75,True
44,1,0,75,75,True
45,1,0,75,75,True
48,1,0,75,75,True
50,1,0,90,90,True
51,1,0,90,90,True
53,1,0,90,90,True
65,1,0,90,90,True
77,1,0,90,90,True
80,1,0,90,90,True
88,1,0,90,90,True
4,2,1,75,74,True
9,1,1,75,74,True
14,1,1,75,74,True
17,1,1,75,74,True
21,1,1,75,74,True
22,1,1,105,104,True
23,1,1,75,74,True
24,1,1,75,74,True
28,1,1,75,74,True
31,1,1,75,74,True
35,2,1,75,74,True
36,1,1,75,74,True
37,1,1,105,104,True
48,2,1,75,74,True
50,2,1,90,89,True
51,2,1,90,89,True
59,1,1,90,89,True
61,1,1,101,100,True
66,1,1,90,89,True
69,1,1,90,89,True
74,1,1,90,89,True
75,1,1,90,89,True
78,1,1,90,89,True
81,1,1,90,89,True
88,2,1,90,89,True
96,1,1,90,89,True
99,1,1,90,89,True
2,1,2,75,73,True
8,2,2,75,73,True
11,2,2,75,73,True
14,2,2,75,73,True
16,2,2,105,103,True
19,1,2,75,73,True
22,2,2,105,103,True
35,3,2,75,73,True
36,2,2,75,73,True
37,2,2,105,103,True
42,1,2,75,73,True
46,1,2,105,103,True
50,3,2,90,88,True
51,3,2,90,88,True
52,1,2,90,88,True
56,1,2,90,88,True
70,1,2,90,88,True
74,2,2,90,88,True
80,2,2,90,88,True
81,2,2,90,88,True
82,1,2,90,88,True
89,1,2,90,88,True
91,1,2,90,88,True
94,1,2,90,88,True
3,1,3,83,80,True
5,2,3,75,72,True
10,1,3,75,72,True
16,3,3,105,102,True
17,2,3,75,72,True
21,2,3,75,72,True
24,2,3,75,72,True
30,1,3,75,72,True
31,2,3,105,102,True
32,2,3,75,72,True
35,4,3,75,72,True
44,2,3,75,72,True
56,2,3,90,87,True
65,2,3,90,87,True
66,2,3,90,87,True
67,1,3,90,87,True
71,1,3,90,87,True
77,2,3,90,87,True
78,2,3,90,87,True
88,3,3,90,87,True
94,2,3,90,87,True
96,2,3,90,87,True
6,1,4,75,71,True
24,3,4,75,71,True
28,2,4,75,71,True
30,2,4,75,71,True
31,3,4,105,101,True
35,5,4,75,71,True
41,2,4,75,71,True
48,3,4,105,101,True
52,2,4,90,86,True
61,2,4,101,97,True
73,1,4,90,86,True
77,3,4,90,86,True
84,1,4,90,86,True
85,1,4,90,86,True
86,1,4,90,86,True
88,4,4,90,86,True
91,2,4,90,86,True
0,1,5,75,70,True
5,3,5,75,70,True
9,2,5,75,70,True
12,2,5,75,70,True
13,1,5,75,70,True
21,3,5,75,70,True
24,4,5,105,100,True
32,3,5,75,70,True
34,2,5,105,100,True
36,3,5,75,70,True
37,3,5,105,100,True
42,2,5,75,70,True
47,1,5,105,100,True
51,4,5,90,85,True
54,1,5,90,85,True
55,1,5,90,85,True
57,1,5,90,85,True
62,1,5,101,96,True
66,3,5,90,85,True
74,3,5,90,85,True
81,3,5,90,85,True
82,2,5,90,85,True
86,2,5,90,85,True
87,1,5,90,85,True
88,5,5,90,85,True
91,3,5,90,85,True
92,1,5,90,85,True
93,1,5,90,85,True
96,3,5,90,85,True
5,4,6,75,69,True
7,2,6,151,145,True
19,2,6,75,69,True
21,4,6,75,69,True
22,3,6,105,99,True
27,1,6,75,69,True
29,1,6,75,69,True
31,4,6,105,99,True
34,3,6,105,99,True
36,4,6,75,69,True
41,3,6,75,69,True
52,3,6,90,84,True
53,2,6,101,95,True
65,3,6,90,84,True
67,2,6,90,84,True
83,1,6,101,95,True
86,3,6,90,84,True
88,6,6,90,84,True
91,4,6,90,84,True
93,2,6,90,84,True
3,2,7,83,76,True
9,3,7,75,68,True
13,2,7,105,98,True
14,3,7,75,68,True
26,2,7,105,98,True
28,3,7,75,68,True
35,6,7,75,68,True
41,4,7,105,98,True
43,1,7,75,68,True
45,2,7,75,68,True
47,2,7,105,98,True
51,5,7,90,83,True
53,3,7,101,94,True
58,1,7,101,94,True
63,1,7,119,112,True
64,1,7,101,94,True
69,2,7,90,83,True
71,2,7,90,83,True
73,2,7,90,83,True
78,3,7,90,83,True
88,7,7,90,83,True
2,2,8,105,97,True
7,3,8,151,143,True
12,3,8,75,67,True
16,4,8,105,97,True
17,3,8,105,97,True
21,5,8,75,67,True
30,3,8,75,67,True
31,5,8,105,97,True
39,2,8,105,97,True
49,1,8,75,67,True
57,2,8,90,82,True
61,3,8,101,93,True
65,4,8,90,82,True
81,4,8,90,82,True
84,2,8,90,82,True
86,4,8,90,82,True
89,2,8,90,82,True
7,4,9,151,142,True
8,3,9,75,66,True
12,4,9,75,66,True
13,3,9,105,96,True
17,4,9,105,96,True
23,2,9,75,66,True
25,2,9,105,96,True
30,4,9,105,96,True
32,4,9,75,66,True
34,4,9,105,96,True
35,7,9,75,66,True
44,3,9,75,66,True
46,2,9,105,96,True
47,3,9,105,96,True
48,4,9,105,96,True
53,4,9,101,92,True
57,3,9,101,92,True
59,2,9,90,81,True
63,2,9,119,110,True
70,2,9,119,110,True
71,3,9,90,81,True
76,1,9,90,81,True
81,5,9,90,81,True
89,3,9,90,81,True
91,5,9,90,81,True
8,4,10,105,95,True
9,4,10,75,65,True
12,5,10,105,95,True
13,4,10,105,95,True
15,1,10,105,95,True
22,4,10,105,95,True
23,3,10,75,65,True
33,1,10,75,65,True
35,8,10,75,65,True
41,5,10,105,95,True
44,4,10,75,65,True
52,4,10,90,80,True
56,3,10,90,80,True
57,4,10,101,91,True
58,2,10,101,91,True
60,1,10,90,80,True
61,4,10,101,91,True
65,5,10,90,80,True
73,3,10,90,80,True
76,2,10,90,80,True
88,8,10,90,80,True
91,6,10,90,80,True
95,1,10,90,80,True
15,2,11,105,94,True
21,6,11,75,64,True
29,2,11,75,64,True
34,5,11,105,94,True
41,6,11,105,94,True
52,5,11,90,79,True
54,2,11,90,79,True
61,5,11,101,90,True
71,4,11,90,79,True
80,3,11,90,79,True
84,3,11,90,79,True
91,7,11,101,90,True
93,3,11,90,79,True
9,5,12,75,63,True
18,1,12,106,94,True
24,5,12,105,93,True
37,4,12,105,93,True
48,5,12,105,93,True
49,2,12,75,63,True
53,5,12,101,89,True
69,3,12,90,78,True
73,4,12,90,78,True
86,5,12,90,78,True
95,2,12,90,78,True
0,2,13,75,62,True
1,2,13,105,92,True
3,3,13,83,70,True
4,3,13,105,92,True
9,6,13,75,62,True
10,2,13,105,92,True
13,5,13,106,93,True
15,3,13,105,92,True
22,5,13,105,92,True
33,2,13,105,92,True
38,1,13,105,92,True
45,3,13,105,92,True
56,4,13,90,77,True
59,3,13,90,77,True
64,2,13,101,88,True
73,5,13,90,77,True
75,2,13,90,77,True
81,6,13,90,77,True
82,3,13,90,77,True
90,1,13,90,77,True
4,4,14,105,91,True
9,7,14,75,61,True
11,3,14,105,91,True
14,4,14,75,61,True
15,4,14,105,91,True
23,4,14,75,61,True
30,5,14,105,91,True
32,5,14,105,91,True
34,6,14,105,91,True
38,2,14,105,91,True
39,3,14,105,91,True
40,2,14,105,91,True
42,3,14,75,61,True
44,5,14,105,91,True
46,3,14,105,91,True
48,6,14,105,91,True
49,3,14,75,61,True
53,6,14,101,87,True
55,2,14,90,76,True
59,4,14,90,76,True
61,6,14,101,87,True
66,4,14,101,87,True
71,5,14,90,76,True
73,6,14,90,76,True
86,6,14,90,76,True
89,4,14,90,76,True
90,2,14,90,76,True
93,4,14,90,76,True
1,3,15,105,90,True
5,5,15,105,90,True
17,5,15,105,90,True
18,2,15,106,91,True
23,5,15,75,60,True
24,6,15,105,90,True
38,3,15,105,90,True
42,4,15,75,60,True
44,6,15,105,90,True
48,7,15,105,90,True
52,6,15,90,75,True
53,7,15,101,86,True
55,3,15,90,75,True
60,2,15,90,75,True
61,7,15,101,86,True
65,6,15,90,75,True
74,4,15,101,86,True
87,2,15,90,75,True
91,8,15,101,86,True
96,4,15,90,75,True
4,5,16,105,89,True
5,6,16,105,89,True
28,4,16,105,89,True
42,5,16,75,59,True
44,7,16,105,89,True
51,6,16,90,74,True
52,7,16,90,74,True
56,5,16,90,74,True
58,3,16,101,85,True
70,3,16,119,103,True
75,3,16,101,85,True
81,7,16,90,74,True
86,7,16,90,74,True
90,3,16,90,74,True
96,5,16,90,74,True
1,4,17,105,88,True
11,4,17,105,88,True
14,5,17,105,88,True
17,6,17,105,88,True
20,1,17,105,88,True
21,7,17,151,134,True
22,6,17,105,88,True
25,3,17,105,88,True
29,3,17,105,88,True
33,3,17,105,88,True
40,3,17,105,88,True
43,2,17,105,88,True
49,4,17,75,58,True
51,7,17,90,73,True
57,5,17,101,84,True
66,5,17,101,84,True
68,1,17,101,84,True
69,4,17,90,73,True
71,6,17,90,73,True
74,5,17,110,93,True
77,4,17,101,84,True
80,4,17,90,73,True
86,8,17,90,73,True
91,9,17,101,84,True
24,7,18,105,87,True
26,3,18,105,87,True
37,5,18,105,87,True
40,4,18,105,87,True
41,7,18,105,87,True
54,3,18,90,72,True
58,4,18,101,83,True
66,6,18,101,83,True
69,5,18,90,72,True
72,1,18,101,83,True
73,7,18,90,72,True
85,2,18,90,72,True
87,3,18,90,72,True
95,3,18,90,72,True
0,3,19,75,56,True
2,3,19,105,86,True
9,8,19,75,56,True
11,5,19,105,86,True
15,5,19,105,86,True
16,5,19,105,86,True
18,3,19,106,87,True
27,2,19,75,56,True
42,6,19,75,56,True
67,3,19,90,71,True
75,4,19,101,82,True
76,3,19,90,71,True
85,3,19,110,91,True
87,4,19,90,71,True
89,5,19,90,71,True
9,9,20,75,55,True
12,6,20,106,86,True
26,4,20,105,85,True
27,3,20,75,55,True
29,4,20,105,85,True
43,3,20,105,85,True
44,8,20,105,85,True
53,8,20,101,81,True
54,4,20,101,81,True
56,6,20,90,70,True
62,2,20,101,81,True
65,7,20,90,70,True
69,6,20,90,70,True
78,4,20,90,70,True
0,4,21,75,54,True
1,5,21,105,84,True
14,6,21,105,84,True
15,6,21,105,84,True
17,7,21,105,84,True
24,8,21,105,84,True
44,9,21,105,84,True
46,4,21,105,84,True
50,4,21,90,69,True
52,8,21,90,69,True
53,9,21,101,80,True
57,6,21,101,80,True
58,5,21,110,89,True
59,5,21,110,89,True
65,8,21,90,69,True
74,6,21,110,89,True
75,5,21,101,80,True
87,5,21,90,69,True
91,10,21,101,80,True
98,1,21,110,89,True
2,4,22,105,83,True
3,4,22,83,61,True
16,6,22,105,83,True
28,5,22,105,83,True
30,6,22,105,83,True
57,7,22,119,97,True
62,3,22,101,79,True
66,7,22,101,79,True
76,4,22,101,79,True
77,5,22,101,79,True
81,8,22,90,68,True
89,6,22,90,68,True
91,11,22,101,79,True
95,4,22,101,79,True
1,6,23,105,82,True
4,6,23,105,82,True
6,2,23,83,60,True
7,5,23,151,128,True
15,7,23,105,82,True
19,3,23,75,52,True
21,8,23,151,128,True
24,9,23,105,82,True
25,4,23,105,82,True
36,5,23,105,82,True
45,4,23,105,82,True
48,8,23,105,82,True
53,10,23,101,78,True
57,8,23,119,96,True
61,8,23,110,87,True
64,3,23,101,78,True
65,9,23,119,96,True
70,4,23,119,96,True
76,5,23,101,78,True
78,5,23,90,67,True
80,5,23,101,78,True
84,4,23,101,78,True
87,6,23,119,96,True
93,5,23,90,67,True
3,5,24,83,59,True
6,3,24,83,59,True
24,10,24,105,81,True
25,5,24,105,81,True
32,6,24,105,81,True
34,7,24,105,81,True
35,9,24,105,81,True
37,6,24,105,81,True
41,8,24,105,81,True
52,9,24,90,66,True
53,11,24,101,77,True
54,5,24,101,77,True
55,4,24,101,77,True
58,6,24,110,86,True
62,4,24,101,77,True
70,5,24,119,95,True
73,8,24,90,66,True
79,1,24,110,86,True
81,9,24,90,66,True
94,3,24,90,66,True
7,6,25,151,126,True
13,6,25,106,81,True
20,2,25,105,80,True
23,6,25,75,50,True
45,5,25,105,80,True
59,6,25,110,85,True
62,5,25,101,76,True
68,2,25,101,76,True
71,7,25,101,76,True
72,2,25,110,85,True
74,7,25,110,85,True
76,6,25,101,76,True
84,5,25,110,85,True
88,9,25,101,76,True
97,1,25,101,76,True
6,4,26,83,57,True
11,6,26,151,125,True
12,7,26,106,80,True
13,7,26,106,80,True
14,7,26,105,79,True
18,4,26,106,80,True
25,6,26,105,79,True
36,6,26,105,79,True
43,4,26,105,79,True
44,10,26,151,125,True
50,5,26,90,64,True
51,8,26,101,75,True
56,7,26,90,64,True
58,7,26,110,84,True
64,4,26,101,75,True
74,8,26,110,84,True
86,9,26,90,64,True
89,7,26,90,64,True
98,2,26,110,84,True
1,7,27,105,78,True
2,5,27,105,78,True
3,6,27,83,56,True
6,5,27,83,56,True
8,5,27,105,78,True
11,7,27,151,124,True
17,8,27,105,78,True
21,9,27,151,124,True
24,11,27,105,78,True
31,6,27,105,78,True
32,7,27,105,78,True
36,7,27,105,78,True
50,6,27,90,63,True
51,9,27,101,74,True
61,9,27,110,83,True
63,3,27,119,92,True
78,6,27,90,63,True
98,3,27,110,83,True
1,8,28,105,77,True
6,6,28,83,55,True
8,6,28,105,77,True
12,8,28,106,78,True
16,7,28,105,77,True
20,3,28,105,77,True
27,4,28,83,55,True
28,6,28,105,77,True
33,4,28,105,77,True
41,9,28,105,77,True
44,11,28,151,123,True
47,4,28,105,77,True
50,7,28,90,62,True
56,8,28,101,73,True
60,3,28,101,73,True
62,6,28,110,82,True
68,3,28,101,73,True
71,8,28,101,73,True
74,9,28,110,82,True
79,2,28,110,82,True
86,10,28,101,73,True
90,4,28,101,73,True
92,2,28,90,62,True
94,4,28,90,62,True
97,2,28,110,82,True
98,4,28,110,82,True
7,7,29,151,122,True
14,8,29,105,76,True
16,8,29,105,76,True
20,4,29,105,76,True
22,7,29,105,76,True
27,5,29,83,54,True
33,5,29,105,76,True
48,9,29,105,76,True
60,4,29,101,72,True
63,4,29,119,90,True
64,5,29,101,72,True
65,10,29,119,90,True
72,3,29,110,81,True
81,10,29,101,72,True
90,5,29,101,72,True
93,6,29,90,61,True
94,5,29,90,61,True
1,9,30,105,75,True
2,6,30,105,75,True
5,7,30,151,121,True
6,7,30,83,53,True
8,7,30,105,75,True
11,8,30,151,121,True
16,9,30,105,75,True
18,5,30,106,76,True
19,4,30,83,53,True
21,10,30,151,121,True
27,6,30,83,53,True
29,5,30,105,75,True
37,7,30,106,76,True
47,5,30,105,75,True
64,6,30,101,71,True
67,4,30,90,60,True
69,7,30,90,60,True
70,6,30,119,89,True
73,9,30,90,60,True
75,6,30,101,71,True
77,6,30,101,71,True
86,11,30,101,71,True
93,7,30,90,60,True
2,7,31,105,74,True
5,8,31,151,120,True
9,10,31,105,74,True
16,10,31,105,74,True
17,9,31,105,74,True
21,11,31,151,120,True
34,8,31,106,75,True
40,5,31,105,74,True
44,12,31,151,120,True
53,12,31,110,79,True
59,7,31,110,79,True
73,10,31,90,59,True
77,7,31,101,70,True
78,7,31,90,59,True
91,12,31,110,79,True
92,3,31,101,70,True
97,3,31,110,79,True
99,2,31,101,70,True
1,10,32,106,74,True
2,8,32,105,73,True
4,7,32,105,73,True
5,9,32,151,119,True
17,10,32,105,73,True
29,6,32,105,73,True
36,8,32,105,73,True
46,5,32,105,73,True
47,6,32,105,73,True
60,5,32,101,69,True
65,11,32,119,87,True
71,9,32,101,69,True
72,4,32,110,78,True
78,8,32,90,58,True
80,6,32,101,69,True
84,6,32,110,78,True
90,6,32,101,69,True
99,3,32,101,69,True
4,8,33,105,72,True
5,10,33,151,118,True
10,3,33,106,73,True
11,9,33,151,118,True
12,9,33,106,73,True
13,8,33,106,73,True
24,12,33,105,72,True
26,5,33,105,72,True
27,7,33,83,50,True
31,7,33,151,118,True
42,7,33,105,72,True
45,6,33,105,72,True
47,7,33,105,72,True
48,10,33,105,72,True
50,8,33,119,86,True
51,10,33,101,68,True
54,6,33,101,68,True
55,5,33,101,68,True
56,9,33,101,68,True
59,8,33,110,77,True
64,7,33,110,77,True
72,5,33,110,77,True
73,11,33,90,57,True
74,10,33,110,77,True
75,7,33,101,68,True
78,9,33,90,57,True
81,11,33,119,86,True
93,8,33,90,57,True
1,11,34,106,72,True
4,9,34,105,71,True
20,5,34,105,71,True
31,8,34,151,117,True
42,8,34,105,71,True
65,12,34,119,85,True
67,5,34,119,85,True
69,8,34,90,56,True
71,10,34,101,67,True
