slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,6.844949494949495,16.0,14.0,15.0,14.573737373737373,38.392323232323236,16,58,14,332,1249,9.07,16.0,8.94,16.0
51,6.973939393939394,16.0,14.0,16.0,14.94141414141414,38.693333333333335,17,55,14,543,1594,9.2148,16.0,9.1028,16.0
52,7.099191919191919,17.0,14.0,16.0,15.375757575757575,39.17232323232323,14,60,13,346,1037,9.3512,17.0,9.3628,16.0
53,7.162424242424242,17.0,14.0,16.0,15.503030303030304,39.67020202020202,17,62,15,346,1057,9.398,17.0,9.5228,17.0
54,7.316868686868687,17.0,14.0,17.0,15.703030303030303,40.40858585858586,24,61,19,197,550,9.7004,17.0,9.6028,17.0
55,7.433939393939394,17.0,15.0,17.0,15.97979797979798,41.0150505050505,23,59,21,277,821,9.8048,17.0,9.8228,17.0
56,7.435555555555555,17.0,15.0,17.0,15.963636363636363,41.346666666666664,20,50,16,347,1370,9.906,17.0,9.9828,17.0
57,7.494646464646465,17.0,15.0,17.0,16.054545454545455,41.70060606060606,21,55,18,405,1296,10.126,17.0,10.0324,17.0
58,7.584848484848485,18.0,15.0,17.0,16.42020202020202,42.06787878787879,12,64,11,467,1384,10.1164,17.0,10.2448,18.0
59,7.6971717171717176,18.0,15.0,17.0,16.466666666666665,42.51959595959596,14,56,13,243,967,10.3564,18.0,10.4248,18.0
60,7.849494949494949,18.0,15.0,17.0,16.523232323232325,42.982727272727274,17,61,16,344,1066,10.6392,18.0,10.5736,18.0
61,7.938686868686869,18.0,15.0,18.0,16.664646464646463,43.45383838383838,17,62,17,308,998,10.8208,18.0,10.7336,18.0
62,8.102323232323233,19.0,16.0,18.0,16.98181818181818,44.14080808080808,23,61,21,159,558,11.0808,19.0,10.9136,18.0
63,8.051818181818183,19.0,16.0,18.0,17.325252525252527,44.08161616161616,15,67,13,646,2084,11.2624,19.0,10.872,18.0
64,8.253535353535353,19.0,16.0,18.0,17.604040404040404,44.776767676767676,21,57,18,159,577,11.4624,19.0,11.192,19.0
65,8.24,19.0,17.0,18.0,17.66060606060606,44.97040404040404,19,59,16,444,1718,11.6424,19.0,11.212,19.0
66,8.141818181818183,19.0,17.0,18.0,17.6,44.76151515151515,14,57,14,565,2358,11.7224,19.0,11.1744,19.0
67,8.269595959595959,20.0,17.0,19.0,17.874747474747476,45.476565656565654,19,61,13,173,616,11.8824,20.0,11.3944,19.0
68,8.163030303030302,20.0,17.0,19.0,17.975757575757576,44.97848484848485,14,61,14,654,2936,12.0624,20.0,11.4504,19.0
69,8.221818181818183,20.0,17.0,19.0,18.11111111111111,45.53040404040404,15,67,14,261,903,12.204,20.0,11.5704,19.0
70,8.491414141414142,21.0,17.0,19.0,18.43232323232323,46.35858585858586,18,61,16,115,301,12.484,21.0,11.8904,20.0
