source,version,generation_slot,completion_slot,delay,completed
4,1,0,223,223,True
10,1,0,223,223,True
11,1,0,223,223,True
20,1,0,223,223,True
23,1,0,223,223,True
26,1,0,298,298,True
30,1,0,223,223,True
31,1,0,223,223,True
34,1,0,223,223,True
36,1,0,223,223,True
40,1,0,266,266,True
47,1,0,266,266,True
52,1,0,223,223,True
53,1,0,223,223,True
57,1,0,223,223,True
60,1,0,248,248,True
61,1,0,248,248,True
64,1,0,248,248,True
65,1,0,282,282,True
69,1,0,248,248,True
70,1,0,306,306,True
73,1,0,248,248,True
78,1,0,216,216,True
83,1,0,223,223,True
88,1,0,248,248,True
94,1,0,248,248,True
95,1,0,248,248,True
97,1,0,223,223,True
3,1,1,223,222,True
5,1,1,223,222,True
10,2,1,223,222,True
17,1,1,298,297,True
26,2,1,298,297,True
28,1,1,298,297,True
31,2,1,223,222,True
37,1,1,223,222,True
42,1,1,223,222,True
49,1,1,266,265,True
52,2,1,223,222,True
53,2,1,223,222,True
64,2,1,248,247,True
66,1,1,248,247,True
75,1,1,309,308,True
80,1,1,248,247,True
82,1,1,248,247,True
91,1,1,248,247,True
93,1,1,223,222,True
94,2,1,248,247,True
95,2,1,248,247,True
1,1,2,223,221,True
2,1,2,266,264,True
3,2,2,223,221,True
20,2,2,223,221,True
27,1,2,223,221,True
29,1,2,266,264,True
31,3,2,223,221,True
35,1,2,298,296,True
42,2,2,223,221,True
47,2,2,266,264,True
48,1,2,266,264,True
50,1,2,216,214,True
64,3,2,248,246,True
73,2,2,248,246,True
74,1,2,248,246,True
79,1,2,248,246,True
86,1,2,216,214,True
91,2,2,248,246,True
93,2,2,223,221,True
97,2,2,223,221,True
5,2,3,223,220,True
6,1,3,223,220,True
13,1,3,223,220,True
17,2,3,298,295,True
26,3,3,298,295,True
32,1,3,298,295,True
34,2,3,223,220,True
35,2,3,298,295,True
44,1,3,223,220,True
47,3,3,266,263,True
50,2,3,216,213,True
52,3,3,223,220,True
57,2,3,223,220,True
60,2,3,248,245,True
69,2,3,248,245,True
75,2,3,309,306,True
86,2,3,216,213,True
94,3,3,248,245,True
98,1,3,223,220,True
3,3,4,223,219,True
5,3,4,223,219,True
7,1,4,223,219,True
12,1,4,223,219,True
18,1,4,298,294,True
20,3,4,223,219,True
22,1,4,223,219,True
27,2,4,223,219,True
39,1,4,223,219,True
42,3,4,223,219,True
44,2,4,223,219,True
45,1,4,377,373,True
47,4,4,266,262,True
53,3,4,223,219,True
54,1,4,223,219,True
57,3,4,223,219,True
65,2,4,282,278,True
67,1,4,248,244,True
70,2,4,306,302,True
84,1,4,248,244,True
90,1,4,444,440,True
94,4,4,248,244,True
95,3,4,248,244,True
96,1,4,248,244,True
97,3,4,223,219,True
99,1,4,223,219,True
2,2,5,266,261,True
14,1,5,223,218,True
21,1,5,266,261,True
23,2,5,223,218,True
39,2,5,223,218,True
40,2,5,266,261,True
43,1,5,223,218,True
45,2,5,377,372,True
47,5,5,266,261,True
50,3,5,248,243,True
55,1,5,216,211,True
56,1,5,248,243,True
66,2,5,248,243,True
77,1,5,223,218,True
82,2,5,248,243,True
83,2,5,223,218,True
84,2,5,248,243,True
85,1,5,288,283,True
86,3,5,216,211,True
92,1,5,248,243,True
94,5,5,248,243,True
95,4,5,248,243,True
5,4,6,223,217,True
10,3,6,223,217,True
17,3,6,298,292,True
20,4,6,223,217,True
29,2,6,266,260,True
31,4,6,223,217,True
42,4,6,223,217,True
55,2,6,216,210,True
62,1,6,248,242,True
68,1,6,288,282,True
73,3,6,248,242,True
74,2,6,248,242,True
78,2,6,216,210,True
92,2,6,248,242,True
98,2,6,223,217,True
3,4,7,377,370,True
4,2,7,223,216,True
8,1,7,223,216,True
10,4,7,223,216,True
13,2,7,223,216,True
16,1,7,248,241,True
27,3,7,223,216,True
30,2,7,223,216,True
35,3,7,298,291,True
36,2,7,223,216,True
41,1,7,223,216,True
46,1,7,266,259,True
47,6,7,266,259,True
48,2,7,266,259,True
49,2,7,266,259,True
50,4,7,248,241,True
56,2,7,248,241,True
59,1,7,248,241,True
60,3,7,248,241,True
63,1,7,223,216,True
65,3,7,282,275,True
67,2,7,248,241,True
71,1,7,223,216,True
75,3,7,309,302,True
77,2,7,223,216,True
78,3,7,216,209,True
82,3,7,248,241,True
85,2,7,288,281,True
86,4,7,216,209,True
95,5,7,248,241,True
99,2,7,223,216,True
1,2,8,223,215,True
4,3,8,223,215,True
7,2,8,223,215,True
9,1,8,223,215,True
11,2,8,223,215,True
15,1,8,223,215,True
30,3,8,223,215,True
36,3,8,223,215,True
38,1,8,298,290,True
50,5,8,248,240,True
52,4,8,223,215,True
55,3,8,216,208,True
56,3,8,248,240,True
57,4,8,223,215,True
60,4,8,248,240,True
68,2,8,288,280,True
70,3,8,306,298,True
71,2,8,223,215,True
76,1,8,309,301,True
77,3,8,223,215,True
85,3,8,288,280,True
87,1,8,223,215,True
88,2,8,248,240,True
95,6,8,248,240,True
2,3,9,266,257,True
12,2,9,223,214,True
13,3,9,223,214,True
16,2,9,248,239,True
18,2,9,298,289,True
30,4,9,223,214,True
31,5,9,223,214,True
32,2,9,298,289,True
58,1,9,248,239,True
61,2,9,248,239,True
70,4,9,306,297,True
72,1,9,223,214,True
74,3,9,248,239,True
80,2,9,248,239,True
82,4,9,248,239,True
83,3,9,223,214,True
88,3,9,248,239,True
91,3,9,248,239,True
92,3,9,248,239,True
93,3,9,223,214,True
0,1,10,266,256,True
2,4,10,266,256,True
7,3,10,223,213,True
9,2,10,223,213,True
12,3,10,223,213,True
13,4,10,223,213,True
17,4,10,298,288,True
22,2,10,223,213,True
42,5,10,223,213,True
50,6,10,248,238,True
63,2,10,223,213,True
75,4,10,309,299,True
79,2,10,248,238,True
81,1,10,216,206,True
93,4,10,223,213,True
4,4,11,223,212,True
13,5,11,223,212,True
19,1,11,223,212,True
27,4,11,223,212,True
41,2,11,223,212,True
42,6,11,223,212,True
48,3,11,266,255,True
52,5,11,223,212,True
62,2,11,248,237,True
74,4,11,248,237,True
83,4,11,223,212,True
7,4,12,223,211,True
16,3,12,248,236,True
20,5,12,223,211,True
30,5,12,223,211,True
32,3,12,298,286,True
46,2,12,266,254,True
49,3,12,266,254,True
62,3,12,248,236,True
66,3,12,248,236,True
74,5,12,248,236,True
77,4,12,223,211,True
83,5,12,223,211,True
96,2,12,248,236,True
97,4,12,223,211,True
7,5,13,223,210,True
8,2,13,223,210,True
31,6,13,223,210,True
35,4,13,298,285,True
36,4,13,223,210,True
40,3,13,266,253,True
41,3,13,223,210,True
42,7,13,223,210,True
45,3,13,377,364,True
54,2,13,223,210,True
57,5,13,223,210,True
59,2,13,248,235,True
62,4,13,248,235,True
66,4,13,248,235,True
69,3,13,248,235,True
70,5,13,306,293,True
71,3,13,223,210,True
80,3,13,248,235,True
98,3,13,223,210,True
8,3,14,223,209,True
13,6,14,223,209,True
14,2,14,223,209,True
19,2,14,223,209,True
20,6,14,223,209,True
30,6,14,223,209,True
36,5,14,223,209,True
42,8,14,223,209,True
44,3,14,223,209,True
48,4,14,266,252,True
54,3,14,223,209,True
59,3,14,248,234,True
64,4,14,248,234,True
65,4,14,282,268,True
67,3,14,248,234,True
71,4,14,223,209,True
73,4,14,248,234,True
91,4,14,248,234,True
93,5,14,223,209,True
96,3,14,248,234,True
99,3,14,223,209,True
1,3,15,223,208,True
9,3,15,223,208,True
17,5,15,298,283,True
24,1,15,298,283,True
33,1,15,223,208,True
34,3,15,223,208,True
36,6,15,223,208,True
41,4,15,223,208,True
43,2,15,223,208,True
