source,version,generation_slot,completion_slot,delay,completed
1,1,0,178,178,True
4,1,0,182,182,True
5,1,0,178,178,True
7,1,0,191,191,True
8,1,0,178,178,True
11,1,0,182,182,True
12,1,0,165,165,True
16,1,0,182,182,True
25,1,0,257,257,True
26,1,0,182,182,True
32,1,0,217,217,True
34,1,0,178,178,True
35,1,0,191,191,True
39,1,0,182,182,True
40,1,0,233,233,True
41,1,0,182,182,True
44,1,0,191,191,True
45,1,0,182,182,True
48,1,0,165,165,True
50,1,0,170,170,True
51,1,0,137,137,True
53,1,0,206,206,True
65,1,0,170,170,True
77,1,0,181,181,True
80,1,0,251,251,True
88,1,0,206,206,True
4,2,1,182,181,True
9,1,1,182,181,True
14,1,1,178,177,True
17,1,1,182,181,True
21,1,1,182,181,True
22,1,1,311,310,True
23,1,1,217,216,True
24,1,1,257,256,True
28,1,1,191,190,True
31,1,1,182,181,True
35,2,1,191,190,True
36,1,1,182,181,True
37,1,1,178,177,True
48,2,1,165,164,True
50,2,1,170,169,True
51,2,1,137,136,True
59,1,1,206,205,True
61,1,1,206,205,True
66,1,1,293,292,True
69,1,1,170,169,True
74,1,1,170,169,True
75,1,1,137,136,True
78,1,1,170,169,True
81,1,1,137,136,True
88,2,1,206,205,True
96,1,1,178,177,True
99,1,1,137,136,True
2,1,2,182,180,True
8,2,2,182,180,True
11,2,2,182,180,True
14,2,2,178,176,True
16,2,2,182,180,True
19,1,2,165,163,True
22,2,2,311,309,True
35,3,2,191,189,True
36,2,2,182,180,True
37,2,2,178,176,True
42,1,2,182,180,True
46,1,2,182,180,True
50,3,2,170,168,True
51,3,2,137,135,True
52,1,2,260,258,True
56,1,2,251,249,True
70,1,2,170,168,True
74,2,2,170,168,True
80,2,2,251,249,True
81,2,2,137,135,True
82,1,2,181,179,True
89,1,2,181,179,True
91,1,2,170,168,True
94,1,2,181,179,True
3,1,3,220,217,True
5,2,3,178,175,True
10,1,3,165,162,True
16,3,3,182,179,True
17,2,3,182,179,True
21,2,3,182,179,True
24,2,3,257,254,True
30,1,3,182,179,True
31,2,3,182,179,True
32,2,3,217,214,True
35,4,3,191,188,True
44,2,3,191,188,True
56,2,3,251,248,True
65,2,3,170,167,True
66,2,3,293,290,True
67,1,3,206,203,True
71,1,3,137,134,True
77,2,3,181,178,True
78,2,3,170,167,True
88,3,3,206,203,True
94,2,3,181,178,True
96,2,3,178,175,True
6,1,4,182,178,True
24,3,4,257,253,True
28,2,4,191,187,True
30,2,4,182,178,True
31,3,4,182,178,True
35,5,4,191,187,True
41,2,4,182,178,True
48,3,4,165,161,True
52,2,4,260,256,True
61,2,4,206,202,True
73,1,4,170,166,True
77,3,4,181,177,True
84,1,4,206,202,True
85,1,4,137,133,True
86,1,4,170,166,True
88,4,4,206,202,True
91,2,4,170,166,True
0,1,5,182,177,True
5,3,5,178,173,True
9,2,5,182,177,True
12,2,5,165,160,True
13,1,5,178,173,True
21,3,5,182,177,True
24,4,5,257,252,True
32,3,5,217,212,True
34,2,5,178,173,True
36,3,5,182,177,True
37,3,5,178,173,True
42,2,5,182,177,True
47,1,5,182,177,True
51,4,5,137,132,True
54,1,5,206,201,True
55,1,5,206,201,True
57,1,5,137,132,True
62,1,5,170,165,True
66,3,5,293,288,True
74,3,5,170,165,True
81,3,5,137,132,True
82,2,5,181,176,True
86,2,5,170,165,True
87,1,5,170,165,True
88,5,5,206,201,True
91,3,5,170,165,True
92,1,5,137,132,True
93,1,5,170,165,True
96,3,5,178,173,True
5,4,6,178,172,True
7,2,6,191,185,True
19,2,6,165,159,True
21,4,6,182,176,True
22,3,6,311,305,True
27,1,6,170,164,True
29,1,6,191,185,True
31,4,6,182,176,True
34,3,6,178,172,True
36,4,6,182,176,True
41,3,6,182,176,True
52,3,6,260,254,True
53,2,6,206,200,True
65,3,6,170,164,True
67,2,6,206,200,True
83,1,6,206,200,True
86,3,6,170,164,True
88,6,6,206,200,True
91,4,6,170,164,True
93,2,6,170,164,True
3,2,7,220,213,True
9,3,7,182,175,True
13,2,7,178,171,True
14,3,7,182,175,True
26,2,7,182,175,True
28,3,7,191,184,True
35,6,7,191,184,True
41,4,7,182,175,True
43,1,7,217,210,True
45,2,7,182,175,True
47,2,7,182,175,True
51,5,7,137,130,True
53,3,7,206,199,True
58,1,7,170,163,True
63,1,7,206,199,True
64,1,7,170,163,True
69,2,7,170,163,True
71,2,7,137,130,True
73,2,7,170,163,True
78,3,7,170,163,True
88,7,7,206,199,True
2,2,8,182,174,True
7,3,8,191,183,True
12,3,8,178,170,True
16,4,8,182,174,True
17,3,8,182,174,True
21,5,8,182,174,True
30,3,8,182,174,True
31,5,8,182,174,True
39,2,8,233,225,True
49,1,8,182,174,True
57,2,8,137,129,True
61,3,8,206,198,True
65,4,8,181,173,True
81,4,8,137,129,True
84,2,8,206,198,True
86,4,8,170,162,True
89,2,8,181,173,True
7,4,9,191,182,True
8,3,9,182,173,True
12,4,9,178,169,True
13,3,9,178,169,True
17,4,9,182,173,True
23,2,9,217,208,True
25,2,9,257,248,True
30,4,9,182,173,True
32,4,9,217,208,True
34,4,9,178,169,True
35,7,9,191,182,True
44,3,9,191,182,True
46,2,9,182,173,True
47,3,9,182,173,True
48,4,9,165,156,True
53,4,9,206,197,True
57,3,9,137,128,True
59,2,9,206,197,True
63,2,9,206,197,True
70,2,9,170,161,True
71,3,9,137,128,True
76,1,9,170,161,True
81,5,9,137,128,True
89,3,9,181,172,True
91,5,9,170,161,True
8,4,10,182,172,True
9,4,10,182,172,True
12,5,10,178,168,True
13,4,10,178,168,True
15,1,10,178,168,True
22,4,10,311,301,True
23,3,10,217,207,True
33,1,10,182,172,True
35,8,10,191,181,True
41,5,10,182,172,True
44,4,10,191,181,True
52,4,10,260,250,True
56,3,10,251,241,True
57,4,10,137,127,True
58,2,10,170,160,True
60,1,10,137,127,True
61,4,10,206,196,True
65,5,10,181,171,True
73,3,10,170,160,True
76,2,10,170,160,True
88,8,10,206,196,True
91,6,10,170,160,True
95,1,10,170,160,True
15,2,11,178,167,True
21,6,11,182,171,True
29,2,11,191,180,True
34,5,11,178,167,True
41,6,11,182,171,True
52,5,11,260,249,True
54,2,11,206,195,True
61,5,11,206,195,True
71,4,11,137,126,True
80,3,11,251,240,True
84,3,11,206,195,True
91,7,11,170,159,True
93,3,11,170,159,True
9,5,12,182,170,True
18,1,12,165,153,True
24,5,12,257,245,True
37,4,12,178,166,True
48,5,12,165,153,True
49,2,12,182,170,True
53,5,12,206,194,True
69,3,12,170,158,True
73,4,12,210,198,True
86,5,12,170,158,True
95,2,12,170,158,True
0,2,13,182,169,True
1,2,13,178,165,True
3,3,13,220,207,True
4,3,13,182,169,True
9,6,13,182,169,True
10,2,13,182,169,True
13,5,13,178,165,True
15,3,13,178,165,True
22,5,13,311,298,True
33,2,13,182,169,True
38,1,13,182,169,True
45,3,13,182,169,True
56,4,13,251,238,True
59,3,13,206,193,True
64,2,13,170,157,True
73,5,13,210,197,True
75,2,13,137,124,True
81,6,13,137,124,True
82,3,13,181,168,True
90,1,13,170,157,True
4,4,14,182,168,True
9,7,14,182,168,True
11,3,14,182,168,True
14,4,14,182,168,True
15,4,14,178,164,True
23,4,14,217,203,True
30,5,14,182,168,True
32,5,14,217,203,True
34,6,14,178,164,True
38,2,14,182,168,True
39,3,14,233,219,True
40,2,14,233,219,True
42,3,14,182,168,True
44,5,14,191,177,True
46,3,14,182,168,True
48,6,14,165,151,True
49,3,14,182,168,True
53,6,14,206,192,True
55,2,14,206,192,True
59,4,14,206,192,True
61,6,14,206,192,True
66,4,14,293,279,True
71,5,14,137,123,True
73,6,14,210,196,True
86,6,14,170,156,True
89,4,14,181,167,True
90,2,14,170,156,True
93,4,14,170,156,True
1,3,15,178,163,True
5,5,15,178,163,True
17,5,15,182,167,True
18,2,15,165,150,True
23,5,15,217,202,True
24,6,15,257,242,True
38,3,15,182,167,True
42,4,15,182,167,True
44,6,15,191,176,True
48,7,15,182,167,True
52,6,15,260,245,True
53,7,15,206,191,True
55,3,15,206,191,True
60,2,15,137,122,True
61,7,15,206,191,True
65,6,15,181,166,True
74,4,15,170,155,True
87,2,15,206,191,True
91,8,15,170,155,True
96,4,15,178,163,True
4,5,16,182,166,True
5,6,16,178,162,True
28,4,16,191,175,True
42,5,16,182,166,True
44,7,16,191,175,True
51,6,16,137,121,True
52,7,16,260,244,True
56,5,16,251,235,True
58,3,16,170,154,True
70,3,16,170,154,True
75,3,16,137,121,True
81,7,16,137,121,True
86,7,16,170,154,True
90,3,16,170,154,True
96,5,16,178,162,True
1,4,17,178,161,True
11,4,17,182,165,True
14,5,17,182,165,True
17,6,17,182,165,True
20,1,17,182,165,True
21,7,17,182,165,True
22,6,17,311,294,True
25,3,17,257,240,True
29,3,17,191,174,True
33,3,17,182,165,True
40,3,17,233,216,True
43,2,17,217,200,True
49,4,17,182,165,True
51,7,17,137,120,True
57,5,17,170,153,True
66,5,17,293,276,True
68,1,17,206,189,True
69,4,17,170,153,True
71,6,17,137,120,True
74,5,17,170,153,True
77,4,17,181,164,True
80,4,17,251,234,True
86,8,17,170,153,True
91,9,17,170,153,True
24,7,18,257,239,True
26,3,18,182,164,True
37,5,18,178,160,True
40,4,18,233,215,True
41,7,18,182,164,True
54,3,18,206,188,True
58,4,18,170,152,True
66,6,18,293,275,True
69,5,18,170,152,True
72,1,18,206,188,True
73,7,18,210,192,True
85,2,18,137,119,True
87,3,18,206,188,True
95,3,18,170,152,True
0,3,19,182,163,True
2,3,19,182,163,True
9,8,19,182,163,True
11,5,19,182,163,True
15,5,19,178,159,True
16,5,19,182,163,True
18,3,19,165,146,True
27,2,19,170,151,True
42,6,19,182,163,True
67,3,19,206,187,True
75,4,19,137,118,True
76,3,19,170,151,True
85,3,19,137,118,True
87,4,19,206,187,True
89,5,19,181,162,True
9,9,20,182,162,True
12,6,20,178,158,True
26,4,20,182,162,True
27,3,20,170,150,True
29,4,20,191,171,True
43,3,20,217,197,True
44,8,20,191,171,True
53,8,20,206,186,True
54,4,20,206,186,True
56,6,20,251,231,True
62,2,20,170,150,True
65,7,20,181,161,True
69,6,20,170,150,True
78,4,20,170,150,True
0,4,21,182,161,True
1,5,21,178,157,True
14,6,21,182,161,True
15,6,21,178,157,True
17,7,21,182,161,True
24,8,21,257,236,True
44,9,21,191,170,True
46,4,21,182,161,True
50,4,21,170,149,True
52,8,21,260,239,True
53,9,21,206,185,True
57,6,21,170,149,True
58,5,21,170,149,True
59,5,21,206,185,True
65,8,21,181,160,True
74,6,21,170,149,True
75,5,21,137,116,True
87,5,21,206,185,True
91,10,21,170,149,True
98,1,21,251,230,True
2,4,22,182,160,True
3,4,22,220,198,True
16,6,22,182,160,True
28,5,22,191,169,True
30,6,22,182,160,True
57,7,22,170,148,True
62,3,22,170,148,True
66,7,22,293,271,True
76,4,22,170,148,True
77,5,22,181,159,True
81,8,22,170,148,True
89,6,22,181,159,True
91,11,22,170,148,True
95,4,22,170,148,True
1,6,23,178,155,True
4,6,23,182,159,True
6,2,23,182,159,True
7,5,23,191,168,True
15,7,23,178,155,True
19,3,23,170,147,True
21,8,23,182,159,True
24,9,23,257,234,True
25,4,23,257,234,True
36,5,23,182,159,True
45,4,23,182,159,True
48,8,23,182,159,True
53,10,23,206,183,True
57,8,23,170,147,True
61,8,23,206,183,True
64,3,23,170,147,True
65,9,23,181,158,True
70,4,23,170,147,True
76,5,23,170,147,True
78,5,23,170,147,True
80,5,23,251,228,True
84,4,23,206,183,True
87,6,23,206,183,True
93,5,23,170,147,True
3,5,24,220,196,True
6,3,24,182,158,True
24,10,24,257,233,True
25,5,24,257,233,True
32,6,24,217,193,True
34,7,24,178,154,True
35,9,24,191,167,True
37,6,24,178,154,True
41,8,24,182,158,True
52,9,24,260,236,True
53,11,24,206,182,True
54,5,24,206,182,True
55,4,24,206,182,True
58,6,24,170,146,True
62,4,24,170,146,True
70,5,24,170,146,True
73,8,24,210,186,True
79,1,24,170,146,True
81,9,24,170,146,True
94,3,24,181,157,True
7,6,25,191,166,True
13,6,25,178,153,True
20,2,25,182,157,True
23,6,25,217,192,True
45,5,25,182,157,True
59,6,25,206,181,True
62,5,25,170,145,True
68,2,25,206,181,True
71,7,25,137,112,True
72,2,25,206,181,True
74,7,25,170,145,True
76,6,25,170,145,True
84,5,25,206,181,True
88,9,25,206,181,True
97,1,25,206,181,True
