node_i,node_j,curvature,bottleneck_importance
0,6,0.24444444444444424,0.0
0,7,0.2777777777777778,0.0
0,16,0.4285714285714286,0.0
0,20,0.5555555555555556,0.0
0,21,0.1507936507936508,0.0
0,25,0.5555555555555556,0.0
0,36,0.5555555555555556,0.0
0,44,0.27222222222222237,0.0
0,49,0.4040404040404041,0.0
1,3,0.4464285714285716,0.0
1,8,0.10714285714285732,0.0
1,10,0.18452380952380965,0.0
1,12,1.1102230246251565e-16,0.0
1,13,0.2692307692307695,0.0
1,19,0.3088235294117647,0.0
1,22,0.2142857142857144,0.0
1,23,0.1517857142857143,0.0
1,24,0.19736842105263164,0.0
1,32,0.3373015873015872,0.0
1,38,0.34375000000000033,0.0
1,40,0.2812500000000001,0.0
1,45,0.4835164835164836,0.0
1,48,0.4835164835164836,0.0
2,4,0.48076923076923084,0.0
2,9,0.47435897435897434,0.0
2,12,0.03296703296703307,0.0
2,14,0.13348416289592735,0.0
2,23,-0.10096153846153832,0.15213382507903037
2,24,-0.05668016194331993,0.08540846320226292
2,30,-0.002262443438914019,0.0034091613463087963
2,33,-0.015384615384615552,0.02318229715490015
2,34,0.02447552447552437,0.0
2,35,0.18803418803418803,0.0
2,37,0.04807692307692302,0.0
2,39,-0.11538461538461542,0.17386722866174928
2,41,0.07967032967032994,0.0
3,8,0.17261904761904756,0.0
3,10,0.2500000000000001,0.0
3,13,0.1858974358974358,0.0
3,19,0.267156862745098,0.0
3,22,0.25,0.0
3,24,0.155701754385965,0.0
3,32,0.3611111111111114,0.0
3,38,0.30208333333333326,0.0
3,40,0.23958333333333337,0.0
3,45,0.4903846153846154,0.0
3,48,0.4903846153846154,0.0
4,9,0.45833333333333337,0.0
4,12,0.053571428571428714,0.0
4,14,0.10784313725490191,0.0
4,23,-0.0625,0.09417808219178082
4,24,-0.04385964912280693,0.06608988223984606
4,30,-0.03431372549019618,0.05170561375235041
4,33,-0.008333333333333304,0.012557077625570732
4,35,0.152777777777778,0.0
4,37,0.08333333333333337,0.0
4,39,-0.08333333333333348,0.125570776255708
4,41,0.04761904761904778,0.0
5,8,0.20833333333333337,0.0
5,10,0.16666666666666674,0.0
5,11,0.359848484848485,0.0
5,14,0.1568627450980392,0.0
5,19,0.14460784313725472,0.0
5,24,0.1381578947368426,0.0
5,26,0.04166666666666685,0.0
5,27,0.16666666666666652,0.0
5,30,0.23774509803921562,0.0
5,38,0.10416666666666674,0.0
5,40,0.16666666666666674,0.0
5,41,-0.029761904761904656,0.04484670580560976
6,7,0.10714285714285732,0.0
6,16,0.2928571428571426,0.0
6,20,0.24444444444444458,0.0
6,25,0.24444444444444446,0.0
6,26,-0.3500000000000003,0.5273972602739732
6,36,0.24444444444444446,0.0
6,49,0.15454545454545476,0.0
6,63,-0.6636363636363636,1.0
6,73,-0.6499999999999999,0.9794520547945205
7,16,0.2142857142857143,0.0
7,18,-0.05714285714285694,0.08610567514677074
7,20,0.2777777777777777,0.0
7,21,0.3928571428571429,0.0
7,25,0.2777777777777778,0.0
7,26,-0.09285714285714275,0.1399217221135028
7,30,-0.3361344537815123,0.5065039714515939
7,34,-0.02597402597402576,0.03913894324853197
7,36,0.2777777777777778,0.0
7,41,-0.1785714285714286,0.26908023483365956
7,44,0.3071428571428574,0.0
7,49,0.2987012987012988,0.0
8,10,0.4404761904761907,0.0
8,11,0.12662337662337686,0.0
8,19,0.24369747899159666,0.0
8,24,0.1992481203007519,0.0
8,27,0.0357142857142857,0.0
8,30,-0.031512605042016695,0.047484747323586804
8,38,0.2142857142857144,0.0
8,40,0.2767857142857142,0.0
8,45,0.13736263736263754,0.0
8,47,-0.10714285714285698,0.16144814090019546
