source,version,generation_slot,completion_slot,delay,completed
4,1,0,340,340,True
10,1,0,192,192,True
11,1,0,192,192,True
20,1,0,192,192,True
23,1,0,340,340,True
26,1,0,340,340,True
30,1,0,340,340,True
31,1,0,192,192,True
34,1,0,340,340,True
36,1,0,340,340,True
40,1,0,340,340,True
47,1,0,340,340,True
52,1,0,200,200,True
53,1,0,253,253,True
57,1,0,267,267,True
60,1,0,253,253,True
61,1,0,253,253,True
64,1,0,200,200,True
65,1,0,200,200,True
69,1,0,253,253,True
70,1,0,224,224,True
73,1,0,200,200,True
78,1,0,224,224,True
83,1,0,253,253,True
88,1,0,253,253,True
94,1,0,224,224,True
95,1,0,253,253,True
97,1,0,200,200,True
3,1,1,340,339,True
5,1,1,340,339,True
10,2,1,192,191,True
17,1,1,340,339,True
26,2,1,340,339,True
28,1,1,340,339,True
31,2,1,192,191,True
37,1,1,340,339,True
42,1,1,340,339,True
49,1,1,340,339,True
52,2,1,200,199,True
53,2,1,253,252,True
64,2,1,200,199,True
66,1,1,224,223,True
75,1,1,253,252,True
80,1,1,253,252,True
82,1,1,253,252,True
91,1,1,253,252,True
93,1,1,253,252,True
94,2,1,224,223,True
95,2,1,253,252,True
1,1,2,340,338,True
2,1,2,340,338,True
3,2,2,340,338,True
20,2,2,192,190,True
27,1,2,242,240,True
29,1,2,340,338,True
31,3,2,192,190,True
35,1,2,340,338,True
42,2,2,340,338,True
47,2,2,340,338,True
48,1,2,340,338,True
50,1,2,253,251,True
64,3,2,200,198,True
73,2,2,200,198,True
74,1,2,253,251,True
79,1,2,253,251,True
86,1,2,253,251,True
91,2,2,253,251,True
93,2,2,253,251,True
97,2,2,200,198,True
5,2,3,340,337,True
6,1,3,340,337,True
13,1,3,340,337,True
17,2,3,340,337,True
26,3,3,340,337,True
32,1,3,340,337,True
34,2,3,340,337,True
35,2,3,340,337,True
44,1,3,340,337,True
47,3,3,340,337,True
50,2,3,253,250,True
52,3,3,200,197,True
57,2,3,267,264,True
60,2,3,253,250,True
69,2,3,253,250,True
75,2,3,253,250,True
86,2,3,253,250,True
94,3,3,224,221,True
98,1,3,253,250,True
3,3,4,340,336,True
5,3,4,340,336,True
7,1,4,340,336,True
12,1,4,340,336,True
18,1,4,340,336,True
20,3,4,192,188,True
22,1,4,200,196,True
27,2,4,242,238,True
39,1,4,340,336,True
42,3,4,340,336,True
44,2,4,340,336,True
45,1,4,340,336,True
47,4,4,340,336,True
53,3,4,253,249,True
54,1,4,253,249,True
57,3,4,267,263,True
65,2,4,200,196,True
67,1,4,267,263,True
70,2,4,224,220,True
84,1,4,200,196,True
90,1,4,253,249,True
94,4,4,224,220,True
95,3,4,253,249,True
96,1,4,200,196,True
97,3,4,200,196,True
99,1,4,253,249,True
2,2,5,340,335,True
14,1,5,340,335,True
21,1,5,340,335,True
23,2,5,340,335,True
39,2,5,340,335,True
40,2,5,340,335,True
43,1,5,340,335,True
45,2,5,340,335,True
47,5,5,340,335,True
50,3,5,253,248,True
55,1,5,267,262,True
56,1,5,200,195,True
66,2,5,224,219,True
77,1,5,267,262,True
82,2,5,253,248,True
83,2,5,253,248,True
84,2,5,200,195,True
85,1,5,200,195,True
86,3,5,253,248,True
92,1,5,253,248,True
94,5,5,224,219,True
95,4,5,253,248,True
5,4,6,340,334,True
10,3,6,192,186,True
17,3,6,340,334,True
20,4,6,192,186,True
29,2,6,340,334,True
31,4,6,192,186,True
42,4,6,340,334,True
55,2,6,267,261,True
62,1,6,253,247,True
68,1,6,253,247,True
73,3,6,253,247,True
74,2,6,253,247,True
78,2,6,224,218,True
92,2,6,253,247,True
98,2,6,253,247,True
3,4,7,340,333,True
4,2,7,340,333,True
8,1,7,340,333,True
10,4,7,192,185,True
13,2,7,340,333,True
16,1,7,192,185,True
27,3,7,242,235,True
30,2,7,340,333,True
35,3,7,340,333,True
36,2,7,340,333,True
41,1,7,340,333,True
46,1,7,340,333,True
47,6,7,340,333,True
48,2,7,340,333,True
49,2,7,340,333,True
50,4,7,253,246,True
56,2,7,267,260,True
59,1,7,267,260,True
60,3,7,253,246,True
63,1,7,200,193,True
65,3,7,253,246,True
67,2,7,267,260,True
71,1,7,200,193,True
75,3,7,253,246,True
77,2,7,267,260,True
78,3,7,224,217,True
82,3,7,253,246,True
85,2,7,200,193,True
86,4,7,253,246,True
95,5,7,253,246,True
99,2,7,253,246,True
1,2,8,340,332,True
4,3,8,340,332,True
7,2,8,340,332,True
9,1,8,340,332,True
11,2,8,192,184,True
15,1,8,340,332,True
30,3,8,340,332,True
36,3,8,340,332,True
