slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,9.567777777777778,16.0,15.0,16.0,15.37979797979798,48.866868686868685,1,14,1,37,170,10.06,16.0,9.6144,16.0
51,9.835757575757576,16.0,15.0,16.0,15.737373737373737,49.76747474747475,2,18,2,23,218,10.32,16.0,9.9304,16.0
52,10.013636363636364,17.0,16.0,16.01000000000022,16.2,50.523737373737376,3,30,3,65,516,10.52,17.0,10.1904,16.0
53,10.182121212121212,17.0,16.0,17.0,16.371717171717172,51.51414141414141,1,5,1,5,15,10.7,17.0,10.3504,17.0
54,10.376363636363637,17.0,16.0,17.0,16.55151515151515,52.43878787878788,1,12,1,23,156,11.04,17.0,10.4304,17.0
55,10.556363636363637,17.0,16.0,17.0,16.90707070707071,53.346363636363634,2,14,2,19,198,11.22,17.0,10.6504,17.0
56,10.656161616161617,17.0,16.0,17.0,16.90707070707071,54.1130303030303,2,17,2,60,398,11.34,17.0,10.8104,17.0
57,10.846161616161616,17.0,17.0,17.0,17.0,55.1130303030303,0,0,0,0,0,11.56,17.0,10.9704,17.0
58,11.076161616161617,18.0,17.0,18.0,17.371717171717172,56.1130303030303,0,0,0,0,0,11.78,18.0,11.2104,18.0
59,11.286161616161616,18.0,17.0,18.0,17.57171717171717,57.1130303030303,0,0,0,0,0,12.02,18.0,11.3904,18.0
60,11.487272727272726,19.0,17.0,18.0,17.937373737373736,57.86727272727273,3,24,3,71,583,12.36,19.0,11.5704,18.0
61,11.660505050505051,19.0,17.0,18.0,18.11111111111111,58.78686868686869,1,6,1,17,166,12.58,19.0,11.7304,18.0
62,11.88050505050505,19.0,17.0,19.0,18.31111111111111,59.78686868686869,0,0,0,0,0,12.84,19.0,11.9104,18.0
63,12.04050505050505,19.0,18.0,19.0,18.583838383838383,60.78686868686869,0,0,0,0,0,13.06,19.0,12.0104,18.0
64,12.295656565656566,19.0,18.0,19.0,18.783838383838383,61.764242424242425,1,6,1,10,48,13.26,19.0,12.3304,19.0
65,12.448585858585858,20.0,18.0,19.0,18.967676767676767,62.73191919191919,1,5,1,5,70,13.44,20.0,12.4704,19.0
66,12.583737373737375,20.0,18.0,19.0,18.967676767676767,63.70777777777778,1,7,1,10,48,13.52,20.0,12.6704,19.0
67,12.773737373737374,20.0,19.0,20.0,19.383838383838384,64.70777777777778,0,0,0,0,0,13.68,20.0,12.8904,19.0
68,12.947373737373738,21.0,19.0,20.0,19.56767676767677,65.62474747474748,1,12,1,30,162,13.86,21.0,13.0904,19.0
69,13.096767676767676,21.0,19.0,20.0,19.56767676767677,66.62232323232323,1,3,1,3,6,14.04,21.0,13.2104,19.0
70,13.396767676767677,21.0,19.0,21.0,20.143434343434343,67.62232323232323,0,0,0,0,0,14.32,21.0,13.5304,20.0
71,13.606767676767676,21.0,20.0,21.0,20.383838383838384,68.62232323232323,0,0,0,0,0,14.58,21.0,13.6904,20.0
72,13.773939393939393,21.0,20.0,21.0,20.383838383838384,69.60676767676767,1,14,1,14,28,14.78,21.0,13.8304,20.0
