source,version,generation_slot,completion_slot,delay,completed
15,1,0,82,82,True
24,1,0,82,82,True
60,1,0,91,91,True
65,1,0,91,91,True
70,1,0,48,48,True
87,1,0,91,91,True
88,1,0,91,91,True
14,1,1,58,57,True
39,1,1,58,57,True
55,1,1,91,90,True
56,1,1,91,90,True
71,1,1,48,47,True
88,2,1,91,90,True
89,1,1,91,90,True
2,1,2,58,56,True
3,1,2,58,56,True
48,1,2,58,56,True
53,1,2,48,46,True
60,2,2,91,89,True
68,1,2,91,89,True
20,1,3,120,117,True
51,1,3,91,88,True
69,1,3,48,45,True
4,1,4,58,54,True
18,1,4,58,54,True
28,1,4,81,77,True
64,1,4,48,44,True
79,1,4,48,44,True
84,1,4,48,44,True
89,2,4,91,87,True
7,1,5,58,53,True
16,1,5,58,53,True
55,2,5,91,86,True
67,1,5,91,86,True
2,2,6,81,75,True
11,1,6,81,75,True
62,1,6,91,85,True
74,1,6,48,42,True
87,2,6,91,85,True
98,1,6,148,142,True
14,2,7,58,51,True
22,1,7,82,75,True
38,1,7,58,51,True
69,2,7,91,84,True
92,1,7,91,84,True
98,2,7,148,141,True
10,1,8,58,50,True
19,1,8,81,73,True
91,1,8,91,83,True
49,1,9,58,49,True
62,2,9,91,82,True
64,2,9,48,39,True
12,1,10,82,72,True
14,3,10,82,72,True
18,2,10,58,48,True
22,2,10,82,72,True
26,1,10,58,48,True
49,2,10,58,48,True
50,1,10,91,81,True
91,2,10,91,81,True
95,1,10,48,38,True
0,1,11,58,47,True
70,2,11,91,80,True
72,1,11,91,80,True
76,1,11,48,37,True
87,3,11,91,80,True
95,2,11,48,37,True
36,1,12,58,46,True
50,2,12,91,79,True
58,1,12,91,79,True
81,1,12,91,79,True
82,1,12,58,46,True
83,1,12,58,46,True
90,1,12,91,79,True
20,2,13,120,107,True
25,1,13,58,45,True
29,1,13,81,68,True
48,2,13,82,69,True
85,1,13,73,60,True
88,3,13,148,135,True
46,1,14,120,106,True
56,2,14,91,77,True
59,1,14,91,77,True
60,3,14,91,77,True
89,3,14,91,77,True
30,1,15,81,66,True
38,2,15,81,66,True
41,1,15,81,66,True
60,4,15,91,76,True
61,1,15,91,76,True
88,4,15,148,133,True
2,3,16,120,104,True
45,1,16,82,66,True
57,1,16,91,75,True
60,5,16,91,75,True
87,4,16,91,75,True
9,1,17,120,103,True
20,3,17,120,103,True
22,3,17,82,65,True
29,2,17,120,103,True
66,1,17,91,74,True
72,2,17,91,74,True
2,4,18,120,102,True
34,1,18,81,63,True
79,2,18,91,73,True
32,1,19,120,101,True
38,3,19,82,63,True
80,1,19,91,72,True
93,1,19,91,72,True
4,2,20,82,62,True
17,1,20,81,61,True
24,2,20,82,62,True
46,2,20,120,100,True
48,3,20,82,62,True
69,3,20,91,71,True
8,1,21,82,61,True
63,1,21,58,37,True
85,2,21,73,52,True
95,3,21,91,70,True
97,1,21,91,70,True
34,2,22,120,98,True
51,2,22,91,69,True
58,2,22,91,69,True
62,3,22,91,69,True
64,3,22,91,69,True
65,2,22,91,69,True
80,2,22,91,69,True
93,2,22,91,69,True
95,4,22,91,69,True
23,1,23,120,97,True
28,2,23,120,97,True
39,2,23,120,97,True
44,1,23,81,58,True
69,4,23,91,68,True
90,2,23,91,68,True
3,2,24,120,96,True
32,2,24,120,96,True
41,2,24,120,96,True
83,2,24,91,67,True
84,2,24,113,89,True
0,2,25,81,56,True
54,1,25,91,66,True
87,5,25,91,66,True
93,3,25,91,66,True
44,2,26,120,94,True
48,4,26,82,56,True
65,3,26,91,65,True
74,2,26,91,65,True
75,1,26,91,65,True
91,3,26,91,65,True
25,2,27,81,54,True
37,1,27,120,93,True
50,3,27,91,64,True
71,2,27,68,41,True
74,3,27,91,64,True
78,1,27,91,64,True
81,2,27,91,64,True
85,3,27,113,86,True
3,3,28,120,92,True
76,2,28,91,63,True
88,5,28,148,120,True
15,2,29,120,91,True
25,3,29,81,52,True
43,1,29,82,53,True
48,5,29,82,53,True
69,5,29,113,84,True
79,3,29,91,62,True
13,1,30,82,52,True
15,3,30,120,90,True
25,4,30,81,51,True
28,3,30,120,90,True
37,2,30,120,90,True
51,3,30,91,61,True
71,3,30,91,61,True
7,2,31,120,89,True
70,3,31,148,117,True
72,3,31,91,60,True
76,3,31,91,60,True
79,4,31,91,60,True
85,4,31,113,82,True
95,5,31,91,60,True
98,3,31,148,117,True
15,4,32,120,88,True
57,2,32,148,116,True
67,2,32,91,59,True
75,2,32,148,116,True
89,4,32,91,59,True
13,2,33,82,49,True
86,1,33,91,58,True
4,3,34,120,86,True
7,3,34,120,86,True
42,1,34,120,86,True
44,3,34,120,86,True
45,2,34,82,48,True
48,6,34,120,86,True
84,3,34,113,79,True
93,4,34,91,57,True
0,3,35,120,85,True
9,2,35,120,85,True
59,2,35,91,56,True
67,3,35,91,56,True
75,3,35,148,113,True
83,3,35,91,56,True
84,4,35,113,78,True
0,4,36,120,84,True
1,1,36,120,84,True
7,4,36,120,84,True
40,1,36,120,84,True
90,3,36,148,112,True
12,2,37,120,83,True
15,5,37,120,83,True
23,2,37,120,83,True
78,2,37,113,76,True
84,5,37,113,76,True
91,4,37,91,54,True
2,5,38,120,82,True
11,2,38,120,82,True
20,4,38,120,82,True
44,4,38,120,82,True
46,3,38,120,82,True
60,6,38,148,110,True
61,2,38,113,75,True
77,1,38,113,75,True
88,6,38,148,110,True
97,2,38,113,75,True
35,1,39,120,81,True
62,4,40,148,108,True
87,6,40,148,108,True
26,2,41,120,79,True
3,4,42,120,78,True
24,3,42,120,78,True
26,3,42,120,78,True
46,4,42,120,78,True
47,1,42,120,78,True
50,4,42,91,49,True
89,5,42,91,49,True
