source,version,generation_slot,completion_slot,delay,completed
4,1,0,53,53,True
10,1,0,53,53,True
20,1,0,53,53,True
30,1,0,53,53,True
31,1,0,53,53,True
40,1,0,120,120,True
47,1,0,70,70,True
52,1,0,50,50,True
53,1,0,77,77,True
57,1,0,41,41,True
61,1,0,95,95,True
64,1,0,50,50,True
69,1,0,95,95,True
70,1,0,95,95,True
73,1,0,95,95,True
78,1,0,50,50,True
95,1,0,50,50,True
3,1,1,53,52,True
5,1,1,70,69,True
10,2,1,53,52,True
26,1,1,70,69,True
28,1,1,137,136,True
37,1,1,120,119,True
42,1,1,53,52,True
52,2,1,50,49,True
66,1,1,34,33,True
82,1,1,50,49,True
94,1,1,50,49,True
95,2,1,50,49,True
27,1,2,53,51,True
29,1,2,70,68,True
31,2,2,53,51,True
47,2,2,70,68,True
48,1,2,120,118,True
50,1,2,34,32,True
64,2,2,50,48,True
73,2,2,95,93,True
74,1,2,50,48,True
79,1,2,95,93,True
91,1,2,50,48,True
97,1,2,50,48,True
5,2,3,70,67,True
6,1,3,70,67,True
13,1,3,70,67,True
26,2,3,70,67,True
35,1,3,70,67,True
44,1,3,53,50,True
47,3,3,70,67,True
52,3,3,50,47,True
69,2,3,95,92,True
94,2,3,95,92,True
3,2,4,53,49,True
7,1,4,53,49,True
20,2,4,70,66,True
39,1,4,79,75,True
65,1,4,131,127,True
84,1,4,95,91,True
90,1,4,95,91,True
95,3,4,50,46,True
96,1,4,77,73,True
97,2,4,50,46,True
99,1,4,77,73,True
2,1,5,79,74,True
14,1,5,70,65,True
23,1,5,70,65,True
39,2,5,79,74,True
40,2,5,120,115,True
43,1,5,70,65,True
45,1,5,70,65,True
47,4,5,70,65,True
50,2,5,77,72,True
82,2,5,50,45,True
84,2,5,95,90,True
85,1,5,34,29,True
86,1,5,50,45,True
95,4,5,50,45,True
10,3,6,53,47,True
17,1,6,53,47,True
20,3,6,70,64,True
29,2,6,70,64,True
42,2,6,70,64,True
55,1,6,50,44,True
62,1,6,95,89,True
68,1,6,50,44,True
78,2,6,50,44,True
98,1,6,77,71,True
4,2,7,53,46,True
10,4,7,53,46,True
13,2,7,70,63,True
16,1,7,120,113,True
27,2,7,53,46,True
30,2,7,53,46,True
46,1,7,79,72,True
56,1,7,95,88,True
59,1,7,50,43,True
63,1,7,50,43,True
65,2,7,131,124,True
71,1,7,77,70,True
75,1,7,95,88,True
85,2,7,104,97,True
86,2,7,50,43,True
95,5,7,50,43,True
99,2,7,77,70,True
1,1,8,70,62,True
7,2,8,120,112,True
9,1,8,76,68,True
15,1,8,79,71,True
36,1,8,70,62,True
50,3,8,77,69,True
52,4,8,50,42,True
55,2,8,50,42,True
57,2,8,53,45,True
60,1,8,95,87,True
76,1,8,102,94,True
95,6,8,50,42,True
2,2,9,79,70,True
18,1,9,120,111,True
30,3,9,53,44,True
32,1,9,137,128,True
58,1,9,95,86,True
82,3,9,95,86,True
83,1,9,53,44,True
91,2,9,95,86,True
92,1,9,95,86,True
93,1,9,77,68,True
0,1,10,70,60,True
7,3,10,120,110,True
12,1,10,70,60,True
63,2,10,53,43,True
79,2,10,95,85,True
81,1,10,50,40,True
4,3,11,53,42,True
27,3,11,53,42,True
41,1,11,70,59,True
42,3,11,70,59,True
20,4,12,70,58,True
32,2,12,137,125,True
66,2,12,95,83,True
77,1,12,50,38,True
96,2,12,77,65,True
7,4,13,120,107,True
8,1,13,79,66,True
41,2,13,70,57,True
45,2,13,70,57,True
54,1,13,50,37,True
69,3,13,95,82,True
70,2,13,95,82,True
71,2,13,77,64,True
8,2,14,79,65,True
13,3,14,70,56,True
30,4,14,53,39,True
48,2,14,120,106,True
54,2,14,50,36,True
59,2,14,50,36,True
65,3,14,131,117,True
71,3,14,77,63,True
73,3,14,95,81,True
99,3,14,77,63,True
34,1,15,120,105,True
43,2,15,70,55,True
55,3,15,50,35,True
57,3,15,53,38,True
70,3,15,95,80,True
82,4,15,95,80,True
84,3,15,95,80,True
96,3,15,77,62,True
5,3,16,70,54,True
14,2,16,70,54,True
15,2,16,79,63,True
24,1,16,79,63,True
35,2,16,70,54,True
41,3,16,70,54,True
