slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,3.3976767676767676,12.0,8.0,10.0,8.852525252525252,38.63969696969697,6,45,6,347,935,3.8004,12.0,4.5028,10.0
51,3.3604040404040405,12.0,8.0,10.0,8.878787878787879,38.524343434343436,7,48,7,480,1359,3.8044,12.0,4.5028,10.0
52,3.402020202020202,12.0,8.0,10.0,8.854545454545455,39.09151515151515,10,55,10,192,479,3.9244,12.0,4.5208,10.0
53,3.403737373737374,12.0,8.0,11.0,9.044444444444444,39.63151515151515,10,56,10,203,577,3.9748,12.0,4.5808,11.0
54,3.4956565656565655,12.0,8.0,11.0,9.052525252525253,40.37373737373738,3,16,3,117,377,4.1144,12.0,4.6408,11.0
55,3.533939393939394,12.0,8.0,11.0,9.143434343434343,41.08323232323232,9,59,9,138,413,4.1564,12.0,4.7268,11.0
56,3.634141414141414,12.0,8.0,11.0,9.236363636363636,41.664848484848484,12,58,11,164,493,4.3364,12.0,4.8468,11.0
57,3.5893939393939394,12.0,8.0,10.0,9.236363636363636,41.49484848484848,13,62,12,492,1433,4.3156,12.0,4.816,11.0
58,3.603939393939394,12.0,8.0,10.0,9.133333333333333,41.83111111111111,14,54,12,261,747,4.368,12.0,4.798,11.0
59,3.626868686868687,12.0,8.0,10.0,9.1010101010101,42.45868686868687,9,51,9,139,367,4.428,12.0,4.858,11.0
60,3.7065656565656564,13.0,8.0,10.0,9.301010101010101,43.16070707070707,6,22,6,103,300,4.528,13.0,4.95,11.0
61,3.753131313131313,14.0,8.0,10.0,9.503030303030304,43.40464646464646,5,46,5,277,727,4.6832,14.0,4.9348,11.0
62,3.7462626262626264,14.0,8.0,10.0,9.414141414141413,43.47585858585859,9,64,9,356,959,4.748,14.0,4.9528,11.0
63,3.8664646464646464,15.0,8.0,10.0,9.72929292929293,44.35212121212121,2,20,2,51,97,4.848,15.0,5.1128,11.0
64,3.8927272727272726,15.0,9.0,10.0,9.856565656565657,44.27717171717172,8,56,8,401,1126,4.956,15.0,5.1568,11.0
65,3.953939393939394,15.0,9.0,10.0,9.852525252525252,44.828989898989896,10,55,10,197,483,5.0196,15.0,5.2428,11.0
66,4.023737373737374,15.0,9.0,10.0,10.115151515151515,45.44444444444444,8,58,8,183,398,5.1572,15.0,5.3228,11.0
67,4.0085858585858585,15.0,9.0,11.0,10.391919191919191,45.8230303030303,5,27,4,271,744,5.1568,15.0,5.3628,11.0
68,3.9984848484848485,15.0,9.0,11.0,10.72121212121212,45.543232323232324,6,59,6,537,1387,5.1084,15.0,5.4628,11.0
69,3.9682828282828284,15.0,9.0,11.0,10.8989898989899,45.52848484848485,9,58,9,404,1091,5.0732,15.0,5.5428,11.0
70,3.9242424242424243,15.0,9.0,11.0,10.808080808080808,45.54767676767677,7,47,7,408,1129,5.034,15.0,5.5272,12.0
71,4.005151515151515,15.0,9.0,11.0,10.81010101010101,46.18090909090909,6,38,6,153,387,5.1356,15.0,5.5872,12.0
72,3.9033333333333333,15.0,10.0,11.0,10.917171717171717,46.03939393939394,7,50,7,493,1404,5.0188,15.0,5.5184,12.0
73,3.7732323232323233,15.0,9.0,11.0,10.94141414141414,45.45717171717172,5,46,5,625,1882,4.958,15.0,5.292,12.0
74,3.8165656565656567,16.0,9.049999999999272,11.0,11.125252525252526,46.08737373737374,8,49,8,143,363,5.0372,16.0,5.372,12.0
75,3.695050505050505,16.0,9.0,11.0,10.983838383838384,45.19111111111111,14,56,13,737,2193,4.9484,16.0,5.1488,13.0
76,3.7263636363636365,16.0,9.0,11.0,10.955555555555556,45.736060606060605,10,62,10,188,482,4.9512,16.0,5.2288,13.0
77,3.7448484848484846,17.0,9.0,12.0,11.242424242424242,45.56141414141414,9,56,9,405,1401,5.1312,17.0,5.0828,11.0
78,3.7334343434343435,17.0,9.0,12.0,11.173737373737374,45.336060606060606,6,57,6,419,1202,5.0536,17.0,5.1484,12.0
79,3.6346464646464645,17.0,9.0,12.0,11.04040404040404,45.21191919191919,8,52,8,419,1374,4.9984,17.0,4.9564,13.0
80,3.6044444444444443,17.0,9.0,12.0,10.88888888888889,45.136161616161615,7,47,7,355,992,4.918,17.0,4.906,13.0
81,3.633737373737374,17.0,9.0,12.0,10.745454545454546,44.85818181818182,7,49,7,495,1591,5.138,17.0,4.604,13.0
82,3.585959595959596,17.0,9.0,12.0,10.78989898989899,44.70121212121212,13,55,12,426,1166,5.1684,17.0,4.4632,13.0
83,3.6547474747474746,17.0,9.0,12.0,10.915151515151516,45.29939393939394,5,45,5,168,507,5.2484,17.0,4.6232,13.0
84,3.686969696969697,17.0,9.0,12.0,10.995959595959595,45.84111111111111,11,52,11,171,473,5.3284,17.0,4.5928,13.0
85,3.66969696969697,17.0,9.0,12.0,10.927272727272728,45.72585858585859,8,45,8,387,1062,5.4092,17.0,4.5224,13.0
86,3.6996969696969697,17.0,9.0,12.0,10.919191919191919,46.06141414141414,8,53,8,264,693,5.4692,17.0,4.5536,13.0
87,3.7227272727272727,17.0,9.0,12.0,10.878787878787879,46.46979797979798,16,54,15,218,663,5.5692,17.0,4.5248,13.0
88,3.6754545454545453,17.0,9.0,12.0,10.894949494949495,46.78969696969697,9,53,9,257,666,5.4936,17.0,4.508,13.0
89,3.633030303030303,18.0,9.0,12.0,10.733333333333333,46.5920202020202,4,37,4,388,1311,5.564,18.0,4.316,13.0
90,3.5315151515151517,18.0,9.0,12.0,10.652525252525253,45.66949494949495,6,43,6,675,1896,5.5396,18.0,4.0076,13.0
91,3.5802020202020204,19.0,9.0,12.0,10.749494949494949,45.813737373737375,3,26,3,285,904,5.3676,19.0,4.1624,13.0
92,3.5564646464646463,20.0,9.0,12.0,10.674747474747475,45.19292929292929,10,64,10,586,1621,5.3396,20.0,4.268,13.0
93,3.448080808080808,20.0,9.0,12.0,10.537373737373738,44.50464646464646,8,41,8,570,1766,5.0612,20.0,4.15,13.0
94,3.425959595959596,20.0,9.0,12.0,10.513131313131312,44.421616161616164,9,48,9,358,1011,4.928,20.0,4.19,13.0
95,3.3013131313131314,21.0,8.0,10.0,9.963636363636363,43.73222222222222,12,52,11,589,1729,4.8504,21.0,4.0268,12.0
96,3.2267676767676767,21.0,8.0,10.0,9.72121212121212,43.112020202020204,10,52,10,570,1629,4.8016,21.0,3.8492,12.0
97,3.2163636363636363,21.0,8.0,10.0,9.682828282828282,43.21313131313131,8,43,8,340,895,4.8216,21.0,3.8052,12.0
98,3.2363636363636363,22.0,8.0,10.0,9.597979797979798,43.192727272727275,9,52,9,389,990,4.748,22.0,3.9484,12.0
99,3.3337373737373737,22.0,8.0,11.0,10.002020202020201,43.73989898989899,12,58,11,187,422,4.8852,22.0,4.0516,12.0
100,3.4033333333333333,22.0,8.0,11.0,10.143434343434343,44.410606060606064,10,59,10,134,301,5.0052,22.0,4.1316,12.0
101,3.446262626262626,23.0,8.0,11.0,10.266666666666667,44.63454545454545,6,41,6,268,763,4.9956,23.0,4.1908,12.0
102,3.3537373737373737,23.0,8.0,11.0,9.804040404040403,43.84939393939394,9,54,9,635,1807,4.7852,23.0,4.1036,10.0
103,3.405959595959596,23.0,8.0,11.0,9.97979797979798,44.174040404040404,11,42,9,247,671,4.7696,23.0,4.1732,10.0
104,3.4275757575757577,23.0,8.0,11.0,9.909090909090908,44.20959595959596,11,65,11,394,974,4.7788,23.0,4.288,10.0
105,3.533030303030303,23.0,8.0,11.0,10.133333333333333,45.05050505050505,7,52,7,80,144,4.8988,23.0,4.408,10.0
106,3.495959595959596,23.0,8.0,11.0,10.226262626262626,44.59808080808081,12,65,12,530,1456,4.6904,23.0,4.4412,11.0
107,3.5445454545454544,23.0,8.0,11.0,10.333333333333334,45.22151515151515,11,42,9,150,311,4.8104,23.0,4.4508,12.0
108,3.5996969696969696,23.0,9.0,11.0,10.452525252525252,45.438383838383835,15,59,14,282,642,4.9104,23.0,4.4996,12.0
109,3.6136363636363638,23.0,9.0,11.0,10.462626262626262,45.92575757575757,15,66,14,200,456,4.9904,23.0,4.5396,12.0
110,3.6544444444444446,23.0,9.0,11.0,10.422222222222222,45.91949494949495,7,50,7,340,982,4.9948,23.0,4.6796,12.0
111,3.660909090909091,23.0,9.0,11.0,10.488888888888889,46.10242424242424,5,44,5,316,728,5.0748,23.0,4.6684,12.0
112,3.688787878787879,23.0,9.0,12.0,10.652525252525253,46.47646464646465,9,48,9,260,615,5.1548,23.0,4.7684,13.0
113,3.731010101010101,23.0,9.0,12.0,10.662626262626263,47.03787878787879,4,43,4,157,374,5.186,23.0,4.8884,13.0
114,3.6703030303030304,23.0,9.0,12.0,10.717171717171718,46.323535353535355,9,51,9,590,1591,4.9988,23.0,4.9292,13.0
115,3.5985858585858588,23.0,9.0,11.0,10.393939393939394,45.32090909090909,10,63,10,660,1898,4.764,23.0,4.898,13.0
116,3.581818181818182,23.0,9.0,11.0,10.49090909090909,45.06818181818182,7,49,7,413,1255,4.5144,23.0,4.9352,13.0
117,3.64020202020202,23.0,9.0,11.0,10.482828282828283,45.121212121212125,10,65,10,328,907,4.5008,23.0,5.0196,13.0
118,3.658181818181818,23.0,9.0,11.0,10.276767676767676,45.16191919191919,4,31,4,293,911,4.4904,23.0,5.0996,13.0
119,3.6880808080808083,23.0,9.0,11.0,10.232323232323232,45.132828282828285,7,49,7,348,892,4.5852,23.0,5.1136,13.0
120,3.623131313131313,13.0,9.0,11.0,10.064646464646465,44.621515151515155,8,46,8,530,1435,4.436,13.0,5.0868,13.0
121,3.663030303030303,13.0,9.0,11.0,10.028282828282828,45.22373737373737,12,49,12,147,397,4.536,13.0,5.086,13.0
122,3.6063636363636364,13.0,9.0,10.0,9.878787878787879,44.5840404040404,9,48,9,537,1551,4.2568,13.0,5.2008,13.0
123,3.6845454545454546,13.0,9.0,11.0,10.030303030303031,45.32090909090909,6,47,6,101,216,4.3968,13.0,5.2608,13.0
124,3.6863636363636365,13.0,9.0,11.0,10.024242424242424,45.178282828282825,9,68,9,399,1071,4.434,13.0,5.2496,13.0
125,3.6664646464646466,13.0,8.0,11.0,10.06868686868687,45.44535353535353,8,60,8,237,692,4.3788,13.0,5.2896,13.0
126,3.7315151515151515,13.0,9.0,12.0,10.228282828282829,45.588787878787876,7,37,7,299,841,4.3564,13.0,5.5096,13.0
127,3.7916161616161617,13.0,9.0,12.0,10.252525252525253,46.29838383838384,7,51,6,123,296,4.4964,13.0,5.5496,13.0
128,3.6929292929292927,13.0,8.0,12.0,10.216161616161616,45.268181818181816,12,73,12,688,1868,4.4088,13.0,5.404,13.0
129,3.7576767676767675,13.0,9.0,13.0,10.474747474747474,46.10747474747475,12,45,11,62,151,4.5088,13.0,5.464,13.0
130,3.775757575757576,13.0,9.0,13.0,10.424242424242424,46.02212121212121,12,52,11,413,1009,4.4952,13.0,5.5276,13.0
131,3.748989898989899,13.0,9.0,13.0,10.446464646464646,45.9220202020202,10,58,10,421,1057,4.5952,13.0,5.3524,13.0
132,3.6697979797979796,14.0,9.0,11.010000000000218,10.315151515151515,45.33222222222222,11,64,11,552,1477,4.6164,14.0,5.15,13.0
133,3.636060606060606,14.0,9.0,11.0,10.17979797979798,44.75949494949495,6,47,6,517,1621,4.6652,14.0,5.0024,13.0
134,3.6234343434343432,14.0,9.0,11.0,10.204040404040404,44.2359595959596,12,63,12,503,1412,4.5576,14.0,5.108,13.0
135,3.662121212121212,14.0,9.0,11.0,10.365656565656566,44.547474747474745,13,61,13,257,706,4.7176,14.0,5.0152,13.0
136,3.638080808080808,14.0,9.0,11.0,10.244444444444444,44.434747474747475,5,28,5,365,1129,4.6376,14.0,4.9476,13.0
137,3.6194949494949493,13.0,9.0,11.0,10.062626262626262,44.01676767676768,13,47,10,460,1372,4.5952,13.0,4.9308,13.0
138,3.6357575757575757,13.0,9.0,11.0,10.165656565656565,44.33868686868687,7,45,7,255,730,4.6116,13.0,5.0108,13.0
139,3.5802020202020204,14.0,9.0,10.010000000000218,10.11111111111111,43.77353535353535,6,41,6,526,1540,4.4208,13.0,5.0152,14.0
140,3.5124242424242422,14.0,9.0,10.0,10.14949494949495,42.99242424242424,6,48,6,590,1859,4.5128,13.0,4.6,14.0
141,3.5473737373737375,14.0,9.0,10.0,10.24040404040404,43.07515151515152,8,50,8,325,941,4.6056,13.0,4.5816,14.0
142,3.4562626262626264,14.0,9.0,10.0,10.351515151515152,42.82212121212121,10,56,10,454,1298,4.364,13.0,4.6416,14.0
143,3.3057575757575757,14.0,8.0,10.0,9.98989898989899,41.11464646464646,8,60,8,918,2777,4.504,14.0,4.0148,14.0
144,3.2422222222222223,14.0,8.0,10.0,9.822222222222223,41.033838383838386,9,50,9,369,1025,4.4132,14.0,4.0004,14.0
145,3.253030303030303,15.0,8.0,10.0,9.802020202020202,41.224444444444444,4,28,4,280,883,4.4516,14.0,3.9104,15.0
146,3.252929292929293,15.0,8.0,10.0,9.785858585858586,41.034444444444446,9,47,9,409,1189,4.4844,14.0,3.7908,15.0
147,3.32989898989899,15.0,8.0,10.0,10.032323232323233,41.40181818181818,16,71,15,241,624,4.5208,14.0,3.9416,15.0
148,3.3176767676767676,14.0,9.0,10.0,10.131313131313131,41.607676767676764,4,25,4,270,814,4.6008,14.0,3.812,10.0
149,3.2645454545454546,14.0,9.0,10.0,10.078787878787878,41.75818181818182,11,50,11,301,823,4.4464,14.0,3.852,10.0
150,3.3195959595959597,14.0,9.0,10.0,10.147474747474748,42.36212121212121,7,47,7,175,445,4.3736,14.0,3.9788,10.0
151,3.357979797979798,14.0,9.0,10.0,10.181818181818182,42.51707070707071,12,59,12,338,907,4.268,14.0,4.1188,10.0
152,3.3075757575757576,14.0,9.0,10.0,10.139393939393939,42.10717171717172,6,54,6,494,1390,4.1852,14.0,4.0196,10.0
153,3.3297979797979798,14.0,8.0,10.0,10.06868686868687,42.442727272727275,10,54,9,293,770,4.0172,14.0,4.1796,10.0
