source,version,generation_slot,completion_slot,delay,completed
4,1,0,86,86,True
10,1,0,124,124,True
20,1,0,86,86,True
30,1,0,86,86,True
31,1,0,86,86,True
40,1,0,86,86,True
47,1,0,86,86,True
52,1,0,84,84,True
53,1,0,84,84,True
57,1,0,84,84,True
61,1,0,84,84,True
64,1,0,84,84,True
69,1,0,125,125,True
70,1,0,84,84,True
73,1,0,84,84,True
78,1,0,84,84,True
95,1,0,84,84,True
3,1,1,124,123,True
5,1,1,86,85,True
10,2,1,124,123,True
26,1,1,86,85,True
28,1,1,124,123,True
37,1,1,86,85,True
42,1,1,86,85,True
52,2,1,84,83,True
66,1,1,84,83,True
82,1,1,84,83,True
94,1,1,84,83,True
95,2,1,84,83,True
27,1,2,86,84,True
29,1,2,86,84,True
31,2,2,86,84,True
47,2,2,86,84,True
48,1,2,86,84,True
50,1,2,84,82,True
64,2,2,84,82,True
73,2,2,84,82,True
74,1,2,84,82,True
79,1,2,125,123,True
91,1,2,84,82,True
97,1,2,125,123,True
5,2,3,86,83,True
6,1,3,86,83,True
13,1,3,86,83,True
26,2,3,86,83,True
35,1,3,86,83,True
44,1,3,86,83,True
47,3,3,86,83,True
52,3,3,84,81,True
69,2,3,125,122,True
94,2,3,84,81,True
3,2,4,124,120,True
7,1,4,86,82,True
20,2,4,86,82,True
39,1,4,86,82,True
65,1,4,84,80,True
84,1,4,84,80,True
90,1,4,84,80,True
95,3,4,84,80,True
96,1,4,84,80,True
97,2,4,125,121,True
99,1,4,84,80,True
2,1,5,86,81,True
14,1,5,86,81,True
23,1,5,86,81,True
39,2,5,86,81,True
40,2,5,86,81,True
43,1,5,86,81,True
45,1,5,86,81,True
47,4,5,86,81,True
50,2,5,84,79,True
82,2,5,84,79,True
84,2,5,84,79,True
85,1,5,84,79,True
86,1,5,84,79,True
95,4,5,84,79,True
10,3,6,124,118,True
17,1,6,86,80,True
20,3,6,86,80,True
29,2,6,86,80,True
42,2,6,86,80,True
55,1,6,84,78,True
62,1,6,84,78,True
68,1,6,84,78,True
78,2,6,84,78,True
98,1,6,84,78,True
4,2,7,86,79,True
10,4,7,124,117,True
13,2,7,86,79,True
16,1,7,124,117,True
27,2,7,86,79,True
30,2,7,86,79,True
46,1,7,86,79,True
56,1,7,84,77,True
59,1,7,84,77,True
63,1,7,84,77,True
65,2,7,84,77,True
71,1,7,84,77,True
75,1,7,84,77,True
85,2,7,84,77,True
86,2,7,125,118,True
95,5,7,84,77,True
99,2,7,84,77,True
1,1,8,86,78,True
7,2,8,86,78,True
9,1,8,86,78,True
15,1,8,86,78,True
36,1,8,86,78,True
50,3,8,84,76,True
52,4,8,125,117,True
55,2,8,84,76,True
57,2,8,84,76,True
60,1,8,84,76,True
76,1,8,84,76,True
95,6,8,84,76,True
2,2,9,86,77,True
18,1,9,86,77,True
30,3,9,86,77,True
32,1,9,86,77,True
58,1,9,84,75,True
82,3,9,125,116,True
83,1,9,84,75,True
91,2,9,84,75,True
92,1,9,84,75,True
93,1,9,84,75,True
0,1,10,86,76,True
7,3,10,86,76,True
12,1,10,86,76,True
63,2,10,84,74,True
79,2,10,125,115,True
81,1,10,84,74,True
4,3,11,86,75,True
27,3,11,86,75,True
41,1,11,124,113,True
42,3,11,86,75,True
20,4,12,86,74,True
32,2,12,86,74,True
66,2,12,84,72,True
77,1,12,84,72,True
96,2,12,84,72,True
7,4,13,86,73,True
8,1,13,86,73,True
41,2,13,124,111,True
45,2,13,86,73,True
54,1,13,84,71,True
69,3,13,125,112,True
70,2,13,84,71,True
71,2,13,84,71,True
8,2,14,86,72,True
13,3,14,86,72,True
30,4,14,86,72,True
48,2,14,182,168,True
54,2,14,84,70,True
59,2,14,84,70,True
65,3,14,84,70,True
71,3,14,125,111,True
73,3,14,84,70,True
99,3,14,84,70,True
34,1,15,86,71,True
43,2,15,86,71,True
55,3,15,84,69,True
57,3,15,84,69,True
70,3,15,125,110,True
82,4,15,125,110,True
84,3,15,125,110,True
96,3,15,84,69,True
5,3,16,86,70,True
14,2,16,86,70,True
15,2,16,86,70,True
24,1,16,86,70,True
35,2,16,86,70,True
41,3,16,124,108,True
59,3,16,84,68,True
67,1,16,125,109,True
81,2,16,125,109,True
2,3,17,86,69,True
4,4,17,86,69,True
19,1,17,86,69,True
39,3,17,86,69,True
47,5,17,86,69,True
74,2,17,84,67,True
82,5,17,125,108,True
83,2,17,84,67,True
84,4,17,125,108,True
87,1,17,84,67,True
0,2,18,86,68,True
5,4,18,86,68,True
51,1,18,125,107,True
59,4,18,84,66,True
75,2,18,84,66,True
87,2,18,84,66,True
91,3,18,125,107,True
98,2,18,84,66,True
20,5,19,86,67,True
35,3,19,86,67,True
37,2,19,124,105,True
46,2,19,86,67,True
74,3,19,84,65,True
80,1,19,125,106,True
1,2,20,86,66,True
10,5,20,124,104,True
26,3,20,86,66,True
42,4,20,86,66,True
47,6,20,86,66,True
54,3,20,84,64,True
58,2,20,84,64,True
60,2,20,125,105,True
64,3,20,84,64,True
70,4,20,125,105,True
73,4,20,84,64,True
96,4,20,84,64,True
59,5,21,125,104,True
61,2,21,125,104,True
64,4,21,125,104,True
91,4,21,125,104,True
94,3,21,84,63,True
97,3,21,125,104,True
10,6,22,124,102,True
24,2,22,86,64,True
27,4,22,86,64,True
51,2,22,125,103,True
54,4,22,84,62,True
62,2,22,125,103,True
82,6,22,125,103,True
99,4,22,84,62,True
10,7,23,124,101,True
24,3,23,86,63,True
28,2,23,124,101,True
29,3,23,86,63,True
47,7,23,86,63,True
50,4,23,84,61,True
52,5,23,125,102,True
69,4,23,125,102,True
75,3,23,125,102,True
84,5,23,125,102,True
96,5,23,84,61,True
99,5,23,84,61,True
15,3,24,86,62,True
29,4,24,86,62,True
43,3,24,124,100,True
49,1,24,86,62,True
55,4,24,84,60,True
79,3,24,125,101,True
82,7,24,125,101,True
90,2,24,125,101,True
95,7,24,125,101,True
1,3,25,86,61,True
8,3,25,86,61,True
24,4,25,86,61,True
27,5,25,86,61,True
37,3,25,124,99,True
38,1,25,86,61,True
66,3,25,84,59,True
91,5,25,125,100,True
99,6,25,84,59,True
12,2,26,86,60,True
19,2,26,86,60,True
20,6,26,86,60,True
29,5,26,86,60,True
33,1,26,86,60,True
36,2,26,86,60,True
38,2,26,86,60,True
39,4,26,86,60,True
50,5,26,84,58,True
51,3,26,125,99,True
53,2,26,125,99,True
58,3,26,125,99,True
67,2,26,125,99,True
71,4,26,125,99,True
77,2,26,125,99,True
84,6,26,125,99,True
87,3,26,125,99,True
95,8,26,125,99,True
1,4,27,86,59,True
23,2,27,86,59,True
31,3,27,86,59,True
38,3,27,86,59,True
48,3,27,182,155,True
74,4,27,125,98,True
5,5,28,86,58,True
7,5,28,124,96,True
12,3,28,86,58,True
23,3,28,86,58,True
26,4,28,86,58,True
35,4,28,86,58,True
36,3,28,86,58,True
50,6,28,84,56,True
55,5,28,125,97,True
60,3,28,228,200,True
70,5,28,125,97,True
73,5,28,125,97,True
80,2,28,228,200,True
94,4,28,125,97,True
1,5,29,86,57,True
18,2,29,86,57,True
26,5,29,86,57,True
35,5,29,86,57,True
49,2,29,86,57,True
50,7,29,84,55,True
51,4,29,125,96,True
53,3,29,125,96,True
57,4,29,84,55,True
58,4,29,125,96,True
66,4,29,125,96,True
77,3,29,125,96,True
80,3,29,228,199,True
85,3,29,84,55,True
87,4,29,125,96,True
94,5,29,125,96,True
97,4,29,125,96,True
21,1,30,86,56,True
34,2,30,86,56,True
35,6,30,86,56,True
60,4,30,228,198,True
72,1,30,84,54,True
87,5,30,125,95,True
91,6,30,125,95,True
7,6,31,124,93,True
18,3,31,86,55,True
40,3,31,86,55,True
47,8,31,86,55,True
59,6,31,125,94,True
68,2,31,125,94,True
82,8,31,228,197,True
96,6,31,84,53,True
2,4,32,86,54,True
5,6,32,86,54,True
13,4,32,86,54,True
16,2,32,124,92,True
21,2,32,86,54,True
33,2,32,124,92,True
41,4,32,124,92,True
48,4,32,182,150,True
58,5,32,125,93,True
67,3,32,125,93,True
73,6,32,125,93,True
79,4,32,125,93,True
89,1,32,228,196,True
6,2,33,86,53,True
10,8,33,124,91,True
21,3,33,86,53,True
22,1,33,124,91,True
24,5,33,86,53,True
27,6,33,86,53,True
36,4,33,86,53,True
39,5,33,124,91,True
40,4,33,86,53,True
58,6,33,125,92,True
70,6,33,125,92,True
80,4,33,228,195,True
93,2,33,125,92,True
95,9,33,125,92,True
45,3,34,124,90,True
48,5,34,182,148,True
71,5,34,125,91,True
77,4,34,125,91,True
98,3,34,84,50,True
3,3,35,124,89,True
10,9,35,124,89,True
22,2,35,124,89,True
26,6,35,124,89,True
27,7,35,86,51,True
30,5,35,86,51,True
42,5,35,124,89,True
57,5,35,84,49,True
65,4,35,125,90,True
66,5,35,125,90,True
68,3,35,125,90,True
70,7,35,125,90,True
76,2,35,125,90,True
89,2,35,228,193,True
95,10,35,125,90,True
14,3,36,124,88,True
68,4,36,125,89,True
75,4,36,125,89,True
81,3,36,125,89,True
98,4,36,84,48,True
2,5,37,86,49,True
9,2,37,86,49,True
24,6,37,124,87,True
54,5,37,84,47,True
64,5,37,125,88,True
75,5,37,125,88,True
81,4,37,125,88,True
82,9,37,228,191,True
84,7,37,125,88,True
86,3,37,228,191,True
92,2,37,228,191,True
5,7,38,124,86,True
17,2,38,124,86,True
21,4,38,86,48,True
22,3,38,124,86,True
28,3,38,124,86,True
40,5,38,182,144,True
41,5,38,124,86,True
47,9,38,182,144,True
48,6,38,182,144,True
51,5,38,125,87,True
55,6,38,125,87,True
58,7,38,125,87,True
78,3,38,125,87,True
79,5,38,228,190,True
11,1,39,124,85,True
15,4,39,86,47,True
18,4,39,86,47,True
30,6,39,86,47,True
40,6,39,182,143,True
48,7,39,182,143,True
52,6,39,125,86,True
71,6,39,125,86,True
81,5,39,125,86,True
90,3,39,228,189,True
96,7,39,125,86,True
20,7,40,124,84,True
25,1,40,124,84,True
31,4,40,124,84,True
39,6,40,124,84,True
40,7,40,182,142,True
50,8,40,125,85,True
51,6,40,125,85,True
52,7,40,125,85,True
53,4,40,125,85,True
56,2,40,228,188,True
61,3,40,228,188,True
69,5,40,228,188,True
76,3,40,125,85,True
80,5,40,228,188,True
23,4,41,86,45,True
32,3,41,124,83,True
34,3,41,182,141,True
40,8,41,182,141,True
59,7,41,125,84,True
73,7,41,125,84,True
74,5,41,125,84,True
87,6,41,125,84,True
96,8,41,125,84,True
12,4,42,86,44,True
16,3,42,124,82,True
37,4,42,124,82,True
54,6,42,125,83,True
61,4,42,228,186,True
64,6,42,228,186,True
71,7,42,228,186,True
76,4,42,125,83,True
87,7,42,125,83,True
95,11,42,125,83,True
3,4,43,124,81,True
12,5,43,86,43,True
25,2,43,124,81,True
30,7,43,86,43,True
40,9,43,182,139,True
44,2,43,124,81,True
47,10,43,182,139,True
49,3,43,86,43,True
50,9,43,125,82,True
51,7,43,125,82,True
57,6,43,84,41,True
64,7,43,228,185,True
85,4,43,125,82,True
88,1,43,228,185,True
4,5,44,124,80,True
8,4,44,182,138,True
20,8,44,182,138,True
24,7,44,182,138,True
35,7,44,182,138,True
47,11,44,182,138,True
54,7,44,125,81,True
60,5,44,228,184,True
64,8,44,228,184,True
81,6,44,125,81,True
98,5,44,125,81,True
4,6,45,124,79,True
10,10,45,124,79,True
23,5,45,86,41,True
28,4,45,124,79,True
31,5,45,124,79,True
40,10,45,182,137,True
59,8,45,125,80,True
71,8,45,228,183,True
83,3,45,228,183,True
86,4,45,228,183,True
99,7,45,125,80,True
0,3,46,182,136,True
8,5,46,182,136,True
26,7,46,124,78,True
27,8,46,86,40,True
37,5,46,124,78,True
51,8,46,125,79,True
57,7,46,125,79,True
60,6,46,228,182,True
65,5,46,228,182,True
69,6,46,228,182,True
72,2,46,125,79,True
89,3,46,228,182,True
0,4,47,182,135,True
6,3,47,182,135,True
16,4,47,124,77,True
17,3,47,124,77,True
36,5,47,124,77,True
40,11,47,182,135,True
47,12,47,182,135,True
60,7,47,228,181,True
63,3,47,125,78,True
65,6,47,228,181,True
71,9,47,228,181,True
90,4,47,228,181,True
94,6,47,125,78,True
96,9,47,125,78,True
97,5,47,125,78,True
48,8,48,182,134,True
49,4,48,86,38,True
57,8,48,125,77,True
61,5,48,228,180,True
68,5,48,125,77,True
2,6,49,86,37,True
22,4,49,125,76,True
26,8,49,124,75,True
58,8,49,228,179,True
71,10,49,228,179,True
83,4,49,228,179,True
86,5,49,228,179,True
7,7,50,124,74,True
15,5,50,182,132,True
21,5,50,182,132,True
27,9,50,86,36,True
29,6,50,182,132,True
56,3,50,228,178,True
87,8,50,228,178,True
92,3,50,228,178,True
94,7,50,125,75,True
11,2,51,124,73,True
14,4,51,124,73,True
19,3,51,124,73,True
58,9,51,228,177,True
73,8,51,228,177,True
75,6,51,228,177,True
76,5,51,228,177,True
85,5,51,125,74,True
91,7,51,228,177,True
92,4,51,228,177,True
7,8,52,124,72,True
12,6,52,86,34,True
18,5,52,86,34,True
19,4,52,124,72,True
28,5,52,124,72,True
41,6,52,125,73,True
69,7,52,228,176,True
80,6,52,228,176,True
94,8,52,125,73,True
35,8,53,182,129,True
37,6,53,124,71,True
41,7,53,125,72,True
71,11,53,228,175,True
87,9,53,228,175,True
98,6,53,228,175,True
2,7,54,182,128,True
4,7,54,124,70,True
12,7,54,124,70,True
15,6,54,182,128,True
17,4,54,182,128,True
23,6,54,124,70,True
27,10,54,86,32,True
33,3,54,182,128,True
35,9,54,182,128,True
45,4,54,124,70,True
75,7,54,228,174,True
77,5,54,125,71,True
93,3,54,125,71,True
0,5,55,182,127,True
20,9,55,182,127,True
23,7,55,124,69,True
66,6,55,228,173,True
73,9,55,228,173,True
76,6,55,228,173,True
79,6,55,228,173,True
86,6,55,228,173,True
4,8,56,124,68,True
6,4,56,182,126,True
8,6,56,182,126,True
18,6,56,182,126,True
25,3,56,182,126,True
28,6,56,124,68,True
31,6,56,124,68,True
40,12,56,182,126,True
42,6,56,124,68,True
66,7,56,228,172,True
67,4,56,228,172,True
79,7,56,228,172,True
80,7,56,228,172,True
86,7,56,228,172,True
97,6,56,125,69,True
10,11,57,124,67,True
11,3,57,124,67,True
36,6,57,124,67,True
37,7,57,124,67,True
43,4,57,124,67,True
50,10,57,228,171,True
58,10,57,228,171,True
64,9,57,228,171,True
67,5,57,228,171,True
86,8,57,228,171,True
7,9,58,124,66,True
24,8,58,182,124,True
38,4,58,182,124,True
41,8,58,125,67,True
42,7,58,124,66,True
76,7,58,228,170,True
88,2,58,228,170,True
94,9,58,228,170,True
97,7,58,125,67,True
10,12,59,124,65,True
13,5,59,182,123,True
44,3,59,124,65,True
60,8,59,228,169,True
75,8,59,228,169,True
82,10,59,228,169,True
20,10,60,182,122,True
21,6,60,182,122,True
31,7,60,124,64,True
40,13,60,182,122,True
49,5,60,124,64,True
64,10,60,228,168,True
65,7,60,228,168,True
74,6,60,228,168,True
77,6,60,125,65,True
82,11,60,228,168,True
99,8,60,228,168,True
6,5,61,182,121,True
23,8,61,124,63,True
33,4,61,182,121,True
35,10,61,182,121,True
37,8,61,182,121,True
38,5,61,182,121,True
40,14,61,182,121,True
48,9,61,182,121,True
59,9,61,228,167,True
69,8,61,228,167,True
84,8,61,228,167,True
97,8,61,228,167,True
2,8,62,182,120,True
4,9,62,124,62,True
8,7,62,182,120,True
10,13,62,124,62,True
16,5,62,124,62,True
25,4,62,182,120,True
52,8,62,228,166,True
53,5,62,228,166,True
76,8,62,228,166,True
2,9,63,182,119,True
15,7,63,182,119,True
22,5,63,125,62,True
30,8,63,182,119,True
40,15,63,182,119,True
52,9,63,228,165,True
64,11,63,228,165,True
66,8,63,228,165,True
67,6,63,228,165,True
81,7,63,228,165,True
89,4,63,228,165,True
90,5,63,228,165,True
94,10,63,228,165,True
3,5,64,182,118,True
7,10,64,124,60,True
22,6,64,125,61,True
23,9,64,124,60,True
27,11,64,182,118,True
29,7,64,182,118,True
38,6,64,182,118,True
44,4,64,182,118,True
45,5,64,182,118,True
70,8,64,228,164,True
73,10,64,228,164,True
88,3,64,228,164,True
95,12,64,228,164,True
99,9,64,228,164,True
8,8,65,182,117,True
10,14,65,125,60,True
19,5,65,124,59,True
25,5,65,182,117,True
39,7,65,124,59,True
46,3,65,182,117,True
52,10,65,228,163,True
59,10,65,228,163,True
67,7,65,228,163,True
91,8,65,228,163,True
98,7,65,228,163,True
7,11,66,124,58,True
10,15,66,125,59,True
26,9,66,124,58,True
29,8,66,182,116,True
30,9,66,182,116,True
37,9,66,182,116,True
41,9,66,125,59,True
52,11,66,228,162,True
57,9,66,228,162,True
76,9,66,228,162,True
94,11,66,228,162,True
2,10,67,182,115,True
23,10,67,124,57,True
25,6,67,182,115,True
37,10,67,182,115,True
58,11,67,228,161,True
66,9,67,228,161,True
7,12,68,124,56,True
26,10,68,182,114,True
29,9,68,182,114,True
31,8,68,182,114,True
35,11,68,182,114,True
41,10,68,125,57,True
46,4,68,182,114,True
49,6,68,124,56,True
59,11,68,228,160,True
60,9,68,228,160,True
73,11,68,228,160,True
93,4,68,228,160,True
94,12,68,228,160,True
11,4,69,182,113,True
27,12,69,182,113,True
47,13,69,182,113,True
48,10,69,182,113,True
52,12,69,228,159,True
74,7,69,228,159,True
82,12,69,228,159,True
99,10,69,228,159,True
0,6,70,182,112,True
10,16,70,125,55,True
24,9,70,182,112,True
47,14,70,182,112,True
64,12,70,228,158,True
71,12,70,228,158,True
90,6,70,228,158,True
3,6,71,182,111,True
10,17,71,182,111,True
12,8,71,182,111,True
18,7,71,182,111,True
19,6,71,182,111,True
28,7,71,182,111,True
36,7,71,182,111,True
38,7,71,182,111,True
41,11,71,182,111,True
56,4,71,228,157,True
92,5,71,228,157,True
95,13,71,228,157,True
13,6,72,182,110,True
22,7,72,125,53,True
69,9,72,228,156,True
76,10,72,228,156,True
38,8,73,182,109,True
50,11,73,228,155,True
66,10,73,228,155,True
76,11,73,228,155,True
81,8,73,228,155,True
83,5,73,228,155,True
2,11,74,182,108,True
27,13,74,182,108,True
40,16,74,182,108,True
46,5,74,182,108,True
50,12,74,228,154,True
52,13,74,228,154,True
55,7,74,228,154,True
69,10,74,228,154,True
23,11,75,182,107,True
46,6,75,182,107,True
49,7,75,182,107,True
53,6,75,228,153,True
59,12,75,228,153,True
65,8,75,228,153,True
67,8,75,228,153,True
71,13,75,228,153,True
86,9,75,228,153,True
95,14,75,228,153,True
23,12,76,182,106,True
26,11,76,182,106,True
28,8,76,182,106,True
31,9,76,182,106,True
74,8,76,228,152,True
84,9,76,228,152,True
89,5,76,228,152,True
