slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,3.6476767676767676,10.0,9.0,10.0,9.371717171717172,39.47919191919192,16,59,15,338,836,4.6676,10.0,5.3824,10.0
51,3.6978787878787878,11.0,9.0,10.0,9.496969696969696,40.17484848484848,12,69,12,200,394,4.7308,11.0,5.4824,10.0
52,3.7765656565656567,11.0,9.0,10.0,9.595959595959595,40.95515151515151,30,48,26,107,211,4.8252,11.0,5.5824,10.0
53,3.794848484848485,11.0,9.0,10.0,9.591919191919192,41.475959595959594,22,65,20,280,512,4.8996,11.0,5.6424,10.0
54,3.8722222222222222,11.0,9.0,10.0,9.66060606060606,41.792626262626264,19,66,19,351,818,4.9804,11.0,5.8424,10.0
55,3.8147474747474748,11.0,9.0,10.0,9.636363636363637,41.74232323232323,16,66,15,554,1262,5.0692,11.0,5.8528,10.0
56,3.932828282828283,11.0,9.0,11.0,9.804040404040403,42.454343434343436,13,52,13,167,316,5.2092,11.0,5.9832,11.0
57,3.924141414141414,11.0,9.0,11.0,9.804040404040403,42.90171717171717,12,53,11,313,581,5.2436,11.0,6.0432,11.0
58,3.982727272727273,12.0,9.0,11.0,9.892929292929294,43.49171717171717,23,56,21,242,509,5.398,12.0,6.0588,11.0
59,4.002121212121212,12.0,9.0,11.0,10.105050505050505,43.806060606060605,24,62,19,405,798,5.476,12.0,6.0796,11.0
60,3.988989898989899,12.0,9.0,11.0,10.117171717171717,43.97585858585859,15,58,15,484,1021,5.452,12.0,6.1404,11.0
61,4.016161616161616,12.0,9.0,11.0,10.202020202020202,44.52,19,53,18,244,523,5.532,12.0,6.2056,11.0
62,4.012020202020202,12.0,9.0,10.0,10.11919191919192,44.56868686868687,13,67,13,573,1229,5.652,12.0,6.148,11.0
63,4.091515151515152,12.0,9.0,10.0,10.212121212121213,45.35949494949495,13,59,13,118,203,5.752,12.0,6.248,11.0
64,4.111010101010101,12.0,10.0,11.0,10.34949494949495,45.80383838383838,10,58,10,300,599,5.872,12.0,6.2732,11.0
65,4.126060606060606,12.0,10.0,11.0,10.307070707070707,46.10111111111111,18,71,17,421,940,5.908,12.0,6.2696,11.0
