slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,3.7152525252525255,10.0,8.0,8.0,8.28080808080808,42.487575757575755,4,28,4,146,406,4.9908,9.0,4.4088,10.0
51,3.830909090909091,10.0,8.0,9.0,8.492929292929293,43.204040404040406,9,54,9,124,340,5.1708,9.0,4.5056,10.0
52,3.919191919191919,10.0,8.0,9.0,8.583838383838383,43.86878787878788,8,59,8,147,314,5.2708,9.0,4.6456,10.0
53,4.0067676767676765,10.0,8.0,9.0,8.72929292929293,44.73323232323232,5,26,5,63,123,5.3508,9.0,4.7472,10.0
54,4.105252525252525,10.0,8.0,9.0,8.876767676767678,45.24323232323232,7,43,7,198,510,5.5908,9.0,4.8072,10.0
55,4.126767676767677,11.0,8.0,9.0,9.096969696969698,45.4930303030303,8,54,8,282,876,5.6708,9.0,4.936,11.0
56,4.074747474747475,11.0,8.0,9.0,9.117171717171717,45.6169696969697,9,43,9,357,1109,5.7308,9.0,4.7976,11.0
57,4.072727272727272,11.0,9.0,9.0,9.137373737373737,45.898383838383836,9,45,8,279,812,5.8308,9.0,4.7664,11.0
58,4.107777777777778,11.0,9.0,9.0,9.137373737373737,46.76464646464647,5,34,5,58,148,5.8508,9.0,4.8464,11.0
59,4.136868686868687,11.0,9.0,9.0,9.266666666666667,47.105858585858584,8,51,8,246,702,5.9508,9.0,4.9464,11.0
60,4.136969696969697,11.0,9.0,10.0,9.468686868686868,46.7989898989899,9,54,9,517,1484,6.1508,10.0,4.7688,11.0
61,4.195656565656566,11.0,9.0,10.0,9.806060606060607,47.35848484848485,6,45,6,191,508,6.2908,10.0,4.812,11.0
62,4.281010101010101,11.0,9.0,11.0,10.028282828282828,48.19616161616162,4,36,4,57,145,6.4108,11.0,4.892,11.0
63,4.30020202020202,11.0,9.0,11.0,9.993939393939394,48.62969696969697,4,24,4,246,602,6.414,11.0,4.898,11.0
64,4.387878787878788,11.0,9.0,11.0,10.16969696969697,49.54878787878788,3,30,3,54,122,6.494,11.0,5.018,11.0
65,4.426161616161616,11.0,9.0,11.0,10.238383838383838,50.274040404040406,9,46,8,118,314,6.594,11.0,5.0396,11.0
66,4.433030303030303,11.0,9.0,11.0,10.202020202020202,50.63262626262626,9,48,9,249,724,6.634,11.0,5.0792,11.0
67,4.452828282828283,12.0,9.0,11.0,10.454545454545455,51.2640404040404,2,21,2,144,398,6.694,12.0,5.1228,11.0
68,4.508484848484849,12.0,9.0,11.0,10.628282828282828,51.76565656565656,9,47,9,207,538,6.854,12.0,5.1092,12.0
69,4.513434343434343,12.0,10.0,12.0,10.814141414141414,52.412828282828286,5,28,5,107,347,6.894,12.0,5.1488,12.0
70,4.55989898989899,13.0,10.0,12.0,11.022222222222222,52.7489898989899,6,38,6,233,728,6.994,12.0,5.262,13.0
71,4.621616161616162,13.0,10.0,12.0,11.022222222222222,53.36252525252525,7,38,7,152,379,7.114,12.0,5.3412,13.0
72,4.716262626262626,13.0,10.0,12.0,11.21010101010101,53.89050505050505,4,32,4,204,449,7.254,12.0,5.426,13.0
73,4.758484848484849,13.0,10.0,12.0,11.21010101010101,54.455555555555556,10,43,9,162,374,7.314,12.0,5.526,13.0
74,4.78989898989899,13.0,10.0,12.0,11.345454545454546,54.99424242424242,4,28,4,190,481,7.434,12.0,5.566,13.0
75,4.8028282828282824,14.0,10.0,13.0,11.66060606060606,55.27969696969697,2,21,2,239,664,7.494,13.0,5.666,14.0
76,4.72040404040404,14.0,11.0,13.0,11.731313131313131,54.86191919191919,10,54,9,461,1608,7.378,13.0,5.6992,14.0
77,4.756565656565656,14.0,11.0,13.0,11.901010101010101,55.23252525252525,10,59,10,276,533,7.478,13.0,5.7792,14.0
78,4.6602020202020205,14.0,11.0,13.0,11.83030303030303,54.6249494949495,7,46,7,531,1944,7.158,13.0,5.7936,14.0
79,4.573737373737374,15.0,11.0,13.0,11.836363636363636,54.29969696969697,8,53,8,430,1450,7.0972,13.0,5.7412,15.0
80,4.536767676767677,15.0,11.0,13.0,11.787878787878787,54.61858585858586,5,45,5,240,861,6.8892,13.0,5.7612,15.0
