source,version,generation_slot,completion_slot,delay,completed
1,1,0,67,67,True
8,1,0,60,60,True
16,1,0,100,100,True
25,1,0,100,100,True
32,1,0,100,100,True
34,1,0,67,67,True
35,1,0,100,100,True
39,1,0,100,100,True
40,1,0,100,100,True
50,1,0,88,88,True
53,1,0,88,88,True
4,1,1,100,99,True
17,1,1,100,99,True
21,1,1,60,59,True
24,1,1,100,99,True
28,1,1,120,119,True
31,1,1,120,119,True
35,2,1,100,99,True
36,1,1,100,99,True
51,1,1,88,87,True
69,1,1,88,87,True
74,1,1,146,145,True
75,1,1,66,65,True
81,1,1,88,87,True
88,1,1,88,87,True
96,1,1,66,65,True
2,1,2,100,98,True
11,1,2,120,118,True
14,1,2,60,58,True
22,1,2,100,98,True
35,3,2,100,98,True
36,2,2,100,98,True
46,1,2,100,98,True
50,2,2,88,86,True
52,1,2,88,86,True
56,1,2,88,86,True
80,1,2,88,86,True
89,1,2,88,86,True
5,1,3,60,57,True
21,2,3,60,57,True
24,2,3,100,97,True
30,1,3,120,117,True
56,2,3,88,85,True
66,1,3,88,85,True
67,1,3,88,85,True
71,1,3,66,63,True
77,1,3,66,63,True
88,2,3,88,85,True
96,2,3,66,63,True
35,4,4,100,96,True
73,1,4,66,62,True
84,1,4,146,142,True
91,1,4,88,84,True
0,1,5,100,95,True
5,2,5,60,55,True
13,1,5,60,55,True
21,3,5,60,55,True
32,2,5,100,95,True
34,2,5,67,62,True
36,3,5,100,95,True
37,1,5,67,62,True
42,1,5,100,95,True
47,1,5,100,95,True
51,2,5,88,83,True
54,1,5,88,83,True
55,1,5,88,83,True
57,1,5,88,83,True
62,1,5,88,83,True
66,2,5,88,83,True
81,2,5,88,83,True
82,1,5,88,83,True
86,1,5,88,83,True
87,1,5,88,83,True
5,3,6,60,54,True
7,1,6,120,114,True
27,1,6,100,94,True
31,2,6,120,114,True
34,3,6,67,61,True
36,4,6,100,94,True
83,1,6,88,82,True
88,3,6,88,82,True
13,2,7,60,53,True
14,2,7,100,93,True
35,5,7,100,93,True
41,1,7,100,93,True
45,1,7,100,93,True
53,2,7,88,81,True
63,1,7,88,81,True
71,2,7,66,59,True
73,2,7,66,59,True
88,4,7,88,81,True
2,2,8,100,92,True
7,2,8,120,112,True
12,1,8,67,59,True
16,2,8,100,92,True
21,4,8,100,92,True
30,2,8,120,112,True
31,3,8,120,112,True
49,1,8,100,92,True
65,1,8,88,80,True
81,3,8,88,80,True
7,3,9,120,111,True
8,2,9,100,91,True
17,2,9,100,91,True
30,3,9,120,111,True
32,3,9,100,91,True
34,4,9,67,58,True
35,6,9,100,91,True
46,2,9,100,91,True
76,1,9,88,79,True
89,2,9,88,79,True
91,2,9,88,79,True
8,3,10,100,90,True
9,1,10,100,90,True
12,2,10,67,57,True
22,2,10,173,163,True
23,1,10,100,90,True
33,1,10,60,50,True
41,2,10,100,90,True
44,1,10,120,110,True
57,2,10,88,78,True
58,1,10,146,136,True
60,1,10,88,78,True
61,1,10,88,78,True
65,2,10,88,78,True
73,3,10,66,56,True
76,2,10,88,78,True
91,3,10,88,78,True
15,1,11,120,109,True
29,1,11,100,89,True
52,2,11,88,77,True
93,1,11,66,55,True
18,1,12,66,54,True
37,2,12,67,55,True
48,1,12,66,54,True
69,2,12,88,76,True
73,4,12,88,76,True
95,1,12,88,76,True
0,2,13,100,87,True
3,1,13,100,87,True
22,3,13,173,160,True
33,2,13,100,87,True
38,1,13,100,87,True
45,2,13,100,87,True
56,3,13,88,75,True
59,1,13,146,133,True
75,2,13,66,53,True
81,4,13,88,75,True
82,2,13,88,75,True
90,1,13,88,75,True
11,2,14,120,106,True
32,4,14,100,86,True
34,5,14,67,53,True
39,2,14,131,117,True
42,2,14,100,86,True
44,2,14,120,106,True
53,3,14,146,132,True
61,2,14,88,74,True
90,2,14,88,74,True
