slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,3.3675757575757577,10.0,7.0,8.0,7.931313131313131,40.46252525252525,16,58,14,289,599,4.6552,9.0,4.284,10.0
51,3.4366666666666665,10.0,7.0,9.0,8.204040404040404,40.87313131313131,17,55,14,427,801,4.78,9.0,4.3272,10.0
52,3.502222222222222,10.0,8.0,9.0,8.361616161616162,41.3789898989899,14,60,13,274,539,4.8524,9.0,4.4672,10.0
53,3.5525252525252524,10.0,8.0,9.0,8.537373737373738,41.93969696969697,17,62,15,280,492,4.8804,9.0,4.5872,10.0
54,3.674848484848485,10.0,8.0,9.0,8.652525252525253,42.68848484848485,24,61,19,156,274,5.106,9.0,4.6472,10.0
55,3.7507070707070707,11.0,8.0,9.0,8.81010101010101,43.3749494949495,23,59,21,194,338,5.1584,9.0,4.7872,11.0
56,3.7374747474747476,11.0,8.0,9.0,8.909090909090908,43.76646464646465,20,50,16,292,725,5.2112,9.0,4.8472,11.0
57,3.7595959595959596,11.0,8.0,9.0,8.985858585858585,44.23464646464647,21,55,18,306,573,5.3112,9.0,4.8528,11.0
58,3.7452525252525253,11.0,8.0,9.0,8.95959595959596,44.724242424242426,12,64,11,351,637,5.2248,9.0,4.9192,11.0
59,3.80010101010101,11.0,9.0,9.0,9.163636363636364,45.2620202020202,14,56,13,200,447,5.3248,9.0,5.0192,11.0
60,3.902727272727273,11.0,9.0,10.0,9.353535353535353,45.781010101010104,17,61,16,254,469,5.4992,10.0,5.1036,11.0
61,3.95989898989899,11.0,9.0,10.0,9.684848484848485,46.272222222222226,17,62,17,247,523,5.6208,10.0,5.1836,11.0
62,4.031717171717172,11.0,9.0,10.0,9.87070707070707,46.965555555555554,23,61,21,136,279,5.7408,11.0,5.2636,11.0
63,4.011515151515152,11.0,9.0,10.0,9.836363636363636,47.036262626262626,15,67,13,511,992,5.8424,11.0,5.2336,10.0
64,4.083939393939394,11.0,9.0,11.0,10.05858585858586,47.784646464646464,21,57,18,119,273,5.9224,11.0,5.3536,10.0
65,4.07010101010101,11.0,9.0,11.0,10.10909090909091,48.05585858585859,19,59,16,363,830,6.0224,11.0,5.3356,11.0
66,4.02959595959596,11.0,9.0,11.0,10.074747474747475,47.91080808080808,14,57,14,482,1193,6.0624,11.0,5.3448,11.0
67,4.0612121212121215,12.0,9.0,11.0,10.36969696969697,48.676464646464645,19,61,13,120,281,6.1224,12.0,5.4048,11.0
68,4.02,12.0,9.0,11.010000000000218,10.49090909090909,48.25313131313131,14,61,14,550,1497,6.2824,12.0,5.3952,12.0
69,4.02020202020202,12.0,9.0,12.0,10.581818181818182,48.86707070707071,15,67,14,177,394,6.304,12.0,5.4352,12.0
70,4.125050505050505,13.0,9.0,12.0,10.93131313131313,49.69525252525253,18,61,16,89,150,6.404,12.0,5.5752,13.0
71,4.169393939393939,13.0,9.0,12.0,10.894949494949495,50.15979797979798,19,68,16,229,551,6.524,12.0,5.5496,13.0
72,4.244848484848485,13.0,10.0,12.0,11.1010101010101,50.43454545454546,14,65,14,289,639,6.664,12.0,5.6896,13.0
73,4.235050505050505,13.0,10.0,12.0,11.088888888888889,50.50707070707071,15,64,15,429,889,6.6688,12.0,5.7896,13.0
74,4.278484848484848,13.0,10.0,12.0,11.153535353535354,51.11060606060606,17,52,15,176,362,6.7888,12.0,5.8296,13.0
75,4.352626262626263,14.0,10.0,13.0,11.408080808080808,52.04666666666667,20,49,16,38,58,6.8488,13.0,5.9296,14.0
76,4.396565656565657,14.0,10.0,13.0,11.57979797979798,52.69262626262626,16,58,12,200,357,6.8936,13.0,5.9896,14.0
77,4.43,14.0,10.0,13.0,11.761616161616162,53.08252525252525,18,63,13,255,560,6.9936,13.0,6.0168,14.0
78,4.509595959595959,14.0,10.0,13.0,11.842424242424242,53.82121212121212,9,58,9,116,202,7.0336,13.0,6.1768,14.0
79,4.529090909090909,15.0,10.0,13.0,11.8989898989899,54.44090909090909,16,61,15,222,401,7.0384,13.0,6.2368,15.0
80,4.524646464646465,15.0,10.0,13.0,11.88080808080808,54.81909090909091,13,56,13,255,539,7.1184,13.0,6.204,15.0
