slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,3.8932323232323234,10.0,9.0,10.0,9.375757575757575,40.968383838383836,8,48,8,240,787,4.4436,10.0,5.1388,10.0
51,3.892929292929293,11.0,9.0,10.0,9.41010101010101,41.268787878787876,8,62,8,304,894,4.4744,11.0,5.1304,10.0
52,3.957373737373737,11.0,9.0,10.0,9.466666666666667,41.976565656565654,7,58,7,130,352,4.5744,11.0,5.2304,10.0
53,3.9763636363636365,11.0,9.0,10.0,9.452525252525252,42.57313131313131,11,42,11,169,505,4.6544,11.0,5.246,10.0
54,4.022020202020202,11.0,9.0,10.0,9.496969696969696,42.69595959595959,9,67,9,365,1132,4.6744,11.0,5.446,10.0
55,3.931616161616162,11.0,9.0,10.0,9.442424242424243,42.505050505050505,8,48,8,473,1588,4.7744,11.0,5.2444,10.0
56,3.87030303030303,11.0,9.0,10.0,9.452525252525252,41.905454545454546,13,69,13,633,2092,4.9144,11.0,4.9604,11.0
57,3.8416161616161615,11.0,9.0,10.0,9.45050505050505,42.23777777777778,6,46,6,284,779,4.8456,11.0,4.9552,11.0
58,3.945757575757576,12.0,9.0,10.0,9.503030303030304,43.19040404040404,3,23,3,16,58,5.0056,12.0,5.0152,11.0
59,4.016767676767677,12.0,9.0,10.0,9.743434343434343,43.94838383838384,5,29,5,90,287,5.1256,12.0,5.058,11.0
60,4.014949494949495,12.0,9.0,10.0,9.812121212121212,44.26535353535353,8,32,6,300,909,5.1456,12.0,5.0448,11.0
61,3.9246464646464645,12.0,9.0,10.0,9.812121212121212,44.026969696969694,7,58,7,495,1686,5.1984,12.0,4.814,11.0
62,3.8055555555555554,12.0,9.0,10.0,9.686868686868687,43.1189898989899,13,64,11,815,2367,5.0764,12.0,4.8772,11.0
63,3.8936363636363636,12.0,9.0,10.0,9.71919191919192,44.01595959595959,5,29,4,49,118,5.1764,12.0,4.9772,11.0
