source,version,generation_slot,completion_slot,delay,completed
15,1,0,69,69,True
22,1,0,69,69,True
24,1,0,69,69,True
46,1,0,69,69,True
60,1,0,74,74,True
65,1,0,74,74,True
70,1,0,74,74,True
73,1,0,67,67,True
87,1,0,74,74,True
88,1,0,59,59,True
90,1,0,74,74,True
98,1,0,74,74,True
14,1,1,105,104,True
33,1,1,105,104,True
39,1,1,105,104,True
55,1,1,51,50,True
56,1,1,74,73,True
71,1,1,51,50,True
88,2,1,59,58,True
89,1,1,74,73,True
91,1,1,74,73,True
92,1,1,74,73,True
2,1,2,69,67,True
3,1,2,69,67,True
4,1,2,69,67,True
8,1,2,69,67,True
38,1,2,69,67,True
44,1,2,62,60,True
47,1,2,69,67,True
48,1,2,69,67,True
51,1,2,74,72,True
53,1,2,74,72,True
60,2,2,74,72,True
68,1,2,74,72,True
82,1,2,51,49,True
20,1,3,130,127,True
27,1,3,69,66,True
51,2,3,74,71,True
60,3,3,74,71,True
64,1,3,59,56,True
69,1,3,74,71,True
4,2,4,69,65,True
7,1,4,62,58,True
10,1,4,69,65,True
15,2,4,69,65,True
18,1,4,69,65,True
25,1,4,105,101,True
28,1,4,69,65,True
37,1,4,105,101,True
42,1,4,69,65,True
49,1,4,62,58,True
59,1,4,97,93,True
64,2,4,59,55,True
79,1,4,74,70,True
84,1,4,59,55,True
89,2,4,74,70,True
90,2,4,74,70,True
7,2,5,62,57,True
16,1,5,67,62,True
25,2,5,105,100,True
40,1,5,69,64,True
55,2,5,51,46,True
67,1,5,74,69,True
88,3,5,74,69,True
2,2,6,69,63,True
4,3,6,69,63,True
11,1,6,105,99,True
15,3,6,69,63,True
42,2,6,69,63,True
62,1,6,74,68,True
74,1,6,51,45,True
87,2,6,87,81,True
98,2,6,74,68,True
5,1,7,69,62,True
14,2,7,105,98,True
18,2,7,69,62,True
22,2,7,178,171,True
38,2,7,69,62,True
69,2,7,74,67,True
92,2,7,97,90,True
98,3,7,74,67,True
7,3,8,62,54,True
10,2,8,69,61,True
19,1,8,105,97,True
91,2,8,74,66,True
99,1,8,74,66,True
14,3,9,105,96,True
16,2,9,67,58,True
49,2,9,62,53,True
50,1,9,74,65,True
62,2,9,74,65,True
64,3,9,59,50,True
71,2,9,51,42,True
74,2,9,51,42,True
12,1,10,69,59,True
14,4,10,105,95,True
16,3,10,67,57,True
18,3,10,69,59,True
22,3,10,178,168,True
23,1,10,69,59,True
26,1,10,105,95,True
39,2,10,105,95,True
49,3,10,62,52,True
50,2,10,74,64,True
91,3,10,74,64,True
95,1,10,74,64,True
0,1,11,105,94,True
12,2,11,69,58,True
30,1,11,69,58,True
55,3,11,74,63,True
70,2,11,74,63,True
72,1,11,74,63,True
76,1,11,74,63,True
80,1,11,74,63,True
87,3,11,87,76,True
95,2,11,74,63,True
13,1,12,130,118,True
35,1,12,105,93,True
36,1,12,67,55,True
38,3,12,69,57,True
43,1,12,69,57,True
47,2,12,69,57,True
50,3,12,74,62,True
58,1,12,74,62,True
61,1,12,139,127,True
64,4,12,59,47,True
80,2,12,74,62,True
81,1,12,87,75,True
82,2,12,51,39,True
83,1,12,59,47,True
90,3,12,74,62,True
94,1,12,131,119,True
97,1,12,74,62,True
3,2,13,69,56,True
12,3,13,105,92,True
20,2,13,130,117,True
25,3,13,105,92,True
29,1,13,105,92,True
39,3,13,105,92,True
48,2,13,69,56,True
59,2,13,97,84,True
84,2,13,59,46,True
85,1,13,59,46,True
88,4,13,74,61,True
97,2,13,74,61,True
0,2,14,105,91,True
