slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,6.906565656565657,17.0,14.0,16.0,15.076767676767677,36.53424242424242,10,51,9,127,590,8.7572,17.0,9.1652,16.0
51,6.939494949494949,17.0,14.0,16.0,15.107070707070706,37.00050505050505,6,41,6,283,1159,8.8468,17.0,9.168,16.0
52,6.951616161616162,18.0,14.0,16.0,15.567676767676767,37.04929292929293,7,49,7,506,2058,8.978,18.0,9.1424,17.0
53,6.9231313131313135,18.0,14.0,16.0,15.480808080808082,37.09626262626263,6,44,6,495,1965,8.9308,18.0,9.2776,17.0
54,7.109393939393939,18.0,14.0,17.0,15.874747474747474,37.62060606060606,12,55,10,252,928,9.2032,18.0,9.5228,17.0
55,7.198181818181818,19.0,14.0,17.0,15.983838383838384,38.13878787878788,8,53,8,267,1002,9.4432,19.0,9.658,17.0
56,7.131414141414141,20.0,14.0,17.0,16.03030303030303,37.816464646464645,10,53,10,696,2839,9.5348,20.0,9.4696,17.0
57,7.165050505050505,18.0,14.0,17.0,16.143434343434343,38.402626262626264,11,55,10,227,855,9.552,17.0,9.572,18.0
58,7.196565656565657,18.0,15.0,17.0,16.177777777777777,38.72373737373737,10,62,10,327,1470,9.7064,18.0,9.7256,18.0
59,7.047777777777778,18.0,15.0,17.0,15.98989898989899,38.311313131313135,8,52,8,684,3156,9.6588,18.0,9.2268,18.0
60,7.043535353535353,18.0,15.0,18.0,16.094949494949496,38.71141414141414,10,50,10,285,1230,9.7588,18.0,9.2012,18.0
61,7.137979797979798,18.0,14.0,17.01000000000022,16.00808080808081,38.97525252525252,8,58,8,384,1441,9.9572,18.0,9.288,18.0
62,7.228282828282828,19.0,15.0,18.0,16.32121212121212,39.32393939393939,12,67,11,300,1383,10.1368,18.0,9.344,19.0
63,7.288989898989899,19.0,15.0,18.0,16.397979797979797,39.60151515151515,11,51,10,402,1577,10.3144,18.0,9.4196,19.0
64,7.205757575757576,19.0,15.0,18.0,16.517171717171717,39.525454545454544,8,51,8,509,2210,10.5144,18.0,9.0564,19.0
65,7.275555555555556,19.0,15.0,18.0,16.75959595959596,39.825656565656566,8,50,8,344,1289,10.7944,18.0,8.7612,19.0
66,7.124444444444444,19.0,15.0,18.0,16.682828282828282,39.026161616161616,10,67,10,825,3773,11.0944,18.0,8.0124,19.0
67,7.1722222222222225,19.0,15.0,18.0,16.848484848484848,39.34838383838384,6,43,6,349,1606,11.1716,18.0,8.1924,19.0
68,7.144040404040404,20.0,15.0,18.0,17.02020202020202,39.72555555555556,13,62,11,315,1269,11.2716,19.0,8.1588,20.0
69,6.97989898989899,21.0,15.0,18.0,17.113131313131312,38.99888888888889,8,65,8,816,3704,10.756,19.0,8.198,21.0
70,6.98020202020202,21.0,15.0,18.0,17.076767676767677,39.216464646464644,13,55,12,381,1680,10.896,20.0,8.1364,21.0
71,7.165656565656565,21.0,15.0,18.0,17.20808080808081,40.104949494949494,3,23,3,61,243,11.076,20.0,8.3764,21.0
72,7.206666666666667,22.0,15.0,18.0,17.280808080808082,40.41252525252525,11,37,11,311,1475,11.2556,21.0,8.3772,22.0
73,7.076666666666667,22.0,16.0,18.0,17.175757575757576,39.56949494949495,12,54,12,853,3861,10.7476,21.0,8.1812,22.0
74,7.064242424242424,22.0,16.0,19.0,17.21010101010101,39.922222222222224,12,50,12,310,1311,10.8876,21.0,7.9756,22.0
75,7.0227272727272725,23.0,16.0,19.0,17.35151515151515,39.86636363636364,10,50,10,469,2193,11.0672,21.0,7.826,23.0
76,6.783737373737374,23.0,16.0,19.0,17.171717171717173,38.89484848484849,9,64,9,906,3950,10.8096,21.0,7.5324,23.0
77,6.838383838383838,21.0,16.0,19.0,17.082828282828284,39.26313131313131,9,57,9,311,1340,10.8872,21.0,7.6208,19.0
78,6.738686868686869,19.0,16.0,18.0,17.042424242424243,39.004444444444445,10,76,10,602,2472,10.9476,19.0,7.6568,19.0
79,6.853535353535354,20.0,16.0,19.0,17.262626262626263,39.42545454545454,17,63,17,294,1140,11.03,20.0,7.8376,19.0
80,7.058585858585858,20.0,16.0,19.0,17.507070707070707,40.282222222222224,9,51,9,94,247,11.21,20.0,8.1176,19.0
81,7.221717171717172,21.0,16.0,19.0,17.775757575757577,41.08676767676768,7,36,6,103,365,11.41,21.0,8.2784,19.0
82,7.317272727272727,22.0,17.0,20.0,18.163636363636364,41.62343434343434,10,47,10,238,1034,11.65,22.0,8.2424,20.0
83,7.430606060606061,22.0,17.0,20.0,18.23838383838384,42.10505050505051,5,51,5,250,957,11.7912,22.0,8.4032,20.0
84,7.45010101010101,22.0,17.0,20.0,18.35151515151515,42.05111111111111,13,53,11,474,2084,11.8336,22.0,8.5064,21.0
85,7.39020202020202,23.0,17.0,20.0,18.56161616161616,41.92747474747475,5,46,5,520,2375,11.82,23.0,8.3308,21.0
86,7.504949494949495,23.0,17.0,20.0,18.703030303030303,42.5479797979798,12,66,12,192,745,12.0,23.0,8.5308,21.0
87,7.474848484848485,23.0,17.0,20.0,18.664646464646463,42.33181818181818,11,52,10,551,2377,11.9824,23.0,8.6064,21.0
88,7.497373737373738,23.0,17.0,19.0,18.67676767676768,42.48858585858586,11,59,11,420,1559,12.1236,23.0,8.6288,21.0
