slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,7.051515151515152,17.0,15.0,17.0,15.6,37.374848484848485,16,59,15,398,1760,9.6792,17.0,9.7376,16.0
51,7.118484848484848,17.0,15.0,16.0,15.690909090909091,37.99363636363636,12,69,12,284,822,9.788,17.0,9.8976,16.0
52,7.295757575757576,18.0,15.0,17.0,16.064646464646465,38.77393939393939,30,48,26,124,423,9.9976,18.0,10.1176,17.0
53,7.355151515151515,18.0,15.0,17.0,16.064646464646465,39.24979797979798,22,65,20,380,1095,10.1872,18.0,10.2576,17.0
54,7.470909090909091,18.0,15.0,17.0,16.591919191919192,39.481515151515154,19,66,19,438,1626,10.3944,18.0,10.5376,17.0
55,7.417070707070707,19.0,15.0,17.0,16.75959595959596,39.32949494949495,16,66,15,663,2414,10.6136,19.0,10.6272,17.0
56,7.5768686868686865,20.0,15.0,17.0,17.155555555555555,40.045050505050504,13,52,13,206,596,10.8536,20.0,10.7768,17.0
57,7.593636363636364,20.0,16.0,18.0,17.266666666666666,40.50707070707071,12,53,11,346,1022,10.9432,20.0,10.9168,18.0
58,7.676262626262626,20.0,16.0,18.0,17.436363636363637,41.06070707070707,23,56,21,290,964,11.1328,20.0,11.0012,18.0
59,7.685050505050505,20.0,16.0,18.0,17.498989898989898,41.28888888888889,24,62,19,492,1596,11.2456,20.0,11.0404,18.0
60,7.599292929292929,20.0,16.0,18.0,17.476767676767675,41.3639393939394,15,58,15,581,2037,11.1712,20.0,11.0796,18.0
61,7.735959595959596,20.0,16.0,18.0,17.65050505050505,41.87131313131313,19,53,18,308,1023,11.4512,20.0,11.2544,18.0
62,7.73,20.0,17.0,19.0,17.892929292929292,41.79646464646465,13,67,13,711,2336,11.6712,20.0,11.192,19.0
63,7.908787878787879,21.0,17.0,19.0,18.3010101010101,42.594242424242424,13,59,13,162,408,11.9312,21.0,11.372,19.0
64,7.926060606060606,21.0,17.0,19.0,18.31313131313131,42.99414141414142,10,58,10,381,1215,12.1312,21.0,11.4268,19.0
65,7.942020202020202,21.0,17.0,19.0,18.224242424242423,43.17444444444445,18,71,17,512,1822,12.2368,21.0,11.3704,19.0
66,8.08979797979798,21.0,18.0,19.0,18.456565656565658,43.76,16,58,15,262,814,12.5368,21.0,11.48,19.0
67,8.17,22.0,18.0,19.0,18.545454545454547,44.08868686868687,11,57,11,423,1285,12.7768,22.0,11.66,19.0
68,8.222424242424243,22.0,18.0,19.0,18.634343434343435,44.83646464646465,17,56,16,197,471,12.8768,22.0,11.76,19.0
69,8.337070707070707,23.0,18.0,19.0,18.98989898989899,45.34858585858586,19,65,19,345,944,13.0768,23.0,11.98,19.0
70,8.437070707070706,23.0,18.0,19.0,19.35959595959596,46.01676767676768,16,54,16,224,693,13.1296,23.0,12.18,19.0
71,8.510808080808081,24.0,18.0,20.0,19.793939393939393,46.35636363636364,18,68,18,408,1349,13.2224,24.0,12.42,20.0
72,8.595858585858586,24.0,18.0,20.0,20.014141414141413,46.85515151515151,20,57,18,331,1039,13.3152,24.0,12.62,20.0
73,8.764040404040404,24.0,19.0,20.0,20.11111111111111,47.414848484848484,22,59,22,299,909,13.508,24.0,12.86,20.0
74,8.797575757575757,25.0,19.0,20.0,20.24848484848485,48.02030303030303,19,58,19,261,856,13.5608,25.0,12.96,20.0
75,8.95,25.0,19.0,21.0,20.42828282828283,48.87808080808081,33,54,24,110,273,13.7408,25.0,13.14,21.0
76,9.055252525252525,25.0,19.0,21.0,20.608080808080807,49.58080808080808,20,55,19,202,542,13.8408,25.0,13.36,21.0
77,8.933535353535353,25.0,20.0,21.0,20.703030303030303,49.01111111111111,18,55,15,882,3086,13.3432,25.0,13.54,21.0
78,8.936161616161616,25.0,19.0,21.0,20.725252525252525,49.318585858585855,14,53,14,312,1459,13.2616,25.0,13.4928,21.0
79,9.023636363636363,25.0,19.0,22.0,21.1030303030303,49.63787878787879,17,55,16,349,1411,13.24,25.0,13.7128,22.0
80,9.122323232323232,25.0,19.0,22.0,21.43030303030303,49.92535353535354,13,49,12,346,1300,13.42,25.0,13.8268,22.0
81,9.217373737373737,25.0,20.0,23.0,21.587878787878786,50.40141414141414,12,64,11,334,1039,13.62,25.0,14.0268,23.0
82,9.24989898989899,25.0,20.0,23.0,21.65858585858586,50.57939393939394,23,62,20,462,1658,13.6856,25.0,14.1868,23.0
83,9.373030303030303,25.0,20.0,23.0,21.945454545454545,51.13545454545454,20,58,17,278,860,13.9056,25.0,14.3868,23.0
84,9.561616161616161,25.0,20.0,23.0,22.08888888888889,51.92727272727273,15,46,12,159,410,14.1056,25.0,14.6468,23.0
85,9.596565656565657,25.0,20.0,24.0,22.35151515151515,52.256565656565655,13,48,13,347,1436,14.024,25.0,14.816,24.0
86,9.76,25.0,20.0,24.0,22.43232323232323,53.12070707070707,20,45,16,104,263,14.204,25.0,15.016,24.0
87,9.733333333333333,25.0,21.0,23.0,22.361616161616162,53.00848484848485,22,61,20,466,2343,14.0824,25.0,14.9424,24.0
88,9.754242424242424,25.0,21.0,24.0,22.54141414141414,53.22252525252525,17,71,17,331,1575,14.3024,25.0,14.7288,25.0
89,9.889393939393939,25.0,21.0,24.0,22.78787878787879,54.09292929292929,19,46,17,87,246,14.4424,25.0,14.9088,25.0
90,10.075757575757576,26.0,22.0,25.0,23.246464646464645,54.92565656565657,28,52,23,113,333,14.6224,25.0,15.1688,26.0
91,10.165454545454546,26.0,21.0,25.0,23.21010101010101,55.413737373737376,18,56,16,291,1092,14.648,25.0,15.3688,26.0
92,10.30989898989899,27.0,22.0,25.0,23.490909090909092,55.934444444444445,16,60,16,297,946,14.7408,25.0,15.6688,27.0
93,10.146161616161617,27.0,21.0,25.0,23.527272727272727,55.37414141414141,17,58,13,623,3205,14.8136,25.0,15.2984,27.0
94,10.281717171717172,27.0,22.0,25.0,23.656565656565657,55.9930303030303,15,48,14,149,737,15.0536,25.0,15.3016,27.0
95,10.230707070707071,27.0,22.0,25.0,23.6989898989899,55.914242424242424,15,47,15,420,2188,15.1936,25.0,14.9904,27.0
96,10.346060606060606,27.0,22.0,25.0,24.024242424242424,56.51656565656565,20,64,19,260,739,15.3536,26.0,15.2104,27.0
97,10.466161616161616,27.0,22.0,25.0,24.226262626262628,57.2969696969697,26,49,20,133,395,15.5136,26.0,15.3704,27.0
98,10.38949494949495,27.0,22.0,26.0,24.36969696969697,57.13777777777778,24,52,20,397,2343,15.5664,26.0,14.8816,27.0
99,10.345353535353535,28.0,22.0,26.0,24.31111111111111,57.09565656565657,15,46,14,467,2219,15.3176,26.0,14.9648,28.0
100,10.37929292929293,29.0,22.0,26.0,24.408080808080808,57.194545454545455,28,56,22,332,1842,15.4976,26.0,14.6944,29.0
101,10.30010101010101,29.0,22.0,26.0,24.153535353535354,57.07979797979798,15,64,14,472,2269,15.396,26.0,14.5,29.0
102,10.238181818181818,29.0,22.0,26.0,24.050505050505052,56.836363636363636,18,60,17,390,2494,15.616,27.0,13.8048,29.0
103,10.28979797979798,29.0,22.0,26.01000000000022,24.173737373737374,57.39585858585858,21,53,20,222,875,15.776,28.0,13.748,29.0
104,10.257575757575758,30.0,22.0,26.0,24.315151515151516,57.49121212121212,24,51,19,302,1804,15.916,28.0,13.5444,30.0
105,10.13111111111111,30.0,22.0,26.0,23.953535353535354,56.812828282828285,14,48,14,544,3430,16.0016,29.0,12.8404,30.0
106,9.928080808080809,30.0,21.0,24.0,23.24848484848485,55.405151515151516,11,70,11,813,4782,16.1472,29.0,11.8428,30.0
107,9.912727272727272,30.0,21.0,24.0,23.12929292929293,55.588484848484846,21,63,20,383,1637,16.2,24.0,11.8256,30.0
108,9.962727272727273,30.0,21.0,24.0,23.153535353535354,55.917878787878784,19,59,18,392,1386,16.4,24.0,11.9956,30.0
109,10.068282828282829,31.0,22.0,24.0,23.385858585858585,56.456161616161616,14,63,14,258,836,16.56,24.0,12.2152,31.0
110,10.174242424242424,31.0,22.0,24.0,23.547474747474748,57.18909090909091,20,54,18,187,535,16.68,25.0,12.4152,31.0
111,10.32020202020202,31.0,22.0,25.0,23.703030303030303,57.545656565656564,19,64,18,240,1228,16.94,25.0,12.6952,31.0
112,10.38111111111111,31.0,22.0,25.0,23.86060606060606,57.95,25,49,17,266,1179,17.12,26.0,12.8548,31.0
