slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0
50,6.796767676767677,17.0,14.0,16.0,14.995959595959595,36.10565656565657,10,51,9,181,800,8.3532,17.0,9.1652,16.0
51,6.831717171717171,17.0,14.0,16.0,15.006060606060606,36.58060606060606,6,41,6,272,1139,8.4428,17.0,9.1664,16.0
52,6.8653535353535355,18.0,14.0,16.0,15.454545454545455,36.71363636363636,7,49,7,456,1845,8.6548,18.0,9.1408,17.0
53,6.901212121212121,18.0,14.0,16.0,15.452525252525252,37.01131313131313,6,44,6,341,1328,8.85,18.0,9.276,17.0
54,7.087474747474747,18.0,14.0,17.0,15.834343434343435,37.535656565656566,12,55,10,252,928,9.1224,18.0,9.5212,17.0
55,7.176363636363637,19.0,14.0,17.0,15.943434343434344,38.05414141414141,8,53,8,266,1001,9.3624,19.0,9.6564,17.0
56,7.10959595959596,20.0,14.0,17.0,15.985858585858585,37.731818181818184,10,53,10,696,2839,9.454,20.0,9.468,17.0
57,7.143232323232323,18.0,14.0,17.0,16.094949494949496,38.317979797979795,11,55,10,227,855,9.4712,17.0,9.5704,18.0
58,7.1854545454545455,18.0,15.0,17.0,16.161616161616163,38.68070707070707,10,62,10,301,1364,9.666,18.0,9.724,18.0
59,7.044545454545455,18.0,15.0,17.0,15.98989898989899,38.3,8,52,8,661,3078,9.6588,18.0,9.214,18.0
60,7.03949494949495,18.0,15.0,18.0,16.094949494949496,38.697272727272725,10,50,10,287,1238,9.7588,18.0,9.1852,18.0
61,7.134343434343434,18.0,14.0,17.01000000000022,16.00808080808081,38.96252525252525,8,58,8,384,1437,9.9572,18.0,9.2736,18.0
62,7.224646464646464,19.0,15.0,18.0,16.32121212121212,39.31121212121212,12,67,11,300,1383,10.1368,18.0,9.3296,19.0
63,7.2853535353535355,19.0,15.0,18.0,16.397979797979797,39.588787878787876,11,51,10,402,1577,10.3144,18.0,9.4052,19.0
64,7.2029292929292925,19.0,15.0,18.0,16.517171717171717,39.51555555555556,8,51,8,507,2202,10.5144,18.0,9.0452,19.0
65,7.275151515151515,19.0,15.0,18.0,16.75959595959596,39.82424242424243,8,50,8,344,1265,10.7944,18.0,8.7596,19.0
66,7.222727272727273,19.0,15.0,18.0,16.80808080808081,39.474141414141414,9,66,9,628,2796,11.0944,18.0,8.3044,19.0
67,7.271010101010101,19.0,15.0,18.0,16.995959595959597,39.79818181818182,6,43,6,347,1601,11.1716,18.0,8.4844,19.0
68,7.137777777777778,20.0,15.0,18.0,17.02020202020202,39.70424242424242,13,62,11,535,2309,11.2716,19.0,8.148,20.0
69,6.9751515151515155,21.0,15.0,18.0,17.113131313131312,38.983030303030304,8,65,8,810,3689,10.756,19.0,8.1872,21.0
70,6.9781818181818185,21.0,15.0,18.0,17.076767676767677,39.209191919191916,13,55,12,374,1653,10.896,20.0,8.1364,21.0
71,7.163636363636364,21.0,15.0,18.0,17.20808080808081,40.09767676767677,3,23,3,61,243,11.076,20.0,8.3764,21.0
72,7.204646464646465,22.0,15.0,18.0,17.280808080808082,40.40525252525253,11,37,11,311,1475,11.2556,21.0,8.3772,22.0
73,7.074646464646465,22.0,16.0,18.0,17.175757575757576,39.562222222222225,12,54,12,853,3861,10.7476,21.0,8.1812,22.0
74,7.061717171717172,22.0,16.0,19.0,17.21010101010101,39.913131313131316,12,50,12,311,1316,10.8876,21.0,7.9756,22.0
75,7.02020202020202,23.0,16.0,19.0,17.35151515151515,39.85727272727273,10,50,10,469,2193,11.0672,21.0,7.826,23.0
76,6.781717171717172,23.0,16.0,19.0,17.171717171717173,38.88757575757576,9,64,9,905,3945,10.8096,21.0,7.5324,23.0
77,6.836363636363636,21.0,16.0,19.0,17.082828282828284,39.25585858585858,9,57,9,311,1340,10.8872,21.0,7.6208,19.0
78,6.737171717171718,19.0,16.0,18.0,17.042424242424243,38.9989898989899,10,76,10,601,2467,10.9476,19.0,7.6568,19.0
79,6.8530303030303035,20.0,16.0,19.0,17.262626262626263,39.42363636363636,17,63,17,290,1130,11.03,20.0,7.8376,19.0
80,7.058585858585858,20.0,16.0,19.0,17.507070707070707,40.282222222222224,9,51,9,92,242,11.21,20.0,8.1176,19.0
81,7.221717171717172,21.0,16.0,19.0,17.775757575757577,41.08676767676768,7,36,6,103,365,11.41,21.0,8.2784,19.0
82,7.317272727272727,22.0,17.0,20.0,18.163636363636364,41.62343434343434,10,47,10,238,1034,11.65,22.0,8.2424,20.0
83,7.430606060606061,22.0,17.0,20.0,18.23838383838384,42.10505050505051,5,51,5,250,957,11.7912,22.0,8.4032,20.0
84,7.45010101010101,22.0,17.0,20.0,18.35151515151515,42.05111111111111,13,53,11,474,2084,11.8336,22.0,8.5064,21.0
85,7.377373737373738,23.0,17.0,20.0,18.56161616161616,41.872424242424245,6,56,6,546,2502,11.82,23.0,8.3308,21.0
86,7.491919191919192,23.0,17.0,20.0,18.703030303030303,42.49212121212121,12,66,12,192,747,12.0,23.0,8.5308,21.0
87,7.461818181818182,23.0,17.0,20.0,18.664646464646463,42.2759595959596,11,52,10,551,2377,11.9824,23.0,8.6064,21.0
88,7.453737373737374,23.0,17.0,19.0,18.67676767676768,42.267878787878786,10,61,10,476,1862,12.1236,23.0,8.6288,21.0
89,7.402424242424242,23.0,17.0,20.0,18.834343434343435,42.236666666666665,18,56,16,417,2092,11.6828,23.0,8.7244,21.0
90,7.593535353535353,23.0,18.0,20.0,19.20808080808081,43.08222222222222,4,20,4,75,286,11.8628,23.0,8.9612,22.0
91,7.772222222222222,23.0,18.0,21.0,19.284848484848485,43.98939393939394,6,41,6,62,211,12.0628,23.0,9.1612,22.0
92,7.810909090909091,23.0,18.0,20.0,19.33737373737374,44.075050505050505,10,59,10,504,1993,12.146,23.0,9.1084,22.0
93,7.728282828282828,23.0,18.0,20.0,19.13939393939394,43.851010101010104,13,51,12,531,2402,11.894,23.0,9.0212,23.0
94,7.8578787878787875,24.0,18.0,20.0,19.3010101010101,44.44626262626262,6,26,5,216,796,12.134,24.0,9.1228,23.0
