candidate_id,phase,evaluation_phase,base_tx_ratio,alpha,calibrated_intercept,calibration_probability_mean,search_probability_mean,actual_tx_ratio,mean_VAoI,mean_tail_VAoI,constraint_feasible,coarse_rank_within_alpha,evaluated_on_full,pruned_after_coarse,phase_slots,rank,selected
20,coarse,coarse,0.1,1.2,-2.714447021484375,0.10000050067977952,0.09991200621614527,0.10113944444444445,6.539178407753058,16.36894339668452,True,1,False,False,200,1,False
34,coarse,coarse,0.1,1.8,-2.9967193603515625,0.100000295223627,0.09980298861823447,0.10082424242424241,6.557087449628478,16.595532755104045,True,1,False,False,200,2,False
27,coarse,coarse,0.1,1.5,-2.853668212890625,0.09999930450121482,0.09986090747736333,0.10087398989898991,6.574438904838692,16.494960706416265,True,1,False,False,200,3,False
13,coarse,coarse,0.1,1.0,-2.6238250732421875,0.10000002416672371,0.09993922981312317,0.101483547979798,6.586391965578434,16.46740126294702,True,1,False,False,200,4,False
6,coarse,coarse,0.1,0.5,-2.4049835205078125,0.0999997080089493,0.09998643260882152,0.10142631313131314,6.735891493836563,16.861530587672394,True,1,False,False,200,5,False
26,coarse,coarse,0.08750000000000002,1.5,-3.002655029296875,0.08750079873646767,0.08737485127856023,0.08863189393939394,6.752229588935277,16.991454147401186,True,2,False,False,200,6,False
19,coarse,coarse,0.08750000000000002,1.2,-2.862823486328125,0.08750076163601304,0.08742001139182563,0.08863544191919191,6.794975870745249,17.035481685642303,True,2,False,False,200,7,False
33,coarse,coarse,0.08750000000000002,1.8,-3.146514892578125,0.08749984434198516,0.08732074825823437,0.08844580808080808,6.79692367016582,17.29669018761021,True,2,False,False,200,8,False
12,coarse,coarse,0.08750000000000002,1.0,-2.771881103515625,0.0874994900288286,0.08744390408573051,0.08883545454545455,6.824922869441279,17.000733758818285,True,2,False,False,200,9,False
5,coarse,coarse,0.08750000000000002,0.5,-2.552490234375,0.0874992866330521,0.08748704100546809,0.08901445707070707,7.029015241791892,17.408095864574683,True,2,False,False,200,10,False
13,coarse,full,0.1,1.0,-2.6238250732421875,0.10000002416672371,0.09984584230893323,0.0998600643939394,7.146439621146951,18.765613636322755,True,1,True,False,500,11,False
20,coarse,full,0.1,1.2,-2.714447021484375,0.10000050067977952,0.09981314943356757,0.09983942171717172,7.147582093815382,18.87257826466175,True,1,True,False,500,12,False
27,coarse,full,0.1,1.5,-2.853668212890625,0.09999930450121482,0.09976133225770104,0.09980037500000001,7.166725633168355,19.104583371894915,True,1,True,False,500,13,False
34,coarse,full,0.1,1.8,-2.9967193603515625,0.100000295223627,0.0997111422237098,0.09975276010101011,7.18424821340961,19.335041391051526,True,1,True,False,500,14,False
43,refine,full,0.09687500000000002,1.2,-2.74993896484375,0.09687431859275002,0.09669205225967384,0.09678786237373738,7.20167396965883,19.01045758873668,True,,True,False,500,15,False
46,refine,full,0.09687500000000002,1.5,-2.8892974853515625,0.09687474169876983,0.09664318804872918,0.09666095707070707,7.205935830698993,19.2060216344223,True,,True,False,500,16,True
40,refine,full,0.09687500000000002,1.0,-2.659210205078125,0.09687595937118257,0.09672597621552734,0.09677609343434343,7.209591422937683,18.919053601823116,True,,True,False,500,17,False
49,refine,full,0.09687500000000002,1.8,-3.032562255859375,0.0968741486122137,0.0965927559597644,0.09666502525252527,7.250832735346487,19.582638125971528,True,,True,False,500,18,False
6,coarse,full,0.1,0.5,-2.4049835205078125,0.0999997080089493,0.09992543319576562,0.09989056060606061,7.271899701709704,18.906877961385252,True,1,True,False,500,19,False
45,refine,full,0.09375000000000001,1.5,-2.92596435546875,0.09374949065848596,0.0935244203846019,0.0935672297979798,7.27378806706862,19.363411734352262,True,,True,False,500,20,False
42,refine,full,0.09375000000000001,1.2,-2.78643798828125,0.09375008496792718,0.09357294898773952,0.09360336994949495,7.278466720837677,19.189272183338282,True,,True,False,500,21,False
