topology_seed,channel_seed,update_seed,failure_node,scenario,node_curvature,absolute_node_curvature,curvature_rank_desc,absolute_curvature_rank_desc,degree,betweenness,configured_broadcast_probability,mean_policy_probability,average_broadcast_probability,actual_tx_ratio,active_node_actual_tx_ratio,failure_node_activity_ratio,baseline_mean_aoi,failure_mean_aoi,delta_mean_aoi,relative_delta_mean_aoi,baseline_mean_max_aoi,failure_mean_max_aoi,delta_mean_max_aoi,relative_delta_mean_max_aoi,baseline_mean_min_aoi,failure_mean_min_aoi,delta_mean_min_aoi,relative_delta_mean_min_aoi,baseline_max_aoi,failure_max_aoi,delta_max_aoi,relative_delta_max_aoi,baseline_min_aoi,failure_min_aoi,delta_min_aoi,relative_delta_min_aoi
1,0,0,-1,baseline,,,,,,,0.1,0.1,0.1,0.09988367346938774,0.09988367346938774,,5.598367841682128,5.598367841682128,0.0,0.0,21.671632653061224,21.671632653061224,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,single_node_silence,0.39122526778776784,0.39122526778776784,1,1,8,0.00490620490620491,0.1,0.1,0.1,0.09892040816326532,0.0999196042053185,0.0,5.598367841682128,8.169751638837354,2.5713837971552262,0.4593095469737138,21.671632653061224,268.0773469387755,246.40571428571428,11.369965439632361,0.0,0.0,0.0,,35.0,515.0,480.0,13.714285714285714,0.0,0.0,0.0,
1,0,0,1,single_node_silence,0.31480130980130977,0.31480130980130977,9,9,10,0.03285514160667256,0.1,0.1,0.1,0.09886938775510204,0.09986806843949701,0.0,5.598367841682128,8.27284963924964,2.6744817975675126,0.47772527157913897,21.671632653061224,273.6365306122449,251.96489795918365,11.626484353664623,0.0,0.0,0.0,,35.0,533.0,498.0,14.228571428571428,0.0,0.0,0.0,
1,0,0,2,single_node_silence,0.006369556369556433,0.006369556369556433,90,98,9,0.053236163382987395,0.1,0.1,0.1,0.09892857142857142,0.09992784992784992,0.0,5.598367841682128,8.141247763347764,2.5428799216656355,0.45421808526636265,21.671632653061224,259.9289795918367,238.25734693877547,10.993973123899387,0.0,0.0,0.0,,35.0,494.0,459.0,13.114285714285714,0.0,0.0,0.0,
1,0,0,3,single_node_silence,0.28562152133580715,0.28562152133580715,12,12,7,0.00015234408658444939,0.1,0.1,0.1,0.09891428571428572,0.09991341991341991,0.0,5.598367841682128,8.201032797361368,2.6026649556792396,0.46489709666830736,21.671632653061224,267.6689795918367,245.99734693877548,11.351122034824042,0.0,0.0,0.0,,35.0,524.0,489.0,13.971428571428572,0.0,0.0,0.0,
1,0,0,4,single_node_silence,-0.01005596967135424,0.01005596967135424,93,97,13,0.05163972197021062,0.1,0.1,0.1,0.0988795918367347,0.09987837559266131,0.0,5.598367841682128,8.112525685425686,2.5141578437435577,0.4490876474790793,21.671632653061224,255.97408163265305,234.30244897959182,10.811481198971665,0.0,0.0,0.0,,35.0,498.0,463.0,13.228571428571428,0.0,0.0,0.0,
1,0,0,5,single_node_silence,0.17611607142857144,0.17611607142857144,56,57,8,0.002734044643225791,0.1,0.1,0.1,0.09883061224489795,0.09982890125747268,0.0,5.598367841682128,8.028238012780871,2.4298701710987434,0.4340318892601823,21.671632653061224,249.71795918367346,228.04632653061225,10.522803250746298,0.0,0.0,0.0,,35.0,478.0,443.0,12.657142857142857,0.0,0.0,0.0,
1,0,0,6,single_node_silence,0.10945073445073461,0.10945073445073461,73,75,12,0.050875541832627914,0.1,0.1,0.1,0.09892857142857142,0.09992784992784992,0.0,5.598367841682128,7.948530076272933,2.3501622345908046,0.41979417949154574,21.671632653061224,242.89204081632653,221.2204081632653,10.207833055532014,0.0,0.0,0.0,,35.0,476.0,441.0,12.6,0.0,0.0,0.0,
1,0,0,7,single_node_silence,0.22777777777777775,0.22777777777777775,38,38,3,0.0,0.1,0.1,0.1,0.09881224489795919,0.09981034838177696,0.0,5.598367841682128,7.9950181199752635,2.3966502782931354,0.4280980360827844,21.671632653061224,248.48020408163265,226.80857142857144,10.4656891826991,0.0,0.0,0.0,,35.0,474.0,439.0,12.542857142857143,0.0,0.0,0.0,
1,0,0,8,single_node_silence,0.23444762308398673,0.23444762308398673,29,29,11,0.0077132552286399555,0.1,0.1,0.1,0.09888367346938776,0.09988249845392702,0.0,5.598367841682128,8.122078746650175,2.5237109049680466,0.45079404861145267,21.671632653061224,257.2122448979592,235.54061224489794,10.868614101006676,0.0,0.0,0.0,,35.0,489.0,454.0,12.971428571428572,0.0,0.0,0.0,
1,0,0,9,single_node_silence,0.16450771450771454,0.16450771450771454,61,62,10,0.01060157314558311,0.1,0.1,0.1,0.09892448979591836,0.09992372706658421,0.0,5.598367841682128,8.140721026592455,2.5423531849103274,0.45412399770902384,21.671632653061224,260.34469387755104,238.6730612244898,11.013155540488366,0.0,0.0,0.0,,35.0,526.0,491.0,14.028571428571428,0.0,0.0,0.0,
1,0,0,10,single_node_silence,0.0825736763236764,0.0825736763236764,82,86,4,0.0007168876140873787,0.1,0.1,0.1,0.09887142857142857,0.09987012987012987,0.0,5.598367841682128,8.16444436198722,2.566076520305092,0.4583615426624181,21.671632653061224,264.40755102040816,242.73591836734693,11.200629055193001,0.0,0.0,0.0,,35.0,520.0,485.0,13.857142857142858,0.0,0.0,0.0,
1,0,0,11,single_node_silence,0.2659887334887336,0.2659887334887336,19,19,10,0.006348325827957988,0.1,0.1,0.1,0.09881836734693877,0.09981653267367553,0.0,5.598367841682128,7.998565615337045,2.4001977736549165,0.42873170208367994,21.671632653061224,246.90836734693877,225.23673469387757,10.393159495625808,0.0,0.0,0.0,,35.0,509.0,474.0,13.542857142857143,0.0,0.0,0.0,
1,0,0,12,single_node_silence,0.05992874646720804,0.05992874646720804,83,87,13,0.04731605774596031,0.1,0.1,0.1,0.09886122448979591,0.09985982271696557,0.0,5.598367841682128,8.138062399505255,2.539694557823127,0.45364910446113726,21.671632653061224,258.9881632653061,237.3165306122449,10.950560781987175,0.0,0.0,0.0,,35.0,504.0,469.0,13.4,0.0,0.0,0.0,
1,0,0,13,single_node_silence,0.05657437800294946,0.05657437800294946,84,88,14,0.037503347948380394,0.1,0.1,0.1,0.09892040816326532,0.0999196042053185,0.0,5.598367841682128,8.196799031127604,2.598431189445476,0.46414084656944077,21.671632653061224,264.98408163265304,243.3124489795918,11.227232062980855,0.0,0.0,0.0,,35.0,501.0,466.0,13.314285714285715,0.0,0.0,0.0,
1,0,0,14,single_node_silence,0.10589133089133083,0.10589133089133083,75,77,7,0.21821612125545214,0.1,0.1,0.1,0.09889795918367346,0.09989692846835703,0.0,5.598367841682128,8.587146402803544,2.988778561121416,0.5338660562581727,21.671632653061224,240.17367346938775,218.50204081632654,10.082398696688044,0.0,0.0,0.0,,35.0,486.0,451.0,12.885714285714286,0.0,0.0,0.0,
1,0,0,15,single_node_silence,0.3388888888888889,0.3388888888888889,7,7,4,0.0,0.1,0.1,0.1,0.09892244897959185,0.09992166563595135,0.0,5.598367841682128,8.222426922284063,2.624059080601935,0.4687185899191451,21.671632653061224,270.73571428571427,249.06408163265303,11.492631202267612,0.0,0.0,0.0,,35.0,512.0,477.0,13.628571428571428,0.0,0.0,0.0,
1,0,0,16,single_node_silence,0.20121527777777778,0.20121527777777778,49,49,8,0.0021034633064245614,0.1,0.1,0.1,0.09880612244897959,0.09980416408987837,0.0,5.598367841682128,8.35216899608328,2.7538011544011525,0.4918935718903609,21.671632653061224,282.1114285714286,260.43979591836734,12.017543859649123,0.0,0.0,0.0,,35.0,536.0,501.0,14.314285714285715,0.0,0.0,0.0,
1,0,0,17,single_node_silence,0.231073471982563,0.231073471982563,33,33,11,0.01050660541705099,0.1,0.1,0.1,0.09891632653061225,0.09991548134405277,0.0,5.598367841682128,8.056886621315192,2.4585187796330636,0.4391492036890449,21.671632653061224,253.99204081632652,232.3204081632653,10.72002335414489,0.0,0.0,0.0,,35.0,491.0,456.0,13.028571428571428,0.0,0.0,0.0,
1,0,0,18,single_node_silence,0.1718262797808253,0.1718262797808253,58,59,11,0.007768945461706822,0.1,0.1,0.1,0.09892857142857142,0.09992784992784992,0.0,5.598367841682128,8.058814842300556,2.4604470006184282,0.4394936292501894,21.671632653061224,252.7757142857143,231.10408163265305,10.663898070457948,0.0,0.0,0.0,,35.0,499.0,464.0,13.257142857142858,0.0,0.0,0.0,
1,0,0,19,single_node_silence,0.21111111111111117,0.21111111111111117,42,42,5,0.0007001710907579472,0.1,0.1,0.1,0.09888979591836736,0.0998886827458256,0.0,5.598367841682128,7.735896371882086,2.1375285301999583,0.3818128052046148,21.671632653061224,222.70367346938775,201.03204081632651,9.276275767249578,0.0,0.0,0.0,,35.0,458.0,423.0,12.085714285714285,0.0,0.0,0.0,
1,0,0,20,single_node_silence,0.04499999999999997,0.04499999999999997,85,90,5,0.2768364452256858,0.1,0.1,0.1,0.09885714285714287,0.09985569985569986,0.0,5.598367841682128,9.07329247577819,3.4749246340960624,0.6207031642729571,21.671632653061224,250.62285714285716,228.95122448979595,10.564558201730845,0.0,0.0,0.0,,35.0,473.0,438.0,12.514285714285714,0.0,0.0,0.0,
1,0,0,21,single_node_silence,0.36859128525795204,0.36859128525795204,3,3,9,0.010172891695948144,0.1,0.1,0.1,0.09892244897959185,0.09992166563595135,0.0,5.598367841682128,8.025211544011546,2.4268437023294176,0.43349129084741056,21.671632653061224,253.24836734693878,231.57673469387754,10.685707828347034,0.0,0.0,0.0,,35.0,497.0,462.0,13.2,0.0,0.0,0.0,
1,0,0,22,single_node_silence,0.1569187223033378,0.1569187223033378,64,65,13,0.021705679189226997,0.1,0.1,0.1,0.0988795918367347,0.09987837559266131,0.0,5.598367841682128,8.307754483611626,2.7093866419294983,0.4839600966833604,21.671632653061224,276.7481632653061,255.07653061224488,11.770065259767776,0.0,0.0,0.0,,35.0,524.0,489.0,13.971428571428572,0.0,0.0,0.0,
1,0,0,23,single_node_silence,0.10829887704887713,0.10829887704887713,74,76,12,0.037956074364023804,0.1,0.1,0.1,0.09889795918367346,0.09989692846835703,0.0,5.598367841682128,8.242417295403008,2.6440494537208803,0.4722893401242511,21.671632653061224,269.3210204081633,247.64938775510205,11.427352600502868,0.0,0.0,0.0,,35.0,505.0,470.0,13.428571428571429,0.0,0.0,0.0,
1,0,0,24,single_node_silence,0.006098068598068662,0.006098068598068662,91,99,12,0.023659962316224012,0.1,0.1,0.1,0.09893673469387755,0.09993609565038136,0.0,5.598367841682128,8.105685095856526,2.5073172541743975,0.44786575749924823,21.671632653061224,253.2069387755102,231.53530612244896,10.683796178583872,0.0,0.0,0.0,,35.0,491.0,456.0,13.028571428571428,0.0,0.0,0.0,
1,0,0,25,single_node_silence,0.11537767787767803,0.11537767787767803,72,74,14,0.06297115340195203,0.1,0.1,0.1,0.09885102040816326,0.09984951556380127,0.0,5.598367841682128,8.15554553700268,2.5571776953205525,0.4567720034902536,21.671632653061224,258.5922448979592,236.92061224489794,10.932291813807195,0.0,0.0,0.0,,35.0,494.0,459.0,13.114285714285714,0.0,0.0,0.0,
1,0,0,26,single_node_silence,0.1726599158417341,0.1726599158417341,57,58,11,0.012911876182426656,0.1,0.1,0.1,0.09883469387755102,0.09983302411873841,0.0,5.598367841682128,8.076830839002268,2.4784629973201397,0.442711709449846,21.671632653061224,257.54448979591837,235.87285714285713,10.883944967087606,0.0,0.0,0.0,,35.0,498.0,463.0,13.228571428571428,0.0,0.0,0.0,
1,0,0,27,single_node_silence,0.0848769286269287,0.0848769286269287,80,84,12,0.02563639669629461,0.1,0.1,0.1,0.09891224489795919,0.09991135848278705,0.0,5.598367841682128,8.199689795918369,2.6013219542362407,0.46465720506400804,21.671632653061224,267.68265306122447,246.01102040816323,11.351752973415826,0.0,0.0,0.0,,35.0,513.0,478.0,13.657142857142857,0.0,0.0,0.0,
1,0,0,28,single_node_silence,0.21005633255633263,0.21005633255633263,44,44,10,0.007028019562919473,0.1,0.1,0.1,0.09889795918367346,0.09989692846835703,0.0,5.598367841682128,8.131213626056484,2.5328457843743557,0.4524257526481714,21.671632653061224,259.2079591836735,237.53632653061226,10.960702884425235,0.0,0.0,0.0,,35.0,497.0,462.0,13.2,0.0,0.0,0.0,
