slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,6.1039393939393936,17.0,13.0,17.0,15.444444444444445,66.85636363636364,7,42,7,263,970,0.0,0.0,0.0,8.9752,17.0,8.8944,17.0,6.1039393939393936,17.0,0.0
110,6.434343434343434,19.0,14.0,17.0,16.046464646464646,70.37717171717172,9,42,9,451,1465,0.0,0.0,0.0,9.4516,19.0,9.9684,17.0,6.434343434343434,19.0,0.0
120,6.643131313131313,20.0,15.0,19.0,16.965656565656566,73.25666666666666,6,42,6,65,129,0.0,0.0,0.0,10.3792,20.0,10.2612,19.0,6.643131313131313,20.0,0.0
130,6.8373737373737375,20.0,16.0,19.0,17.434343434343436,74.40444444444445,13,45,12,62,129,0.0,0.0,0.0,10.8484,20.0,10.0736,19.0,6.8373737373737375,20.0,0.0
140,6.521616161616161,22.0,16.0,18.0,17.717171717171716,71.34252525252525,14,43,11,238,857,0.0,0.0,0.0,9.6584,22.0,10.396,21.0,6.521616161616161,22.0,0.0
150,6.476666666666667,23.0,16.0,18.0,17.785858585858588,72.5770707070707,13,53,13,408,1717,0.0,0.0,0.0,9.4928,23.0,10.6528,22.0,6.476666666666667,23.0,0.0
160,6.585656565656565,24.0,15.0,20.0,18.171717171717173,74.90919191919193,7,32,7,142,310,0.0,0.0,0.0,9.604,20.0,10.9848,24.0,6.585656565656565,24.0,0.0
170,6.546363636363636,26.0,15.0,19.01000000000022,17.957575757575757,76.82909090909091,10,41,9,347,1180,0.0,0.0,0.0,9.654,20.0,11.0736,26.0,6.546363636363636,26.0,0.0
180,6.365151515151515,20.0,16.0,20.0,17.488888888888887,76.24222222222222,8,35,8,220,706,0.0,0.0,0.0,9.4484,20.0,10.802,20.0,6.365151515151515,20.0,0.0
190,6.211111111111111,21.0,16.0,19.0,17.98787878787879,74.36636363636363,8,35,8,355,1003,0.0,0.0,0.0,9.12,21.0,10.1608,21.0,6.211111111111111,21.0,0.0
