source,version,generation_slot,completion_slot,delay,completed
24,1,0,151,151,True
42,1,0,151,151,True
50,1,0,77,77,True
82,1,0,180,180,True
84,1,0,180,180,True
85,1,0,77,77,True
92,1,0,180,180,True
14,1,1,151,150,True
40,1,1,151,150,True
48,1,1,241,240,True
80,1,1,180,179,True
96,1,1,180,179,True
5,1,2,151,149,True
9,1,2,151,149,True
31,1,2,151,149,True
49,1,2,151,149,True
60,1,2,180,178,True
73,1,2,180,178,True
75,1,2,77,75,True
89,1,2,180,178,True
94,1,2,180,178,True
3,1,3,151,148,True
14,2,3,151,148,True
16,1,3,151,148,True
48,2,3,241,238,True
59,1,3,180,177,True
63,1,3,180,177,True
75,2,3,77,74,True
96,2,3,180,177,True
7,1,4,241,237,True
24,2,4,151,147,True
30,1,4,151,147,True
33,1,4,151,147,True
65,1,4,77,73,True
13,1,5,151,146,True
40,2,5,151,146,True
50,2,5,77,72,True
52,1,5,180,175,True
68,1,5,180,175,True
78,1,5,180,175,True
6,1,6,151,145,True
16,2,6,151,145,True
25,1,6,151,145,True
28,1,6,151,145,True
32,1,6,151,145,True
40,3,6,151,145,True
56,1,6,180,174,True
65,2,6,77,71,True
69,1,6,180,174,True
80,2,6,180,174,True
82,2,6,180,174,True
92,2,6,180,174,True
94,2,6,180,174,True
96,3,6,180,174,True
4,1,7,151,144,True
8,1,7,151,144,True
18,1,7,151,144,True
29,1,7,151,144,True
59,2,7,180,173,True
80,3,7,180,173,True
83,1,7,180,173,True
87,1,7,180,173,True
0,1,8,151,143,True
17,1,8,241,233,True
27,1,8,151,143,True
43,1,8,241,233,True
54,1,8,180,172,True
62,1,8,180,172,True
78,2,8,180,172,True
87,2,8,180,172,True
0,2,9,151,142,True
4,2,9,151,142,True
15,1,9,151,142,True
29,2,9,151,142,True
32,2,9,151,142,True
44,1,9,151,142,True
67,1,9,180,171,True
68,2,9,180,171,True
72,1,9,77,68,True
78,3,9,180,171,True
91,1,9,180,171,True
98,1,9,180,171,True
7,2,10,241,231,True
14,3,10,151,141,True
16,3,10,151,141,True
30,2,10,151,141,True
35,1,10,241,231,True
40,4,10,151,141,True
50,3,10,77,67,True
59,3,10,180,170,True
62,2,10,180,170,True
70,1,10,123,113,True
80,4,10,180,170,True
93,1,10,180,170,True
14,4,11,151,140,True
44,2,11,151,140,True
67,2,11,180,169,True
76,1,11,180,169,True
80,5,11,180,169,True
2,1,12,241,229,True
17,2,12,241,229,True
21,1,12,151,139,True
24,3,12,151,139,True
75,3,12,180,168,True
