slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,6.122222222222222,17.0,13.0,17.0,15.444444444444445,67.07636363636364,7,42,7,269,982,0.0,0.0,0.0,8.9824,17.0,8.8944,17.0,6.122222222222222,17.0,0.0
110,6.451616161616162,19.0,14.0,17.0,16.046464646464646,70.59494949494949,9,42,9,441,1444,0.0,0.0,0.0,9.4672,19.0,9.9684,17.0,6.451616161616162,19.0,0.0
120,6.585555555555556,20.0,15.0,19.0,16.8989898989899,72.77080808080808,6,42,6,65,129,0.0,0.0,0.0,10.3972,20.0,9.8988,19.0,6.585555555555556,20.0,0.0
130,6.883939393939394,20.0,16.0,19.0,17.434343434343436,74.8959595959596,13,45,12,61,130,0.0,0.0,0.0,10.8736,20.0,10.0736,19.0,6.883939393939394,20.0,0.0
140,6.557474747474748,22.0,16.0,18.0,17.717171717171716,71.7560606060606,14,43,11,242,873,0.0,0.0,0.0,9.7064,22.0,10.396,21.0,6.557474747474748,22.0,0.0
150,6.515959595959596,23.0,16.0,18.0,17.785858585858588,73.02060606060606,13,53,13,405,1708,0.0,0.0,0.0,9.5536,23.0,10.6528,22.0,6.515959595959596,23.0,0.0
160,6.598787878787879,24.0,15.0,20.0,18.15959595959596,75.1480808080808,7,32,7,140,314,0.0,0.0,0.0,9.676,20.0,10.8596,24.0,6.598787878787879,24.0,0.0
170,6.504444444444444,26.0,15.0,19.01000000000022,17.89090909090909,76.59555555555555,10,41,9,336,1066,0.0,0.0,0.0,9.736,20.0,10.698,26.0,6.504444444444444,26.0,0.0
180,6.444040404040404,20.0,16.0,20.0,17.488888888888887,77.170101010101,8,35,8,217,699,0.0,0.0,0.0,9.5512,20.0,10.802,20.0,6.444040404040404,20.0,0.0
190,6.334242424242424,21.0,16.0,19.0,18.022222222222222,75.74737373737374,8,35,8,352,995,0.0,0.0,0.0,9.2512,21.0,10.2848,21.0,6.334242424242424,21.0,0.0
200,6.153535353535354,22.0,16.0,20.0,18.33131313131313,73.53737373737374,10,35,9,604,2707,0.0,0.0,0.0,9.52,22.0,8.77,21.0,6.153535353535354,22.0,0.0
210,5.223232323232323,24.0,13.0,18.0,16.01818181818182,63.43222222222222,10,50,10,680,2460,0.0,0.0,0.0,7.3856,24.0,7.554,21.0,5.223232323232323,24.0,0.0
