node,x,y,label,node_curvature,absolute_node_curvature,curvature_rank_desc,absolute_curvature_rank_desc,degree,betweenness
0,177.1954247486951,194.17635037998696,0,0.39122526778776784,0.39122526778776784,1,1,8,0.00490620490620491
1,152.25867419639195,181.2903288746465,0,0.31480130980130977,0.31480130980130977,9,9,10,0.03285514160667256
2,128.11826656332923,91.98519390612822,0,0.006369556369556433,0.006369556369556433,90,98,9,0.053236163382987395
3,71.03587574422824,211.64866145275832,0,0.28562152133580715,0.28562152133580715,12,12,7,0.00015234408658444939
4,110.2328035433443,166.17890253811765,0,-0.01005596967135424,0.01005596967135424,93,97,13,0.05163972197021062
5,56.79230015924602,165.41267291519915,0,0.17611607142857144,0.17611607142857144,56,57,8,0.002734044643225791
6,104.44740309239195,143.6997180268657,0,0.10945073445073461,0.10945073445073461,73,75,12,0.050875541832627914
7,134.86648858374966,75.69850076656866,0,0.22777777777777775,0.22777777777777775,38,38,3,0.0
8,140.91082211511673,206.89328311683852,0,0.23444762308398673,0.23444762308398673,29,29,11,0.0077132552286399555
9,108.33177349710644,92.9043545918679,0,0.16450771450771454,0.16450771450771454,61,62,10,0.01060157314558311
10,45.08546243756456,123.3971496281767,0,0.0825736763236764,0.0825736763236764,82,86,4,0.0007168876140873787
11,146.59040356854385,212.44060711688041,0,0.2659887334887336,0.2659887334887336,19,19,10,0.006348325827957988
12,115.73392500217696,189.6833514940585,0,0.05992874646720804,0.05992874646720804,83,87,13,0.04731605774596031
13,92.13055242239737,149.1624637176993,0,0.05657437800294946,0.05657437800294946,84,88,14,0.037503347948380394
14,170.05776828237413,179.3120332601169,0,0.10589133089133083,0.10589133089133083,75,77,7,0.21821612125545214
15,167.60772848345317,108.46877842190878,0,0.3388888888888889,0.3388888888888889,7,7,4,0.0
16,50.283157333602105,174.64464479267775,0,0.20121527777777778,0.20121527777777778,49,49,8,0.0021034633064245614
17,74.8265691722621,112.07292145712987,0,0.231073471982563,0.231073471982563,33,33,11,0.01050660541705099
18,88.90303798380468,130.90566125405724,0,0.1718262797808253,0.1718262797808253,58,59,11,0.007768945461706822
