slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,12.218080808080808,29.0,25.0,28.0,27.01212121212121,63.86636363636364,7,42,7,326,1887,0.0,0.0,0.0,17.9848,29.0,17.7244,29.0,12.218080808080808,29.0,0.0
110,12.945555555555556,32.0,26.0,30.0,28.757575757575758,67.02373737373738,9,42,9,522,2924,0.0,0.0,0.0,18.9384,32.0,19.8928,31.0,12.945555555555556,32.0,0.0
120,13.408282828282829,34.0,28.0,32.0,30.2,69.46343434343434,6,42,6,86,269,0.0,0.0,0.0,20.6188,34.0,20.7392,32.0,13.408282828282829,34.0,0.0
130,13.725050505050506,35.0,30.0,33.0,31.705050505050504,70.2580808080808,13,45,12,83,271,0.0,0.0,0.0,21.4424,35.0,20.3924,34.0,13.725050505050506,35.0,0.0
140,12.882222222222222,38.0,29.0,34.0,32.593939393939394,66.63929292929294,14,43,11,286,1823,0.0,0.0,0.0,18.8872,38.0,20.7872,37.0,12.882222222222222,38.0,0.0
150,12.897777777777778,39.0,29.0,37.0,32.991919191919195,67.69131313131314,13,53,13,429,3486,0.0,0.0,0.0,18.2704,39.0,21.7232,39.0,12.897777777777778,39.0,0.0
160,13.25060606060606,44.0,30.0,36.0,33.68484848484849,70.18606060606061,7,32,7,151,599,0.0,0.0,0.0,18.9544,32.0,22.21,44.0,13.25060606060606,44.0,0.0
170,13.366262626262627,47.0,31.0,35.0,33.58383838383838,72.28575757575757,10,41,9,375,2305,0.0,0.0,0.0,19.3864,33.0,22.5404,47.0,13.366262626262627,47.0,0.0
180,13.106262626262627,35.0,30.0,35.0,32.76565656565656,71.64232323232324,8,35,8,230,1415,0.0,0.0,0.0,19.1184,33.0,22.1708,35.0,13.106262626262627,35.0,0.0
190,12.583333333333334,38.0,31.0,36.0,33.723232323232324,69.56979797979798,8,35,8,406,2101,0.0,0.0,0.0,18.184,33.0,20.6912,38.0,12.583333333333334,38.0,0.0
200,12.261414141414141,40.0,30.0,36.0,33.88484848484848,67.47737373737374,10,35,9,740,5808,0.0,0.0,0.0,18.784,35.0,17.646,40.0,12.261414141414141,40.0,0.0
210,10.326262626262626,43.0,24.0,32.0,28.34949494949495,57.35656565656566,10,50,10,722,4812,0.0,0.0,0.0,14.5212,38.0,15.112,43.0,10.326262626262626,43.0,0.0
220,9.931818181818182,33.0,23.0,27.0,25.818181818181817,55.28090909090909,10,47,10,434,2138,0.0,0.0,0.0,14.1056,33.0,14.138,30.0,9.931818181818182,33.0,0.0
230,9.523232323232323,35.0,22.0,27.0,25.2020202020202,52.25888888888889,16,43,11,626,3297,0.0,0.0,0.0,13.4424,34.0,13.6768,35.0,9.523232323232323,35.0,0.0
240,9.538686868686868,35.0,22.0,25.0,25.086868686868687,51.1069696969697,11,35,10,386,2170,0.0,0.0,0.0,13.9072,35.0,12.9204,32.0,9.538686868686868,35.0,0.0
250,9.601111111111111,33.0,22.0,28.0,25.73939393939394,51.78989898989899,15,37,13,435,2368,0.0,0.0,0.0,13.528,33.0,14.1044,28.0,9.601111111111111,33.0,0.0
260,9.68979797979798,30.0,22.0,29.0,26.34141414141414,52.65929292929293,6,33,6,254,1228,0.0,0.0,0.0,12.6928,30.0,14.866,29.0,9.68979797979798,30.0,0.0
270,10.065252525252525,32.0,21.0,31.0,26.626262626262626,55.14676767676767,9,43,8,243,1217,0.0,0.0,0.0,14.3976,32.0,13.8152,32.0,10.065252525252525,32.0,0.0
280,10.793535353535354,35.0,23.0,33.0,27.47878787878788,58.18919191919192,11,36,10,204,944,0.0,0.0,0.0,15.7776,35.0,13.9472,34.0,10.793535353535354,35.0,0.0
290,10.843737373737374,36.0,23.0,33.0,27.822222222222223,58.53777777777778,8,37,7,384,2269,0.0,0.0,0.0,17.1072,36.0,12.7528,34.0,10.843737373737374,36.0,0.0
300,10.88,37.0,24.0,31.0,28.476767676767675,59.80232323232323,13,43,12,517,3145,0.0,0.0,0.0,17.7676,37.0,12.1676,36.0,10.88,37.0,0.0
310,10.89929292929293,42.0,24.0,30.0,27.977777777777778,58.85636363636364,8,36,8,347,1605,0.0,0.0,0.0,17.4452,42.0,12.1244,24.0,10.89929292929293,42.0,0.0
320,11.35020202020202,43.0,23.0,31.0,28.15959595959596,61.88565656565657,5,30,5,212,1826,0.0,0.0,0.0,17.7728,43.0,13.4948,26.0,11.35020202020202,43.0,0.0
330,11.056868686868686,32.0,23.0,27.0,25.955555555555556,61.58464646464647,10,39,8,250,1527,0.0,0.0,0.0,17.9412,32.0,14.0872,26.0,11.056868686868686,32.0,0.0
340,11.69909090909091,34.0,24.0,31.0,28.234343434343433,65.15878787878788,4,27,4,275,2039,0.0,0.0,0.0,18.7108,34.0,15.4052,29.0,11.69909090909091,34.0,0.0
350,12.393535353535354,36.0,26.0,32.0,29.626262626262626,68.53444444444445,14,41,13,238,1162,0.0,0.0,0.0,19.4208,36.0,16.95,30.0,12.393535353535354,36.0,0.0
360,12.312626262626262,40.0,27.0,35.0,31.565656565656564,67.46070707070707,13,51,13,418,2213,0.0,0.0,0.0,19.4288,40.0,17.7768,35.0,12.312626262626262,40.0,0.0
