source,version,generation_slot,completion_slot,delay,completed
24,1,0,123,123,True
40,1,0,151,151,True
42,1,0,151,151,True
48,1,0,151,151,True
50,1,0,69,69,True
65,1,0,69,69,True
72,1,0,69,69,True
80,1,0,124,124,True
82,1,0,124,124,True
84,1,0,124,124,True
85,1,0,48,48,True
92,1,0,124,124,True
8,1,1,151,150,True
14,1,1,151,150,True
22,1,1,123,122,True
29,1,1,151,150,True
34,1,1,69,68,True
36,1,1,151,150,True
40,2,1,151,150,True
48,2,1,151,150,True
50,2,1,69,68,True
55,1,1,124,123,True
68,1,1,124,123,True
72,2,1,69,68,True
80,2,1,124,123,True
96,1,1,124,123,True
3,1,2,151,149,True
5,1,2,151,149,True
9,1,2,151,149,True
11,1,2,151,149,True
13,1,2,151,149,True
27,1,2,151,149,True
31,1,2,123,121,True
33,1,2,151,149,True
36,2,2,151,149,True
37,1,2,151,149,True
40,3,2,151,149,True
48,3,2,151,149,True
49,1,2,151,149,True
60,1,2,124,122,True
61,1,2,55,53,True
64,1,2,69,67,True
72,3,2,69,67,True
73,1,2,124,122,True
75,1,2,48,46,True
80,3,2,124,122,True
89,1,2,124,122,True
94,1,2,124,122,True
3,2,3,151,148,True
8,2,3,151,148,True
14,2,3,151,148,True
16,1,3,151,148,True
21,1,3,151,148,True
26,1,3,151,148,True
37,2,3,151,148,True
40,4,3,151,148,True
42,2,3,151,148,True
48,4,3,151,148,True
52,1,3,124,121,True
59,1,3,124,121,True
63,1,3,124,121,True
65,2,3,69,66,True
71,1,3,124,121,True
75,2,3,48,45,True
82,2,3,124,121,True
93,1,3,124,121,True
96,2,3,124,121,True
5,2,4,151,147,True
7,1,4,151,147,True
10,1,4,151,147,True
12,1,4,,,False
24,2,4,123,119,True
25,1,4,123,119,True
30,1,4,123,119,True
33,2,4,151,147,True
53,1,4,219,215,True
60,2,4,124,120,True
61,2,4,69,65,True
65,3,4,69,65,True
70,1,4,69,65,True
80,4,4,124,120,True
86,1,4,124,120,True
89,2,4,124,120,True
90,1,4,124,120,True
98,1,4,124,120,True
7,2,5,151,146,True
13,2,5,151,146,True
40,5,5,151,146,True
41,1,5,151,146,True
43,1,5,123,118,True
50,3,5,69,64,True
52,2,5,124,119,True
54,1,5,124,119,True
56,1,5,124,119,True
66,1,5,124,119,True
68,2,5,124,119,True
78,1,5,124,119,True
79,1,5,69,64,True
83,1,5,124,119,True
91,1,5,124,119,True
0,1,6,151,145,True
4,1,6,151,145,True
6,1,6,151,145,True
15,1,6,123,117,True
16,2,6,151,145,True
17,1,6,151,145,True
25,2,6,123,117,True
28,1,6,123,117,True
32,1,6,151,145,True
33,3,6,151,145,True
36,3,6,151,145,True
40,6,6,151,145,True
47,1,6,151,145,True
52,3,6,124,118,True
56,2,6,124,118,True
65,4,6,69,63,True
69,1,6,124,118,True
80,5,6,124,118,True
82,3,6,124,118,True
87,1,6,124,118,True
88,1,6,124,118,True
89,3,6,124,118,True
90,2,6,124,118,True
92,2,6,124,118,True
94,2,6,124,118,True
95,1,6,124,118,True
96,3,6,124,118,True
97,1,6,124,118,True
98,2,6,124,118,True
4,2,7,151,144,True
8,3,7,151,144,True
12,2,7,,,False
14,3,7,151,144,True
18,1,7,151,144,True
24,3,7,123,116,True
29,2,7,151,144,True
32,2,7,151,144,True
44,1,7,151,144,True
52,4,7,124,117,True
59,2,7,124,117,True
80,6,7,124,117,True
83,2,7,124,117,True
87,2,7,124,117,True
88,2,7,124,117,True
91,2,7,124,117,True
0,2,8,151,143,True
4,3,8,151,143,True
17,2,8,151,143,True
26,2,8,151,143,True
27,2,8,151,143,True
37,3,8,151,143,True
41,2,8,151,143,True
43,2,8,151,143,True
54,2,8,124,116,True
62,1,8,124,116,True
67,1,8,124,116,True
78,2,8,124,116,True
80,7,8,124,116,True
81,1,8,124,116,True
85,2,8,124,116,True
86,2,8,124,116,True
87,3,8,124,116,True
0,3,9,151,142,True
4,4,9,151,142,True
15,2,9,123,114,True
29,3,9,151,142,True
32,3,9,151,142,True
38,1,9,151,142,True
44,2,9,151,142,True
48,5,9,151,142,True
54,3,9,124,115,True
57,1,9,69,60,True
67,2,9,124,115,True
68,3,9,124,115,True
71,2,9,124,115,True
72,4,9,69,60,True
78,3,9,124,115,True
91,3,9,124,115,True
98,3,9,124,115,True
1,1,10,151,141,True
6,2,10,151,141,True
7,3,10,151,141,True
14,4,10,151,141,True
16,3,10,151,141,True
21,2,10,151,141,True
25,3,10,151,141,True
30,2,10,123,113,True
32,4,10,151,141,True
35,1,10,123,113,True
37,4,10,151,141,True
40,7,10,151,141,True
49,2,10,151,141,True
50,4,10,69,59,True
56,3,10,124,114,True
59,3,10,124,114,True
62,2,10,124,114,True
68,4,10,124,114,True
70,2,10,123,113,True
80,8,10,124,114,True
88,3,10,124,114,True
90,3,10,124,114,True
93,2,10,124,114,True
13,3,11,151,140,True
14,5,11,151,140,True
22,2,11,151,140,True
35,2,11,123,112,True
38,2,11,151,140,True
40,8,11,151,140,True
44,3,11,151,140,True
58,1,11,124,113,True
67,3,11,124,113,True
76,1,11,124,113,True
78,4,11,124,113,True
79,2,11,69,58,True
80,9,11,124,113,True
82,4,11,124,113,True
2,1,12,151,139,True
17,3,12,151,139,True
21,3,12,151,139,True
24,4,12,151,139,True
43,3,12,151,139,True
44,4,12,151,139,True
63,2,12,124,112,True
67,4,12,124,112,True
75,3,12,124,112,True
79,3,12,69,57,True
1,2,13,151,138,True
3,3,13,151,138,True
10,2,13,151,138,True
13,4,13,151,138,True
15,3,13,123,110,True
19,1,13,151,138,True
22,3,13,151,138,True
24,5,13,151,138,True
25,4,13,151,138,True
27,3,13,151,138,True
30,3,13,123,110,True
33,4,13,151,138,True
37,5,13,151,138,True
43,4,13,151,138,True
45,1,13,123,110,True
46,1,13,151,138,True
48,6,13,151,138,True
53,2,13,219,206,True
56,4,13,124,111,True
57,2,13,69,56,True
59,4,13,124,111,True
61,3,13,69,56,True
68,5,13,124,111,True
73,2,13,124,111,True
83,3,13,124,111,True
94,3,13,124,111,True
97,2,13,124,111,True
6,3,14,151,137,True
16,4,14,151,137,True
32,5,14,151,137,True
40,9,14,151,137,True
41,3,14,151,137,True
42,3,14,151,137,True
44,5,14,151,137,True
49,3,14,151,137,True
50,5,14,124,110,True
58,2,14,124,110,True
70,3,14,123,109,True
73,3,14,124,110,True
74,1,14,124,110,True
77,1,14,124,110,True
81,2,14,124,110,True
87,4,14,124,110,True
93,3,14,124,110,True
97,3,14,124,110,True
2,2,15,151,136,True
13,5,15,151,136,True
16,5,15,151,136,True
18,2,15,151,136,True
31,2,15,151,136,True
33,5,15,151,136,True
36,4,15,151,136,True
52,5,15,124,109,True
58,3,15,124,109,True
62,3,15,124,109,True
63,3,15,124,109,True
65,5,15,69,54,True
67,5,15,124,109,True
73,4,15,124,109,True
80,10,15,124,109,True
88,4,15,124,109,True
92,3,15,124,109,True
98,4,15,124,109,True
4,5,16,151,135,True
5,3,16,151,135,True
7,4,16,151,135,True
27,4,16,151,135,True
28,2,16,151,135,True
30,4,16,123,107,True
33,6,16,151,135,True
36,5,16,151,135,True
38,3,16,151,135,True
47,2,16,151,135,True
50,6,16,124,108,True
53,3,16,219,203,True
56,5,16,124,108,True
58,4,16,124,108,True
63,4,16,124,108,True
68,6,16,124,108,True
78,5,16,124,108,True
92,4,16,124,108,True
93,4,16,124,108,True
0,4,17,151,134,True
7,5,17,151,134,True
10,3,17,151,134,True
14,6,17,151,134,True
18,3,17,151,134,True
27,5,17,151,134,True
33,7,17,151,134,True
40,10,17,151,134,True
46,2,17,151,134,True
54,4,17,124,107,True
55,2,17,124,107,True
58,5,17,124,107,True
81,3,17,124,107,True
88,5,17,124,107,True
93,5,17,124,107,True
98,5,17,124,107,True
99,1,17,124,107,True
3,4,18,151,133,True
24,6,18,151,133,True
25,5,18,151,133,True
28,3,18,151,133,True
30,5,18,123,105,True
41,4,18,151,133,True
47,3,18,151,133,True
48,7,18,151,133,True
49,4,18,151,133,True
50,7,18,124,106,True
51,1,18,124,106,True
54,5,18,124,106,True
64,2,18,69,51,True
76,2,18,124,106,True
88,6,18,124,106,True
89,4,18,124,106,True
93,6,18,124,106,True
94,4,18,124,106,True
1,3,19,151,132,True
4,6,19,151,132,True
11,2,19,151,132,True
13,6,19,151,132,True
16,6,19,151,132,True
18,4,19,151,132,True
20,1,19,123,104,True
22,4,19,151,132,True
28,4,19,151,132,True
