slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,12.865151515151515,29.0,25.0,28.0,27.404040404040405,67.17828282828283,7,42,7,241,1587,0.0,0.0,0.0,18.9764,29.0,19.1428,29.0,12.865151515151515,29.0,0.0
110,13.696767676767676,32.0,27.0,30.0,29.24848484848485,70.89909090909092,9,42,9,481,2788,0.0,0.0,0.0,20.2352,32.0,21.3228,31.0,13.696767676767676,32.0,0.0
120,14.25,34.0,29.0,32.0,30.80808080808081,73.82141414141414,6,42,6,106,452,0.0,0.0,0.0,22.052,34.0,22.24,32.0,14.25,34.0,0.0
130,14.775151515151515,35.0,30.0,34.0,32.345454545454544,75.73565656565657,13,45,12,103,435,0.0,0.0,0.0,23.3624,35.0,22.096,34.0,14.775151515151515,35.0,0.0
140,14.73010101010101,38.0,31.0,35.0,33.72525252525252,76.2220202020202,14,43,11,265,1212,0.0,0.0,0.0,23.0864,38.0,22.612,37.0,14.73010101010101,38.0,0.0
150,14.912424242424242,40.0,32.0,38.0,35.26868686868687,78.27333333333333,13,53,13,426,3088,0.0,0.0,0.0,23.76,40.0,23.604,39.0,14.912424242424242,40.0,0.0
160,15.53959595959596,44.0,33.0,39.0,37.086868686868684,82.15656565656566,7,32,7,108,352,0.0,0.0,0.0,25.5284,39.0,24.154,44.0,15.53959595959596,44.0,0.0
170,15.836161616161617,47.0,34.0,40.0,37.28484848484848,85.1319191919192,10,41,9,372,2350,0.0,0.0,0.0,26.9484,40.0,24.206,47.0,15.836161616161617,47.0,0.0
180,16.0920202020202,42.0,35.0,40.0,37.527272727272724,86.95535353535354,8,35,8,258,1866,0.0,0.0,0.0,28.2032,42.0,24.35,38.0,16.0920202020202,42.0,0.0
190,15.696060606060605,45.0,36.0,41.0,39.18787878787879,85.38363636363637,8,35,8,447,4809,0.0,0.0,0.0,27.2088,45.0,23.3444,40.0,15.696060606060605,45.0,0.0
200,15.801414141414142,48.0,38.0,44.0,40.81010101010101,85.15030303030304,9,36,9,589,4173,0.0,0.0,0.0,27.8812,48.0,22.0144,43.0,15.801414141414142,48.0,0.0
210,14.143131313131313,51.0,39.0,46.0,41.55959595959596,76.31888888888889,10,50,10,725,7995,0.0,0.0,0.0,24.972,51.0,19.136,46.0,14.143131313131313,51.0,0.0
220,12.613434343434344,53.0,39.04999999999927,44.0,42.55555555555556,68.85141414141414,10,47,10,474,2757,0.0,0.0,0.0,23.0988,53.0,15.1072,41.0,12.613434343434344,53.0,0.0
230,10.68878787878788,55.0,26.0,43.0,37.88686868686869,58.30838383838384,16,43,11,734,4833,0.0,0.0,0.0,16.3356,55.0,14.592,43.0,10.68878787878788,55.0,0.0
240,10.404040404040405,56.0,25.0,46.0,31.814141414141414,55.681717171717175,11,35,10,391,3129,0.0,0.0,0.0,15.2216,56.0,14.0316,46.0,10.404040404040405,56.0,0.0
250,9.969393939393939,49.0,25.0,33.16000000000349,31.105050505050507,53.71606060606061,14,37,14,466,2576,0.0,0.0,0.0,13.4792,33.0,15.12,49.0,9.969393939393939,49.0,0.0
260,10.647171717171718,50.0,26.0,30.200000000004366,32.39191919191919,57.474141414141414,6,33,6,214,914,0.0,0.0,0.0,13.9856,30.0,16.8056,50.0,10.647171717171718,50.0,0.0
270,11.60030303030303,50.0,27.0,32.18000000000393,33.99393939393939,62.73969696969697,9,43,8,186,784,0.0,0.0,0.0,15.9656,32.0,17.5364,50.0,11.60030303030303,50.0,0.0
280,12.861919191919192,51.0,28.099999999998545,35.16000000000349,36.018181818181816,68.39818181818181,11,36,10,152,581,0.0,0.0,0.0,18.0528,35.0,18.956,51.0,12.861919191919192,51.0,0.0
290,13.018585858585858,54.0,28.0,36.18000000000393,37.096969696969694,69.26080808080808,8,37,7,349,1906,0.0,0.0,0.0,20.0088,36.0,17.4508,54.0,13.018585858585858,54.0,0.0
300,13.1010101010101,56.0,27.0,37.19000000000415,37.33737373737374,70.80393939393939,12,42,11,298,1793,0.0,0.0,0.0,21.2224,37.0,16.0736,56.0,13.1010101010101,56.0,0.0
310,13.928282828282828,59.0,29.0,42.17000000000371,39.3979797979798,73.91161616161617,8,36,8,495,2624,0.0,0.0,0.0,23.1956,42.0,16.3452,59.0,13.928282828282828,59.0,0.0
320,14.478787878787879,61.0,31.0,43.18000000000393,41.193939393939395,77.4339393939394,5,30,5,144,974,0.0,0.0,0.0,25.0028,43.0,16.8728,61.0,14.478787878787879,61.0,0.0
330,14.432828282828282,63.0,33.0,46.17000000000371,42.97575757575758,78.38,10,39,8,194,1322,0.0,0.0,0.0,26.7108,46.0,17.3,63.0,14.432828282828282,63.0,0.0
340,14.783333333333333,66.0,35.0,47.19000000000415,44.84444444444444,80.5349494949495,4,27,4,261,3602,0.0,0.0,0.0,26.3256,47.0,18.9672,66.0,14.783333333333333,66.0,0.0
350,15.25070707070707,71.0,36.0,48.23000000000502,46.535353535353536,82.79979797979799,14,41,13,238,1079,0.0,0.0,0.0,26.1188,48.0,20.8088,71.0,15.25070707070707,71.0,0.0
360,15.308686868686868,73.0,37.0,52.210000000004584,47.561616161616165,82.49757575757576,12,47,12,283,1877,0.0,0.0,0.0,25.0908,52.0,22.6696,73.0,15.308686868686868,73.0,0.0
370,14.205656565656566,74.0,33.0,55.19000000000415,45.173737373737374,76.9459595959596,12,47,12,398,3652,0.0,0.0,0.0,18.9208,55.0,24.6064,74.0,14.205656565656566,74.0,0.0
380,14.77909090909091,76.0,32.0,56.200000000004366,46.04040404040404,79.94747474747474,19,48,17,371,1791,0.0,0.0,0.0,18.9,56.0,26.4832,76.0,14.77909090909091,76.0,0.0
390,15.044949494949496,77.0,35.0,48.29000000000633,47.21818181818182,81.73131313131313,12,42,11,317,1467,0.0,0.0,0.0,17.6724,44.0,28.42,77.0,15.044949494949496,77.0,0.0
400,15.796060606060607,77.0,37.0,49.28000000000611,48.2969696969697,85.1240404040404,7,35,7,261,2461,0.0,0.0,0.0,19.4512,44.0,29.7884,77.0,15.796060606060607,77.0,0.0
410,14.98868686868687,78.0,37.0,51.27000000000589,49.05656565656566,81.4749494949495,10,50,9,536,4996,0.0,0.0,0.0,17.9688,46.0,29.2704,78.0,14.98868686868687,78.0,0.0
420,14.634949494949495,81.0,38.0,53.28000000000611,50.31717171717172,80.36585858585859,3,22,3,56,305,0.0,0.0,0.0,16.5184,38.0,29.164,81.0,14.634949494949495,81.0,0.0
430,14.133636363636363,82.0,37.0,54.28000000000611,50.93737373737374,77.42090909090909,8,45,8,438,7110,0.0,0.0,0.0,17.5664,31.0,25.0616,82.0,14.133636363636363,82.0,0.0
440,14.396363636363636,83.0,38.0,55.28000000000611,51.44444444444444,78.85050505050505,11,28,11,232,1881,0.0,0.0,0.0,19.5192,34.0,24.292,83.0,14.396363636363636,83.0,0.0
450,14.655959595959596,85.0,36.0,57.28000000000611,50.842424242424244,78.40070707070707,13,38,12,327,3125,0.0,0.0,0.0,21.6104,36.0,22.8792,85.0,14.655959595959596,85.0,0.0
460,14.562929292929294,85.0,31.0,60.25000000000546,47.52121212121212,77.16828282828283,17,46,15,336,3503,0.0,0.0,0.0,23.1392,37.0,21.0904,85.0,14.562929292929294,85.0,0.0
470,15.296969696969697,88.0,33.0,60.28000000000611,48.05252525252525,79.57888888888888,7,44,7,225,1041,0.0,0.0,0.0,25.3992,41.0,22.4272,88.0,15.296969696969697,88.0,0.0
480,16.073434343434343,92.0,34.0,62.30000000000655,50.25050505050505,83.46737373737373,12,43,11,551,4547,0.0,0.0,0.0,26.9896,44.0,23.5752,92.0,16.073434343434343,92.0,0.0
490,15.75161616161616,96.0,35.0,46.500000000010914,50.084848484848486,81.71070707070707,12,39,11,510,4231,0.0,0.0,0.0,25.5284,46.0,24.136,96.0,15.75161616161616,96.0,0.0
500,15.854141414141415,99.0,36.0,48.51000000001113,51.193939393939395,81.87777777777778,9,46,8,494,4226,0.0,0.0,0.0,24.1076,48.0,25.7,99.0,15.854141414141415,99.0,0.0
510,15.526060606060605,101.0,34.0,50.51000000001113,50.01616161616162,79.73212121212121,8,47,8,297,1922,0.0,0.0,0.0,21.7184,50.0,25.96,101.0,15.526060606060605,101.0,0.0
520,15.564444444444444,104.0,35.0,51.53000000001157,51.29494949494949,80.44414141414141,15,44,13,384,2906,0.0,0.0,0.0,23.332,51.0,25.672,104.0,15.564444444444444,104.0,0.0
530,15.851414141414141,106.0,34.0,44.62000000001353,50.925252525252525,81.75262626262626,9,43,9,297,1650,0.0,0.0,0.0,23.9704,39.0,25.4808,106.0,15.851414141414141,106.0,0.0
540,16.482727272727274,109.0,35.0,47.62000000001353,52.42020202020202,85.38272727272727,7,21,7,96,359,0.0,0.0,0.0,25.4288,39.0,25.1136,109.0,16.482727272727274,109.0,0.0
550,16.982828282828283,110.0,37.0,48.62000000001353,53.81010101010101,87.31090909090909,14,45,13,143,496,0.0,0.0,0.0,27.1636,42.0,26.1,110.0,16.982828282828283,110.0,0.0
560,17.952626262626264,112.0,39.0,50.62000000001353,55.64242424242424,92.56626262626263,14,59,14,175,567,0.0,0.0,0.0,27.9648,43.0,28.24,112.0,17.952626262626264,112.0,0.0
570,17.656262626262627,115.0,39.0,46.69000000001506,56.654545454545456,91.68030303030304,13,52,13,386,3111,0.0,0.0,0.0,25.9336,46.0,28.8488,115.0,17.656262626262627,115.0,0.0
580,16.95939393939394,117.0,38.0,48.69000000001506,56.92727272727273,88.80444444444444,12,41,12,233,1375,0.0,0.0,0.0,22.5172,48.0,29.7832,117.0,16.95939393939394,117.0,0.0
590,16.834242424242426,119.0,38.0,47.720000000015716,57.438383838383835,88.4170707070707,15,46,14,291,1582,0.0,0.0,0.0,20.2656,41.0,31.416,119.0,16.834242424242426,119.0,0.0
600,16.38222222222222,120.0,39.04999999999927,49.7100000000155,58.92727272727273,86.27949494949495,12,53,12,462,3379,0.0,0.0,0.0,18.4348,43.0,31.0288,120.0,16.38222222222222,120.0,0.0
610,14.541717171717172,123.0,40.0,52.7100000000155,60.04646464646465,77.44919191919192,8,42,8,188,826,0.0,0.0,0.0,16.6524,47.0,26.4528,123.0,14.541717171717172,123.0,0.0
