slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,3.284141414141414,10.0,8.0,9.0,8.755555555555556,74.86434343434344,7,48,7,259,606,0.0,0.0,0.0,4.7832,10.0,4.898,9.0,3.284141414141414,10.0,0.0
110,3.2572727272727273,11.0,8.0,10.0,9.16161616161616,76.16979797979798,9,52,9,255,578,0.0,0.0,0.0,4.472,11.0,5.4296,10.0,3.2572727272727273,11.0,0.0
120,3.3958585858585857,12.0,9.0,11.0,9.787878787878787,79.82454545454546,6,48,6,124,218,0.0,0.0,0.0,4.8832,12.0,5.7584,11.0,3.3958585858585857,12.0,0.0
130,3.633131313131313,13.0,9.0,12.0,10.468686868686868,83.33030303030303,13,49,12,55,93,0.0,0.0,0.0,5.008,13.0,6.1864,12.0,3.633131313131313,13.0,0.0
140,3.8798989898989897,14.0,9.0,11.0,10.731313131313131,87.42222222222222,14,37,12,81,141,0.0,0.0,0.0,5.0584,14.0,6.756,13.0,3.8798989898989897,14.0,0.0
150,3.874747474747475,14.0,9.0,11.0,10.567676767676767,89.82585858585858,13,55,12,245,714,0.0,0.0,0.0,4.924,14.0,6.9544,13.0,3.874747474747475,14.0,0.0
160,3.9472727272727273,14.0,9.0,12.0,10.929292929292929,94.05545454545455,7,35,7,193,421,0.0,0.0,0.0,4.912,14.0,7.1216,13.0,3.9472727272727273,14.0,0.0
170,3.7384848484848483,13.0,10.0,12.0,10.965656565656566,92.2820202020202,10,54,10,395,793,0.0,0.0,0.0,4.6232,10.0,6.8152,13.0,3.7384848484848483,13.0,0.0
180,3.47989898989899,14.0,9.0,11.010000000000218,10.393939393939394,90.32444444444444,8,42,8,339,995,0.0,0.0,0.0,4.7288,12.0,6.2728,14.0,3.47989898989899,14.0,0.0
190,3.5387878787878786,13.0,9.0,12.0,10.848484848484848,91.97464646464647,8,42,8,185,373,0.0,0.0,0.0,4.946,13.0,6.3992,13.0,3.5387878787878786,13.0,0.0
200,3.498787878787879,14.0,10.0,12.0,10.868686868686869,90.54151515151516,10,34,9,552,1360,0.0,0.0,0.0,4.83,13.0,5.9824,14.0,3.498787878787879,14.0,0.0
210,3.3653535353535355,14.0,9.0,12.0,10.907070707070707,87.77242424242424,10,58,10,596,1455,0.0,0.0,0.0,4.3524,13.0,6.0952,14.0,3.3653535353535355,14.0,0.0
220,3.2461616161616162,14.0,9.0,13.0,10.991919191919193,85.32757575757576,10,52,10,138,238,0.0,0.0,0.0,4.1232,14.0,6.0568,14.0,3.2461616161616162,14.0,0.0
230,3.013030303030303,15.0,8.0,11.0,10.341414141414141,81.39050505050506,16,39,11,455,1145,0.0,0.0,0.0,3.5076,12.0,5.8048,15.0,3.013030303030303,15.0,0.0
240,3.076868686868687,12.0,8.0,11.0,10.064646464646465,81.17030303030303,11,35,7,155,243,0.0,0.0,0.0,3.4304,9.0,5.9752,12.0,3.076868686868687,12.0,0.0
250,3.118888888888889,13.0,9.0,11.010000000000218,10.507070707070707,82.50888888888889,15,32,13,207,355,0.0,0.0,0.0,3.3868,10.0,6.3552,13.0,3.118888888888889,13.0,0.0
260,3.0645454545454545,14.0,9.0,13.0,10.57979797979798,81.80383838383838,6,41,6,468,1216,0.0,0.0,0.0,3.4784,12.0,5.8376,14.0,3.0645454545454545,14.0,0.0
270,2.858989898989899,14.0,8.0,11.0,10.202020202020202,79.27353535353535,9,51,8,394,1426,0.0,0.0,0.0,3.5772,13.0,5.036,14.0,2.858989898989899,14.0,0.0
280,2.7812121212121212,14.0,7.0,10.0,8.672727272727272,76.11878787878788,11,38,11,227,961,0.0,0.0,0.0,3.9568,9.0,3.7216,14.0,2.7812121212121212,14.0,0.0
290,2.667070707070707,9.0,7.0,9.0,7.874747474747474,73.78818181818181,8,47,8,203,372,0.0,0.0,0.0,4.1264,9.0,3.2916,9.0,2.667070707070707,9.0,0.0
300,2.723939393939394,10.0,7.0,9.0,8.143434343434343,74.9669696969697,13,51,11,398,829,0.0,0.0,0.0,4.0228,10.0,3.5892,9.0,2.723939393939394,10.0,0.0
310,2.4546464646464647,11.0,6.0,9.0,7.646464646464646,67.77575757575758,8,41,8,517,1198,0.0,0.0,0.0,3.3972,11.0,3.3772,10.0,2.4546464646464647,11.0,0.0
320,2.662929292929293,11.0,7.0,9.0,7.870707070707071,71.3789898989899,5,38,5,138,231,0.0,0.0,0.0,3.76,11.0,3.5784,10.0,2.662929292929293,11.0,0.0
330,2.7786868686868686,11.0,7.0,9.0,8.098989898989899,74.24656565656565,10,42,9,102,194,0.0,0.0,0.0,4.16,11.0,3.686,10.0,2.7786868686868686,11.0,0.0
340,2.991212121212121,13.0,7.0,9.0,8.797979797979798,77.3779797979798,4,31,4,140,233,0.0,0.0,0.0,4.5,13.0,4.0648,10.0,2.991212121212121,13.0,0.0
