source,version,generation_slot,completion_slot,delay,completed
82,1,0,188,188,True
40,1,1,150,149,True
48,1,1,150,149,True
80,1,1,188,187,True
96,1,1,188,187,True
5,1,2,150,148,True
49,1,2,150,148,True
60,1,2,188,186,True
89,1,2,188,186,True
3,1,3,150,147,True
14,1,3,150,147,True
16,1,3,150,147,True
59,1,3,188,185,True
7,1,4,150,146,True
24,1,4,150,146,True
40,2,5,150,145,True
50,1,5,188,183,True
52,1,5,188,183,True
68,1,5,188,183,True
78,1,5,188,183,True
28,1,6,150,144,True
32,1,6,150,144,True
40,3,6,150,144,True
69,1,6,188,182,True
80,2,6,188,182,True
92,1,6,188,182,True
94,1,6,188,182,True
96,2,6,188,182,True
4,1,7,150,143,True
18,1,7,150,143,True
29,1,7,150,143,True
80,3,7,188,181,True
83,1,7,188,181,True
0,1,8,150,142,True
78,2,8,188,180,True
87,1,8,188,180,True
4,2,9,150,141,True
15,1,9,110,101,True
29,2,9,150,141,True
44,1,9,150,141,True
67,1,9,188,179,True
72,1,9,188,179,True
78,3,9,188,179,True
91,1,9,188,179,True
98,1,9,188,179,True
16,2,10,150,140,True
30,1,10,150,140,True
35,1,10,150,140,True
50,2,10,188,178,True
62,1,10,188,178,True
80,4,10,188,178,True
44,2,11,150,139,True
67,2,11,188,177,True
76,1,11,188,177,True
80,5,11,188,177,True
2,1,12,150,138,True
15,2,13,110,97,True
24,2,13,150,137,True
25,1,13,150,137,True
27,1,13,150,137,True
37,1,13,150,137,True
56,1,13,188,175,True
61,1,13,63,50,True
40,4,14,150,136,True
41,1,14,150,136,True
49,2,14,150,136,True
81,1,14,188,174,True
87,2,14,188,174,True
93,1,14,188,174,True
2,2,15,150,135,True
33,1,15,150,135,True
65,1,15,188,173,True
73,1,15,188,173,True
88,1,15,188,173,True
27,2,16,150,134,True
36,1,16,150,134,True
68,2,16,188,172,True
0,2,17,150,133,True
46,1,17,150,133,True
88,2,17,188,171,True
99,1,17,188,171,True
28,2,18,150,132,True
30,2,18,150,132,True
41,2,18,150,132,True
48,2,18,150,132,True
64,1,18,188,170,True
76,2,18,188,170,True
88,3,18,188,170,True
18,2,19,150,131,True
22,1,19,150,131,True
76,3,19,188,169,True
78,4,19,188,169,True
82,2,19,188,169,True
12,1,20,150,130,True
48,3,20,150,130,True
86,1,20,188,168,True
90,1,20,188,168,True
21,1,21,150,129,True
91,2,21,188,167,True
92,2,21,188,167,True
38,1,22,150,128,True
39,1,22,150,128,True
94,2,22,188,166,True
17,1,23,150,127,True
24,3,23,150,127,True
53,1,23,237,214,True
76,4,23,188,165,True
8,1,24,150,126,True
29,3,24,150,126,True
71,1,24,188,164,True
84,1,24,188,164,True
87,3,24,188,164,True
90,2,24,188,164,True
91,3,24,188,164,True
21,2,25,150,125,True
23,1,25,150,125,True
33,2,25,150,125,True
82,3,25,188,163,True
7,2,26,150,124,True
12,2,26,150,124,True
17,2,26,150,124,True
24,4,26,150,124,True
28,3,26,150,124,True
60,2,26,188,162,True
17,3,27,150,123,True
60,3,27,188,161,True
63,1,27,188,161,True
79,1,27,188,161,True
1,1,28,150,122,True
14,2,28,150,122,True
0,3,29,150,121,True
23,2,29,150,121,True
14,3,30,150,120,True
16,3,30,150,120,True
17,4,30,150,120,True
29,4,30,150,120,True
30,3,30,150,120,True
55,1,30,188,158,True
80,6,30,188,158,True
93,2,30,237,207,True
21,3,31,150,119,True
24,5,31,150,119,True
45,1,31,150,119,True
52,2,31,188,157,True
18,3,32,150,118,True
22,2,32,150,118,True
46,2,32,150,118,True
73,2,32,188,156,True
75,1,32,188,156,True
83,2,32,188,156,True
12,3,33,150,117,True
23,3,33,150,117,True
21,4,34,150,116,True
26,1,34,150,116,True
58,1,34,188,154,True
64,2,34,188,154,True
78,5,34,237,203,True
86,2,34,188,154,True
90,3,34,188,154,True
14,4,35,150,115,True
19,1,35,150,115,True
22,3,35,150,115,True
23,4,35,150,115,True
55,2,35,188,153,True
78,6,35,237,202,True
25,2,36,150,114,True
28,4,36,150,114,True
53,2,36,237,201,True
57,1,36,188,152,True
81,2,36,188,152,True
88,4,36,237,201,True
91,4,36,188,152,True
34,1,37,150,113,True
36,2,37,150,113,True
63,2,37,188,151,True
78,7,37,237,200,True
2,3,38,150,112,True
3,2,38,150,112,True
51,1,38,188,150,True
56,2,38,237,199,True
68,3,38,188,150,True
1,2,39,150,111,True
96,3,39,237,198,True
98,2,39,188,149,True
11,1,40,150,110,True
56,3,40,237,197,True
4,3,41,150,109,True
16,4,41,150,109,True
30,4,41,150,109,True
49,3,41,150,109,True
53,3,41,237,196,True
56,4,41,237,196,True
58,2,41,188,147,True
79,2,41,188,147,True
1,3,42,150,108,True
31,1,42,150,108,True
34,2,42,150,108,True
7,3,43,150,107,True
29,5,43,221,178,True
30,5,43,150,107,True
46,3,43,150,107,True
63,3,43,237,194,True
64,3,43,188,145,True
74,1,43,237,194,True
88,5,43,237,194,True
94,3,43,237,194,True
23,5,44,221,177,True
27,3,44,150,106,True
36,3,44,221,177,True
40,5,44,150,106,True
48,4,44,221,177,True
70,1,44,188,144,True
74,2,44,237,193,True
9,1,45,221,176,True
44,3,45,221,176,True
54,1,45,,,False
58,3,45,237,192,True
72,2,45,188,143,True
74,3,45,237,192,True
84,2,45,188,143,True
5,2,46,150,104,True
21,5,46,150,104,True
29,6,46,221,175,True
49,4,46,150,104,True
