topology_seed,node,node_min_curvature,min_edge_node_i,min_edge_node_j,degree
1,0,0.27884615384615385,0,47,8
1,1,-0.12307692307692308,1,12,10
1,2,-0.19444444444444442,2,34,9
1,3,0.1785714285714286,3,36,7
1,4,-0.23076923076923084,4,47,13
1,5,-0.0535714285714286,5,13,8
1,6,-0.18055555555555536,6,35,12
1,7,0.11666666666666659,7,9,3
1,8,-0.08712121212121215,8,23,11
1,9,-0.042857142857142705,9,31,10
1,10,-0.125,10,39,4
1,11,-0.09999999999999987,11,44,10
1,12,-0.12307692307692308,1,12,13
1,13,-0.14285714285714324,13,42,14
1,14,-0.6571428571428575,14,57,7
1,15,0.18055555555555558,15,35,4
1,16,0.0,16,27,8
1,17,0.0357142857142857,17,31,11
1,18,-0.10227272727272729,18,24,11
1,19,2.220446049250313e-16,19,25,5
1,20,-0.6333333333333333,20,61,5
1,21,0.07070707070707094,21,49,9
1,22,-0.05448717948717907,22,27,13
1,23,-0.11858974358974361,23,47,12
1,24,-0.21969696969696995,24,49,12
1,25,-0.13888888888888862,25,35,14
1,26,-0.09090909090909083,26,49,11
1,27,-0.05448717948717907,22,27,12
1,28,-0.03888888888888875,2,28,10
1,29,0.27884615384615397,29,47,8
1,30,-0.5085470085470083,30,47,9
1,31,-0.19841269841269815,31,35,14
1,32,-0.02857142857142847,32,44,10
1,33,0.07070707070707061,33,49,9
1,34,-0.19444444444444442,2,34,6
1,35,-0.19841269841269815,31,35,9
1,36,-0.125,36,39,8
1,37,0.11616161616161635,26,37,9
1,38,-0.11965811965811968,2,38,13
1,39,-0.125,10,39,8
1,40,0.1607142857142858,10,40,7
1,41,0.05555555555555558,12,41,9
1,42,-0.14285714285714324,13,42,15
1,43,-0.023809523809523503,13,43,12
1,44,-0.09999999999999987,11,44,7
1,45,-0.1944444444444442,2,45,6
1,46,-0.14285714285714324,13,46,15
1,47,-0.5085470085470083,30,47,13
1,48,0.19999999999999996,9,48,6
1,49,-0.21969696969696995,24,49,11
1,50,0.04166666666666663,50,72,6
1,51,-0.02083333333333348,51,83,6
1,52,0.033333333333333326,52,96,15
1,53,0.1875,53,83,4
1,54,-0.20138888888888906,54,85,16
1,55,0.1875,55,83,4
1,56,-0.5520833333333335,56,79,16
1,57,-0.6571428571428575,14,57,5
1,58,-0.01388888888888884,58,85,8
1,59,0.07222222222222197,59,78,18
1,60,0.07948717948717965,60,62,13
1,61,-0.6333333333333333,20,61,6
1,62,-0.11666666666666647,62,97,15
1,63,-0.5,63,96,6
1,64,-0.2589285714285712,64,98,8
1,65,0.0625,64,65,8
1,66,-0.13636363636363602,66,91,6
1,67,-0.3668831168831168,67,91,14
1,68,-0.13750000000000018,68,97,8
1,69,0.09926470588235281,54,69,17
1,70,-0.2589285714285714,70,98,8
1,71,0.10855263157894757,71,77,8
1,72,0.04166666666666663,50,72,8
1,73,-0.08333333333333348,73,85,6
1,74,0.07948717948717987,62,74,13
1,75,-0.08888888888888902,75,85,10
1,76,-0.10000000000000031,76,85,5
1,77,0.06250000000000022,58,77,19
1,78,0.07222222222222197,59,78,10
1,79,-0.5520833333333335,56,79,9
1,80,-0.17222222222222205,80,97,9
1,81,0.039215686274509776,81,87,17
1,82,-0.08333333333333304,66,82,7
1,83,-0.1041666666666663,80,83,8
1,84,-0.03181818181818197,84,97,11
1,85,-0.22222222222222232,85,86,9
1,86,-0.22222222222222232,85,86,9
1,87,-0.05555555555555558,85,87,9
1,88,-0.08333333333333326,88,89,3
1,89,-0.08333333333333326,88,89,8
1,90,-0.4500000000000004,63,90,15
1,91,-0.36688311688311703,91,92,11
1,92,-0.36688311688311703,91,92,14
1,93,0.14215686274509787,69,93,6
1,94,0.08333333333333337,91,94,6
1,95,0.0,95,98,4
1,96,-0.5,63,96,6
1,97,-0.3142857142857143,97,98,10
1,98,-0.3142857142857143,97,98,7
1,99,0.04999999999999993,75,99,16
