slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,11.39050505050505,29.0,25.0,28.0,27.036363636363635,60.052727272727275,7,51,7,450,2559,0.0,0.0,0.0,18.0564,29.0,16.938,29.0,11.39050505050505,29.0,0.0
110,11.105656565656565,32.0,25.0,30.0,28.17979797979798,58.357979797979795,9,58,9,754,4643,0.0,0.0,0.0,16.3244,32.0,18.0492,31.0,11.105656565656565,32.0,0.0
120,11.162020202020202,34.0,26.0,31.0,28.705050505050504,58.87585858585859,6,52,6,195,496,0.0,0.0,0.0,17.4192,34.0,17.426,32.0,11.162020202020202,34.0,0.0
130,10.104242424242424,35.0,23.0,29.0,26.53939393939394,52.95717171717172,13,62,12,406,3299,0.0,0.0,0.0,14.2636,35.0,15.816,33.0,10.104242424242424,35.0,0.0
140,10.08161616161616,36.0,22.0,28.0,25.939393939393938,53.284040404040404,14,57,14,338,1614,0.0,0.0,0.0,15.4844,26.0,15.364,36.0,10.08161616161616,36.0,0.0
150,10.017070707070706,29.0,22.0,25.0,23.97171717171717,53.83646464646465,13,65,12,369,2097,0.0,0.0,0.0,17.282,29.0,13.6212,27.0,10.017070707070706,29.0,0.0
160,10.141919191919191,32.0,24.0,26.0,25.555555555555557,55.47616161616162,7,41,7,322,1609,0.0,0.0,0.0,18.272,32.0,13.3608,29.0,10.141919191919191,32.0,0.0
170,10.075050505050505,33.0,23.0,27.0,25.666666666666668,56.86757575757576,10,60,10,372,1294,0.0,0.0,0.0,17.734,33.0,13.6016,23.0,10.075050505050505,33.0,0.0
180,10.445151515151515,33.0,26.0,29.0,27.545454545454547,59.26838383838384,8,46,8,429,2519,0.0,0.0,0.0,18.1764,33.0,14.842,27.0,10.445151515151515,33.0,0.0
190,10.209292929292928,33.0,26.0,30.0,29.026262626262625,58.32939393939394,8,45,8,444,2291,0.0,0.0,0.0,17.6876,33.0,14.386,30.0,10.209292929292928,33.0,0.0
200,10.050707070707071,35.0,24.0,32.0,28.763636363636362,56.642323232323236,10,47,10,807,5432,0.0,0.0,0.0,16.3252,35.0,13.7536,32.0,10.050707070707071,35.0,0.0
210,9.156868686868687,30.0,22.0,26.0,24.501010101010102,51.08191919191919,10,66,10,701,3444,0.0,0.0,0.0,13.4724,30.0,13.6712,24.0,9.156868686868687,30.0,0.0
