slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,11.4210101010101,29.0,25.0,28.0,27.036363636363635,60.155151515151516,7,51,7,475,2629,0.0,0.0,0.0,18.0756,29.0,16.938,29.0,11.4210101010101,29.0,0.0
110,11.106868686868687,32.0,26.0,30.0,28.21818181818182,58.24323232323232,9,58,9,781,4711,0.0,0.0,0.0,16.3948,32.0,18.0492,31.0,11.106868686868687,32.0,0.0
120,11.258989898989899,34.0,26.0,31.0,29.15959595959596,59.258989898989896,6,52,6,195,496,0.0,0.0,0.0,17.5024,34.0,17.426,32.0,11.258989898989899,34.0,0.0
130,10.257979797979798,35.0,24.0,29.0,27.602020202020203,53.607979797979795,13,62,12,394,3218,0.0,0.0,0.0,14.4172,35.0,15.816,33.0,10.257979797979798,35.0,0.0
140,10.258383838383839,36.0,23.0,31.0,27.64040404040404,54.03666666666667,14,57,14,329,1581,0.0,0.0,0.0,15.6512,31.0,15.364,36.0,10.258383838383839,36.0,0.0
150,10.191515151515151,34.0,22.0,29.05000000000109,26.272727272727273,54.56181818181818,13,65,12,359,2059,0.0,0.0,0.0,17.4488,34.0,13.6212,27.0,10.191515151515151,34.0,0.0
160,10.323939393939394,35.0,24.0,32.030000000000655,27.666666666666668,56.220808080808084,7,41,7,321,1589,0.0,0.0,0.0,18.4728,35.0,13.3608,29.0,10.323939393939394,35.0,0.0
170,10.286767676767676,37.0,23.049999999999272,33.04000000000087,28.066666666666666,57.735454545454544,10,60,10,372,1282,0.0,0.0,0.0,18.0096,37.0,13.6016,23.0,10.286767676767676,37.0,0.0
180,10.693838383838385,37.0,26.0,33.04000000000087,29.56969696969697,60.31747474747475,8,46,8,431,2499,0.0,0.0,0.0,18.49,37.0,14.842,27.0,10.693838383838385,37.0,0.0
190,10.407070707070707,38.0,28.0,33.05000000000109,31.068686868686868,59.14121212121212,7,44,7,442,2267,0.0,0.0,0.0,18.0724,38.0,14.0988,30.0,10.407070707070707,38.0,0.0
200,10.12959595959596,40.0,25.0,35.05000000000109,31.284848484848485,56.945757575757575,10,47,10,643,4242,0.0,0.0,0.0,16.798,40.0,12.892,21.0,10.12959595959596,40.0,0.0
210,9.492626262626263,42.0,23.0,30.12000000000262,28.486868686868686,52.623030303030305,10,66,10,690,3398,0.0,0.0,0.0,14.0732,42.0,13.6712,24.0,9.492626262626263,42.0,0.0
220,8.74010101010101,42.0,21.0,33.090000000001965,27.1030303030303,48.43666666666667,10,64,10,546,2349,0.0,0.0,0.0,11.7532,42.0,13.3332,27.0,8.74010101010101,42.0,0.0
230,8.761818181818182,43.0,21.0,34.090000000001965,27.35151515151515,47.616868686868685,16,58,13,645,2916,0.0,0.0,0.0,12.4012,43.0,12.7304,30.0,8.761818181818182,43.0,0.0
240,9.075858585858587,43.0,21.0,32.1100000000024,26.55151515151515,48.22787878787879,11,43,10,230,874,0.0,0.0,0.0,12.7828,43.0,12.9084,32.0,9.075858585858587,43.0,0.0
250,8.99969696969697,43.0,20.0,26.17000000000371,27.19191919191919,48.30585858585859,15,53,14,660,3311,0.0,0.0,0.0,11.4932,43.0,14.5668,26.0,8.99969696969697,43.0,0.0
260,8.91090909090909,45.0,21.0,30.150000000003274,28.32323232323232,48.52232323232323,6,44,6,546,3067,0.0,0.0,0.0,11.4504,45.0,13.4232,30.0,8.91090909090909,45.0,0.0
270,8.302424242424243,47.0,20.0,32.150000000003274,28.0989898989899,46.2359595959596,9,58,8,690,3865,0.0,0.0,0.0,10.2872,47.0,12.3404,32.0,8.302424242424243,47.0,0.0
280,8.256060606060606,49.0,18.0,32.17000000000371,26.505050505050505,45.58383838383838,11,54,11,935,5897,0.0,0.0,0.0,11.2776,49.0,9.7632,32.0,8.256060606060606,49.0,0.0
290,8.033535353535354,52.0,16.0,30.220000000004802,25.86868686868687,44.63383838383838,8,53,8,163,678,0.0,0.0,0.0,12.434,52.0,9.012,20.0,8.033535353535354,52.0,0.0
300,8.423636363636364,53.0,17.0,25.280000000006112,26.270707070707072,47.64484848484849,13,68,13,820,4261,0.0,0.0,0.0,12.6376,53.0,10.5764,22.0,8.423636363636364,53.0,0.0
310,8.842121212121212,56.0,17.049999999999272,27.29000000000633,27.038383838383837,48.601616161616164,8,46,8,624,2858,0.0,0.0,0.0,12.7572,56.0,11.848,24.0,8.842121212121212,56.0,0.0
320,9.395656565656566,57.0,19.0,31.260000000005675,28.395959595959596,52.105555555555554,5,40,5,565,2393,0.0,0.0,0.0,13.422,57.0,13.0512,26.0,9.395656565656566,57.0,0.0
330,9.336161616161617,59.0,20.0,26.330000000007203,28.82020202020202,53.01282828282828,10,57,10,303,1283,0.0,0.0,0.0,13.77,59.0,13.256,26.0,9.336161616161617,59.0,0.0
340,9.997474747474747,61.0,22.0,25.360000000007858,30.707070707070706,56.65616161616162,4,31,4,234,1151,0.0,0.0,0.0,15.25,61.0,14.5944,25.0,9.997474747474747,61.0,0.0
350,10.775656565656565,63.0,24.0,27.360000000007858,32.61818181818182,60.3379797979798,14,58,14,254,1061,0.0,0.0,0.0,16.176,63.0,15.6616,27.0,10.775656565656565,63.0,0.0
360,10.933737373737374,64.0,26.0,30.34000000000742,34.266666666666666,60.605555555555554,13,64,13,309,1119,0.0,0.0,0.0,15.976,64.0,16.7552,30.0,10.933737373737374,64.0,0.0
370,9.702727272727273,66.0,25.0,32.34000000000742,35.29494949494949,54.25181818181818,12,64,12,529,3277,0.0,0.0,0.0,14.234,66.0,13.7948,30.0,9.702727272727273,66.0,0.0
380,8.58030303030303,69.0,18.0,24.450000000009823,30.43030303030303,48.578080808080806,19,57,17,177,572,0.0,0.0,0.0,12.858,69.0,10.9192,22.0,8.58030303030303,69.0,0.0
