source,version,generation_slot,completion_slot,delay,completed
24,1,0,131,131,True
40,1,0,131,131,True
42,1,0,131,131,True
48,1,0,131,131,True
50,1,0,123,123,True
65,1,0,61,61,True
72,1,0,61,61,True
80,1,0,123,123,True
82,1,0,123,123,True
84,1,0,123,123,True
85,1,0,60,60,True
92,1,0,123,123,True
8,1,1,131,130,True
14,1,1,61,60,True
22,1,1,131,130,True
29,1,1,61,60,True
34,1,1,61,60,True
36,1,1,131,130,True
40,2,1,131,130,True
48,2,1,131,130,True
50,2,1,123,122,True
55,1,1,147,146,True
68,1,1,123,122,True
72,2,1,61,60,True
80,2,1,123,122,True
96,1,1,123,122,True
3,1,2,131,129,True
5,1,2,131,129,True
9,1,2,131,129,True
11,1,2,131,129,True
13,1,2,131,129,True
27,1,2,131,129,True
31,1,2,131,129,True
33,1,2,61,59,True
36,2,2,131,129,True
37,1,2,131,129,True
40,3,2,131,129,True
48,3,2,131,129,True
49,1,2,131,129,True
60,1,2,123,121,True
61,1,2,49,47,True
64,1,2,123,121,True
72,3,2,61,59,True
73,1,2,123,121,True
75,1,2,60,58,True
80,3,2,123,121,True
89,1,2,123,121,True
94,1,2,123,121,True
3,2,3,131,128,True
8,2,3,131,128,True
14,2,3,61,58,True
16,1,3,131,128,True
21,1,3,131,128,True
26,1,3,131,128,True
37,2,3,131,128,True
40,4,3,131,128,True
42,2,3,131,128,True
48,4,3,131,128,True
52,1,3,123,120,True
59,1,3,123,120,True
63,1,3,123,120,True
65,2,3,61,58,True
71,1,3,123,120,True
75,2,3,60,57,True
82,2,3,123,120,True
93,1,3,123,120,True
96,2,3,123,120,True
5,2,4,131,127,True
7,1,4,131,127,True
10,1,4,131,127,True
12,1,4,131,127,True
24,2,4,131,127,True
25,1,4,131,127,True
30,1,4,131,127,True
33,2,4,131,127,True
53,1,4,147,143,True
60,2,4,123,119,True
61,2,4,61,57,True
65,3,4,61,57,True
70,1,4,61,57,True
80,4,4,123,119,True
86,1,4,123,119,True
89,2,4,123,119,True
90,1,4,123,119,True
98,1,4,123,119,True
7,2,5,131,126,True
13,2,5,131,126,True
40,5,5,131,126,True
41,1,5,131,126,True
43,1,5,131,126,True
50,3,5,123,118,True
52,2,5,123,118,True
54,1,5,123,118,True
56,1,5,123,118,True
66,1,5,123,118,True
68,2,5,123,118,True
78,1,5,,,False
79,1,5,61,56,True
83,1,5,147,142,True
91,1,5,123,118,True
0,1,6,131,125,True
4,1,6,131,125,True
6,1,6,131,125,True
15,1,6,61,55,True
16,2,6,131,125,True
17,1,6,131,125,True
25,2,6,131,125,True
28,1,6,131,125,True
32,1,6,131,125,True
33,3,6,131,125,True
36,3,6,131,125,True
40,6,6,131,125,True
47,1,6,131,125,True
52,3,6,123,117,True
56,2,6,123,117,True
65,4,6,61,55,True
69,1,6,123,117,True
80,5,6,123,117,True
82,3,6,147,141,True
87,1,6,123,117,True
88,1,6,123,117,True
89,3,6,123,117,True
90,2,6,123,117,True
92,2,6,123,117,True
94,2,6,123,117,True
95,1,6,123,117,True
96,3,6,123,117,True
97,1,6,123,117,True
98,2,6,123,117,True
4,2,7,131,124,True
8,3,7,131,124,True
12,2,7,131,124,True
14,3,7,61,54,True
18,1,7,131,124,True
24,3,7,131,124,True
29,2,7,131,124,True
32,2,7,131,124,True
44,1,7,131,124,True
52,4,7,123,116,True
59,2,7,123,116,True
80,6,7,123,116,True
83,2,7,147,140,True
87,2,7,123,116,True
88,2,7,123,116,True
91,2,7,123,116,True
0,2,8,131,123,True
4,3,8,131,123,True
17,2,8,131,123,True
26,2,8,131,123,True
27,2,8,131,123,True
37,3,8,131,123,True
41,2,8,131,123,True
43,2,8,131,123,True
54,2,8,123,115,True
62,1,8,123,115,True
67,1,8,147,139,True
78,2,8,,,False
80,7,8,123,115,True
81,1,8,123,115,True
85,2,8,123,115,True
86,2,8,123,115,True
87,3,8,123,115,True
0,3,9,131,122,True
4,4,9,131,122,True
15,2,9,61,52,True
29,3,9,131,122,True
32,3,9,131,122,True
38,1,9,131,122,True
44,2,9,131,122,True
48,5,9,131,122,True
54,3,9,123,114,True
57,1,9,61,52,True
67,2,9,147,138,True
68,3,9,123,114,True
71,2,9,123,114,True
72,4,9,123,114,True
78,3,9,,,False
91,3,9,123,114,True
98,3,9,123,114,True
1,1,10,131,121,True
6,2,10,131,121,True
7,3,10,131,121,True
14,4,10,131,121,True
16,3,10,131,121,True
21,2,10,131,121,True
25,3,10,131,121,True
30,2,10,131,121,True
32,4,10,131,121,True
35,1,10,131,121,True
37,4,10,131,121,True
40,7,10,131,121,True
49,2,10,131,121,True
50,4,10,123,113,True
56,3,10,123,113,True
59,3,10,123,113,True
62,2,10,123,113,True
68,4,10,123,113,True
70,2,10,123,113,True
80,8,10,123,113,True
88,3,10,123,113,True
90,3,10,123,113,True
93,2,10,123,113,True
13,3,11,131,120,True
14,5,11,131,120,True
22,2,11,131,120,True
35,2,11,131,120,True
38,2,11,131,120,True
40,8,11,131,120,True
44,3,11,131,120,True
58,1,11,123,112,True
67,3,11,147,136,True
76,1,11,123,112,True
78,4,11,,,False
79,2,11,123,112,True
80,9,11,123,112,True
82,4,11,147,136,True
2,1,12,131,119,True
17,3,12,131,119,True
21,3,12,131,119,True
24,4,12,131,119,True
43,3,12,131,119,True
44,4,12,131,119,True
63,2,12,147,135,True
67,4,12,147,135,True
75,3,12,123,111,True
79,3,12,123,111,True
1,2,13,131,118,True
3,3,13,131,118,True
10,2,13,131,118,True
13,4,13,131,118,True
15,3,13,61,48,True
19,1,13,131,118,True
22,3,13,131,118,True
24,5,13,131,118,True
25,4,13,131,118,True
27,3,13,131,118,True
30,3,13,131,118,True
33,4,13,131,118,True
37,5,13,131,118,True
43,4,13,131,118,True
45,1,13,105,92,True
46,1,13,131,118,True
48,6,13,131,118,True
53,2,13,147,134,True
56,4,13,123,110,True
57,2,13,61,48,True
59,4,13,123,110,True
61,3,13,61,48,True
68,5,13,123,110,True
73,2,13,123,110,True
83,3,13,147,134,True
94,3,13,123,110,True
97,2,13,123,110,True
6,3,14,131,117,True
16,4,14,131,117,True
32,5,14,131,117,True
40,9,14,131,117,True
41,3,14,131,117,True
42,3,14,131,117,True
44,5,14,131,117,True
49,3,14,131,117,True
50,5,14,123,109,True
58,2,14,123,109,True
70,3,14,123,109,True
73,3,14,123,109,True
74,1,14,147,133,True
77,1,14,123,109,True
81,2,14,123,109,True
87,4,14,123,109,True
93,3,14,123,109,True
97,3,14,123,109,True
2,2,15,131,116,True
13,5,15,131,116,True
16,5,15,131,116,True
18,2,15,131,116,True
31,2,15,131,116,True
33,5,15,131,116,True
36,4,15,131,116,True
52,5,15,147,132,True
58,3,15,123,108,True
62,3,15,123,108,True
63,3,15,147,132,True
65,5,15,123,108,True
67,5,15,147,132,True
73,4,15,123,108,True
80,10,15,123,108,True
88,4,15,123,108,True
92,3,15,123,108,True
98,4,15,123,108,True
4,5,16,131,115,True
5,3,16,131,115,True
7,4,16,131,115,True
27,4,16,131,115,True
28,2,16,131,115,True
30,4,16,131,115,True
33,6,16,131,115,True
36,5,16,131,115,True
38,3,16,131,115,True
47,2,16,131,115,True
50,6,16,123,107,True
53,3,16,147,131,True
56,5,16,123,107,True
58,4,16,123,107,True
63,4,16,147,131,True
68,6,16,123,107,True
78,5,16,,,False
92,4,16,123,107,True
93,4,16,123,107,True
0,4,17,131,114,True
7,5,17,131,114,True
10,3,17,131,114,True
14,6,17,131,114,True
18,3,17,131,114,True
27,5,17,131,114,True
33,7,17,131,114,True
40,10,17,131,114,True
46,2,17,131,114,True
54,4,17,123,106,True
55,2,17,147,130,True
58,5,17,123,106,True
81,3,17,123,106,True
88,5,17,123,106,True
93,5,17,123,106,True
98,5,17,123,106,True
99,1,17,123,106,True
3,4,18,131,113,True
24,6,18,131,113,True
25,5,18,131,113,True
28,3,18,131,113,True
30,5,18,131,113,True
41,4,18,131,113,True
47,3,18,131,113,True
48,7,18,131,113,True
49,4,18,131,113,True
50,7,18,123,105,True
51,1,18,123,105,True
54,5,18,123,105,True
64,2,18,123,105,True
76,2,18,123,105,True
88,6,18,123,105,True
89,4,18,123,105,True
93,6,18,123,105,True
94,4,18,147,129,True
1,3,19,131,112,True
4,6,19,131,112,True
11,2,19,131,112,True
13,6,19,131,112,True
16,6,19,131,112,True
18,4,19,131,112,True
20,1,19,105,86,True
22,4,19,131,112,True
28,4,19,131,112,True
39,1,19,131,112,True
42,4,19,131,112,True
50,8,19,123,104,True
57,3,19,123,104,True
61,4,19,61,42,True
63,5,19,147,128,True
65,6,19,123,104,True
68,7,19,123,104,True
76,3,19,123,104,True
78,6,19,,,False
82,5,19,147,128,True
