slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement,mean_broadcast_debt,max_broadcast_debt,node_debt_positive_fraction,mean_vaoi_cluster_0_to_1,max_vaoi_cluster_0_to_1,mean_vaoi_cluster_1_to_0,max_vaoi_cluster_1_to_0,mean_aoi,max_aoi,min_aoi
100,13.03020202020202,29.0,25.049999999999272,28.01000000000022,27.466666666666665,67.69646464646465,7,48,7,330,2196,0.0,0.0,0.0,18.3224,29.0,19.37,29.0,13.03020202020202,29.0,0.0
110,13.12141414141414,32.0,27.0,30.0,28.9979797979798,67.78353535353536,9,52,9,362,2339,0.0,0.0,0.0,17.376,32.0,21.5292,31.0,13.12141414141414,32.0,0.0
120,13.953030303030303,34.0,28.0,32.0,30.581818181818182,72.10212121212122,6,48,6,197,928,0.0,0.0,0.0,18.9976,34.0,22.8568,32.0,13.953030303030303,34.0,0.0
130,14.587474747474747,35.0,31.0,34.0,32.35353535353536,74.53666666666666,13,49,12,76,327,0.0,0.0,0.0,19.304,35.0,24.3028,34.0,14.587474747474747,35.0,0.0
140,15.158383838383838,38.0,33.0,36.0,34.464646464646464,77.85262626262626,14,37,12,133,606,0.0,0.0,0.0,19.3012,38.0,26.112,37.0,15.158383838383838,38.0,0.0
150,15.313939393939394,40.0,33.0,39.0,36.23838383838384,79.56484848484848,13,55,12,317,2719,0.0,0.0,0.0,18.898,40.0,27.1888,39.0,15.313939393939394,40.0,0.0
160,16.163636363636364,44.0,35.0,41.0,38.58181818181818,84.62060606060606,7,35,7,221,1362,0.0,0.0,0.0,20.022,43.0,28.5972,44.0,16.163636363636364,44.0,0.0
170,15.895151515151515,47.0,36.0,44.0,40.333333333333336,85.04444444444445,10,54,10,516,3512,0.0,0.0,0.0,19.5696,37.0,28.9516,47.0,15.895151515151515,47.0,0.0
180,16.01949494949495,48.0,38.0,45.0,42.20808080808081,86.39262626262627,8,42,8,402,3789,0.0,0.0,0.0,20.308,40.0,29.5452,48.0,16.01949494949495,48.0,0.0
190,16.22989898989899,51.0,40.0,47.0,43.644444444444446,87.69353535353535,8,42,8,247,1489,0.0,0.0,0.0,20.8956,41.0,30.1848,51.0,16.22989898989899,51.0,0.0
200,15.329494949494949,53.0,39.0,45.0,42.955555555555556,82.37959595959596,9,30,8,640,6108,0.0,0.0,0.0,20.642,42.0,25.5268,53.0,15.329494949494949,53.0,0.0
210,14.67,55.0,37.0,46.0,41.7979797979798,78.61090909090909,10,58,10,859,9217,0.0,0.0,0.0,19.7472,46.0,24.2256,55.0,14.67,55.0,0.0
220,13.940909090909091,47.0,35.0,46.0,41.22828282828283,74.76585858585858,10,52,10,270,1390,0.0,0.0,0.0,18.5416,46.0,23.776,47.0,13.940909090909091,47.0,0.0
230,13.075959595959596,49.0,31.0,48.0,38.733333333333334,69.66828282828283,16,39,11,539,4706,0.0,0.0,0.0,15.6528,48.0,23.216,49.0,13.075959595959596,49.0,0.0
240,13.19010101010101,49.0,32.0,38.1100000000024,37.577777777777776,69.46929292929293,11,35,7,214,872,0.0,0.0,0.0,14.9368,49.0,23.7736,38.0,13.19010101010101,49.0,0.0
250,13.341414141414141,51.0,33.0,39.12000000000262,39.37171717171717,70.61343434343435,15,32,13,295,1538,0.0,0.0,0.0,14.5644,51.0,25.6936,39.0,13.341414141414141,51.0,0.0
260,13.11040404040404,54.0,33.0,42.12000000000262,40.862626262626264,69.67787878787878,6,41,6,543,4757,0.0,0.0,0.0,15.0408,54.0,23.7568,42.0,13.11040404040404,54.0,0.0
270,12.36111111111111,56.0,33.0,45.1100000000024,41.13131313131313,66.22888888888889,9,51,8,598,6119,0.0,0.0,0.0,15.5908,56.0,20.7528,45.0,12.36111111111111,56.0,0.0
280,11.6489898989899,58.0,24.0,48.10000000000218,37.12929292929293,62.04282828282828,11,38,11,356,4374,0.0,0.0,0.0,17.0228,58.0,14.512,48.0,11.6489898989899,58.0,0.0
290,10.578484848484848,62.0,24.0,34.28000000000611,33.33535353535353,56.87838383838384,8,47,8,196,1032,0.0,0.0,0.0,17.9084,62.0,10.0472,20.0,10.578484848484848,62.0,0.0
300,10.633131313131313,63.0,23.0,36.27000000000589,34.04242424242424,58.3210101010101,13,51,11,579,3488,0.0,0.0,0.0,17.0988,63.0,11.7192,22.0,10.633131313131313,63.0,0.0
310,10.261818181818182,67.0,20.0,42.25000000000546,31.585858585858585,55.467070707070704,7,37,7,446,3082,0.0,0.0,0.0,14.9184,67.0,12.7672,24.0,10.261818181818182,67.0,0.0
320,11.302626262626262,70.0,22.0,31.390000000008513,33.62626262626262,61.42747474747475,5,38,5,186,877,0.0,0.0,0.0,16.328,70.0,14.18,26.0,11.302626262626262,70.0,0.0
330,11.642424242424243,73.0,23.0,32.41000000000895,35.25050505050505,64.25555555555556,9,46,9,206,1188,0.0,0.0,0.0,17.9896,73.0,14.1392,27.0,11.642424242424243,73.0,0.0
340,12.186060606060606,75.0,23.0,34.41000000000895,36.85454545454545,67.26444444444445,4,31,4,201,919,0.0,0.0,0.0,18.8376,75.0,15.3544,29.0,12.186060606060606,75.0,0.0
350,12.932929292929293,77.0,25.0,36.41000000000895,37.882828282828285,70.89838383838384,14,44,14,90,454,0.0,0.0,0.0,19.8276,77.0,16.6704,30.0,12.932929292929293,77.0,0.0
360,13.531212121212121,82.0,27.0,35.47000000001026,39.87070707070707,73.41383838383838,12,46,11,282,1908,0.0,0.0,0.0,21.52,82.0,17.5312,35.0,13.531212121212121,82.0,0.0
370,14.194040404040404,84.0,29.0,37.47000000001026,42.163636363636364,76.74474747474747,12,48,12,287,2094,0.0,0.0,0.0,22.366,84.0,19.2064,37.0,14.194040404040404,84.0,0.0
380,14.653838383838384,87.0,31.0,39.48000000001048,44.72727272727273,79.09929292929293,19,39,17,72,260,0.0,0.0,0.0,23.1164,87.0,20.5,36.0,14.653838383838384,87.0,0.0
390,14.44959595959596,87.0,33.0,41.46000000001004,46.084848484848486,78.34434343434343,12,50,9,339,2083,0.0,0.0,0.0,21.6492,87.0,20.7576,38.0,14.44959595959596,87.0,0.0
400,14.122121212121213,91.0,34.0,43.48000000001048,47.30909090909091,76.20727272727272,7,36,7,376,3267,0.0,0.0,0.0,21.2036,91.0,20.8512,38.0,14.122121212121213,91.0,0.0
410,13.348888888888888,93.0,32.0,46.47000000001026,47.72525252525252,72.34747474747475,10,57,9,510,4435,0.0,0.0,0.0,21.9244,93.0,17.5656,33.0,13.348888888888888,93.0,0.0
420,13.715454545454545,94.0,31.0,48.46000000001004,47.08888888888889,74.92757575757575,3,23,3,32,135,0.0,0.0,0.0,21.5152,94.0,18.6792,35.0,13.715454545454545,94.0,0.0
430,13.146565656565656,96.0,28.0,37.59000000001288,44.355555555555554,71.3980808080808,8,48,8,555,5155,0.0,0.0,0.0,20.7416,96.0,16.9124,37.0,13.146565656565656,96.0,0.0
440,12.813535353535354,97.0,29.0,40.57000000001244,44.981818181818184,69.71969696969697,11,31,10,374,2391,0.0,0.0,0.0,19.8384,97.0,15.8432,40.0,12.813535353535354,97.0,0.0
450,12.157777777777778,99.0,28.0,42.57000000001244,45.246464646464645,64.75989898989899,13,40,11,365,2923,0.0,0.0,0.0,16.9104,99.0,16.0112,42.0,12.157777777777778,99.0,0.0
460,12.907171717171718,102.0,30.0,46.560000000012224,46.50909090909091,67.86535353535353,17,41,14,114,499,0.0,0.0,0.0,18.4888,102.0,16.8684,46.0,12.907171717171718,102.0,0.0
470,12.357272727272727,104.0,26.049999999999272,43.610000000013315,45.21010101010101,63.65676767676768,7,55,7,381,2051,0.0,0.0,0.0,17.8736,104.0,17.56,33.0,12.357272727272727,104.0,0.0
480,13.137878787878789,104.0,27.0,35.69000000001506,45.25050505050505,67.46373737373737,12,37,12,81,344,0.0,0.0,0.0,18.744,104.0,18.73,35.0,13.137878787878789,104.0,0.0
490,13.886060606060607,108.0,27.0,38.70000000001528,46.547474747474745,71.059898989899,12,35,10,132,689,0.0,0.0,0.0,20.6664,108.0,19.4,36.0,13.886060606060607,108.0,0.0
