source,version,generation_slot,completion_slot,delay,completed
0,1,1,118,117,True
10,1,1,122,121,True
11,1,1,,,False
0,2,2,118,116,True
7,1,2,118,116,True
13,1,2,118,116,True
1,1,3,118,115,True
4,1,3,118,115,True
10,2,3,122,119,True
18,1,3,118,115,True
15,1,4,122,118,True
3,1,5,122,117,True
10,3,5,122,117,True
6,1,6,122,116,True
2,1,7,122,115,True
2,2,9,122,113,True
14,1,9,,,False
7,2,11,118,107,True
11,2,11,,,False
10,4,12,122,110,True
14,2,13,,,False
19,1,13,,,False
11,3,14,,,False
6,2,16,122,106,True
15,2,16,122,106,True
4,2,17,118,101,True
7,3,17,118,101,True
12,1,17,122,105,True
7,4,20,118,98,True
19,2,21,,,False
17,1,24,,,False
19,3,24,,,False
3,2,26,122,96,True
19,4,26,,,False
10,5,27,122,95,True
2,3,29,122,93,True
4,3,29,118,89,True
15,3,29,122,93,True
10,6,30,122,92,True
17,2,30,,,False
0,3,31,118,87,True
9,1,31,122,91,True
2,4,32,122,90,True
2,5,33,122,89,True
4,4,35,118,83,True
10,7,35,,,False
7,5,36,118,82,True
16,1,37,118,81,True
19,5,37,,,False
3,3,38,122,84,True
5,1,38,159,121,True
5,2,39,159,120,True
19,6,39,,,False
1,2,40,118,78,True
9,2,40,,,False
16,2,41,118,77,True
12,2,42,122,80,True
17,3,42,,,False
0,4,43,118,75,True
10,8,46,,,False
18,2,47,118,71,True
2,6,49,141,92,True
11,4,49,,,False
12,3,49,122,73,True
13,2,49,118,69,True
0,5,50,118,68,True
7,6,50,118,68,True
12,4,50,122,72,True
3,4,53,122,69,True
1,3,54,118,64,True
7,7,56,118,62,True
1,4,57,118,61,True
0,6,61,118,57,True
12,5,61,122,61,True
17,4,63,,,False
1,5,67,118,51,True
14,3,67,,,False
10,9,68,,,False
11,5,68,,,False
8,1,70,122,52,True
8,2,72,159,87,True
5,3,73,159,86,True
19,7,74,,,False
15,4,77,,,False
17,5,77,,,False
16,3,79,,,False
5,4,80,159,79,True
14,4,80,,,False
4,5,81,,,False
15,5,81,,,False
1,6,82,,,False
7,8,83,,,False
7,9,87,,,False
2,7,89,141,52,True
7,10,89,,,False
0,7,90,118,28,True
11,6,92,,,False
15,6,93,,,False
7,11,94,,,False
11,7,94,,,False
15,7,96,,,False
17,6,96,,,False
14,5,98,,,False
6,3,101,,,False
2,8,102,,,False
7,12,102,,,False
0,8,103,,,False
16,4,104,,,False
19,8,107,,,False
4,6,108,,,False
17,7,109,,,False
4,7,111,,,False
11,8,112,,,False
2,9,113,,,False
10,10,115,,,False
8,3,116,,,False
9,3,116,,,False
15,8,118,,,False
19,9,119,,,False
9,4,122,,,False
10,11,124,,,False
8,4,125,,,False
4,8,126,,,False
7,13,126,,,False
18,3,126,,,False
19,10,130,,,False
9,5,131,,,False
16,5,131,,,False
18,4,131,,,False
19,11,131,,,False
11,9,132,,,False
13,3,132,,,False
17,8,133,,,False
1,7,135,,,False
3,5,136,,,False
11,10,136,,,False
8,5,137,,,False
14,6,138,,,False
5,5,140,,,False
7,14,140,,,False
12,6,140,,,False
3,6,141,,,False
6,4,141,,,False
10,12,142,,,False
15,9,142,,,False
13,4,143,,,False
18,5,145,,,False
6,5,146,,,False
15,10,146,,,False
9,6,147,,,False
13,5,147,,,False
17,9,148,,,False
5,6,149,,,False
14,7,149,,,False
17,10,149,,,False
1,8,151,,,False
14,8,151,,,False
15,11,151,,,False
11,11,154,,,False
18,6,155,,,False
0,9,157,,,False
7,15,157,,,False
8,6,158,,,False
2,10,160,,,False
5,7,160,,,False
13,6,160,,,False
16,6,160,,,False
13,7,161,,,False
1,9,162,,,False
19,12,163,,,False
6,6,165,,,False
10,13,165,,,False
1,10,166,,,False
2,11,166,,,False
4,9,166,,,False
16,7,166,,,False
18,7,167,,,False
10,14,168,,,False
0,10,169,,,False
13,8,169,,,False
5,8,172,,,False
3,7,175,,,False
2,12,176,,,False
6,7,176,,,False
7,16,176,,,False
16,8,178,,,False
9,7,179,,,False
15,12,179,,,False
8,7,183,,,False
15,13,183,,,False
1,11,184,,,False
18,8,184,,,False
4,10,186,,,False
14,9,187,,,False
15,14,188,,,False
6,8,189,,,False
5,9,190,,,False
1,12,191,,,False
8,8,191,,,False
0,11,192,,,False
8,9,192,,,False
11,12,192,,,False
15,15,192,,,False
11,13,195,,,False
15,16,195,,,False
10,15,196,,,False
11,14,198,,,False
10,16,199,,,False
16,9,199,,,False
