slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement
20,1.3394736842105264,4.0,4.0,4.0,4.0,19.75263157894737,0,0,0,0,0
21,1.3894736842105264,4.0,4.0,4.0,4.0,20.75263157894737,0,0,0,0,0
22,1.3894736842105264,4.0,4.0,4.0,4.0,21.75263157894737,0,0,0,0,0
23,1.3894736842105264,4.0,4.0,4.0,4.0,22.75263157894737,0,0,0,0,0
24,1.4684210526315788,4.0,4.0,4.0,4.0,23.689473684210526,1,2,1,2,8
25,1.4684210526315788,4.0,4.0,4.0,4.0,24.689473684210526,0,0,0,0,0
26,1.568421052631579,4.0,4.0,4.0,4.0,25.689473684210526,0,0,0,0,0
27,1.618421052631579,5.0,4.0,5.0,4.894736842105263,26.689473684210526,1,4,1,0,0
28,1.618421052631579,5.0,4.0,5.0,4.894736842105263,27.689473684210526,0,0,0,0,0
29,1.7052631578947368,5.0,4.0,5.0,4.631578947368421,28.48421052631579,1,6,1,7,24
30,1.805263157894737,6.0,4.0,6.0,5.2631578947368425,29.48421052631579,0,0,0,0,0
31,1.8894736842105264,6.0,4.0,6.0,5.2631578947368425,30.36578947368421,1,2,1,3,6
32,1.9394736842105262,6.0,4.0,6.0,5.2631578947368425,31.36578947368421,0,0,0,0,0
33,1.9631578947368422,6.0,5.0,6.0,5.631578947368421,32.12894736842105,1,6,1,5,10
34,1.9631578947368422,6.0,5.0,6.0,5.631578947368421,33.12894736842105,1,6,1,0,0
35,2.0236842105263158,7.0,5.0,7.0,6.2631578947368425,33.81315789473684,1,5,1,5,15
36,2.0736842105263156,7.0,5.0,7.0,6.2631578947368425,34.81315789473684,0,0,0,0,0
37,2.1736842105263157,7.0,5.0,7.0,6.2631578947368425,35.81315789473684,0,0,0,0,0
38,2.218421052631579,7.0,5.0,7.0,6.052631578947368,36.10263157894737,1,6,1,9,21
39,2.318421052631579,7.0,6.0,7.0,6.526315789473684,37.10263157894737,0,0,0,0,0
40,2.418421052631579,7.0,6.0,7.0,6.526315789473684,38.10263157894737,1,5,1,0,0
41,2.468421052631579,7.0,6.0,7.0,6.526315789473684,39.10263157894737,0,0,0,0,0
42,2.568421052631579,7.0,6.0,7.0,6.526315789473684,40.10263157894737,0,0,0,0,0
43,2.586842105263158,7.0,6.0,7.0,6.526315789473684,40.79736842105263,2,4,1,4,12
44,2.586842105263158,7.0,6.0,7.0,6.526315789473684,41.79736842105263,0,0,0,0,0
45,2.586842105263158,7.0,6.0,7.0,6.526315789473684,42.79736842105263,0,0,0,0,0
46,2.6289473684210525,8.0,6.0,8.0,7.052631578947368,43.72105263157895,1,5,1,1,3
47,2.6789473684210527,8.0,6.0,8.0,7.052631578947368,44.72105263157895,0,0,0,0,0
48,2.6789473684210527,8.0,6.0,8.0,7.052631578947368,45.72105263157895,0,0,0,0,0
49,2.8789473684210525,8.0,6.0,8.0,7.052631578947368,46.72105263157895,0,0,0,0,0
50,2.8710526315789475,8.0,6.0,8.0,7.052631578947368,46.51578947368421,1,9,1,13,60
51,2.8026315789473686,8.0,6.0,8.0,7.052631578947368,46.386842105263156,1,7,1,9,26
52,2.8026315789473686,8.0,6.0,8.0,7.052631578947368,47.386842105263156,0,0,0,0,0
53,2.8342105263157893,8.0,6.0,8.0,7.052631578947368,47.52105263157895,1,7,1,7,7
54,2.8842105263157896,8.0,6.0,8.0,7.052631578947368,48.52105263157895,0,0,0,0,0
55,2.8789473684210525,8.0,6.0,8.0,7.052631578947368,49.41315789473684,2,6,2,1,2
56,2.9289473684210527,8.0,6.0,8.0,7.473684210526316,50.41315789473684,0,0,0,0,0
57,2.9789473684210526,8.0,6.0,8.0,7.473684210526316,51.41315789473684,0,0,0,0,0
58,2.9789473684210526,8.0,6.0,8.0,7.473684210526316,52.41315789473684,1,7,1,0,0
59,2.9789473684210526,8.0,6.0,8.0,7.473684210526316,53.41315789473684,2,6,2,0,0
60,2.9789473684210526,8.0,6.0,8.0,7.473684210526316,54.41315789473684,0,0,0,0,0
61,3.0789473684210527,8.0,6.0,8.0,7.473684210526316,55.41315789473684,0,0,0,0,0
62,3.0789473684210527,8.0,6.0,8.0,7.473684210526316,56.41315789473684,0,0,0,0,0
63,3.068421052631579,8.0,6.0,8.0,7.473684210526316,56.415789473684214,2,7,2,7,23
64,3.068421052631579,8.0,6.0,8.0,7.473684210526316,57.415789473684214,0,0,0,0,0
65,3.068421052631579,8.0,6.0,8.0,7.473684210526316,58.415789473684214,1,7,1,0,0
66,3.068421052631579,8.0,6.0,8.0,7.473684210526316,59.415789473684214,0,0,0,0,0
67,3.168421052631579,8.0,6.0,8.0,7.473684210526316,60.415789473684214,0,0,0,0,0
68,3.268421052631579,9.0,6.0,9.0,8.0,61.415789473684214,0,0,0,0,0
69,3.2157894736842105,9.0,6.0,9.0,8.0,61.75526315789474,1,8,1,8,20
70,3.2526315789473683,9.0,6.0,9.0,8.0,61.834210526315786,2,12,2,5,5
71,3.2526315789473683,9.0,6.0,9.0,8.0,62.834210526315786,0,0,0,0,0
72,3.3026315789473686,9.0,6.0,9.0,8.0,63.834210526315786,1,7,1,0,0
73,3.3526315789473684,9.0,6.0,9.0,8.0,64.83421052631579,0,0,0,0,0
74,3.4026315789473682,9.0,7.0,9.0,8.052631578947368,65.83421052631579,0,0,0,0,0
75,3.4026315789473682,9.0,7.0,9.0,8.052631578947368,66.83421052631579,0,0,0,0,0
76,3.4026315789473682,9.0,7.0,9.0,8.052631578947368,67.83421052631579,0,0,0,0,0
77,3.4157894736842107,9.0,7.0,9.0,8.052631578947368,67.42105263157895,1,9,1,18,33
78,3.331578947368421,9.0,7.0,9.0,8.052631578947368,67.6842105263158,1,8,1,8,32
79,3.3710526315789475,9.0,7.0,9.0,8.052631578947368,68.59210526315789,1,9,1,1,4
80,3.471052631578947,9.0,7.0,9.0,8.052631578947368,69.59210526315789,0,0,0,0,0
81,3.5710526315789473,9.0,7.0,9.0,8.052631578947368,70.59210526315789,0,0,0,0,0
82,3.0157894736842104,9.0,7.0,9.0,7.7368421052631575,64.21315789473684,2,14,2,65,230
83,3.0657894736842106,9.0,7.0,9.0,7.894736842105263,65.21315789473684,0,0,0,0,0
84,3.0657894736842106,9.0,7.0,9.0,7.894736842105263,66.21315789473684,1,7,1,0,0
85,3.0657894736842106,9.0,7.0,9.0,7.894736842105263,67.21315789473684,0,0,0,0,0
86,3.0657894736842106,9.0,7.0,9.0,7.894736842105263,68.21315789473684,0,0,0,0,0
87,3.1157894736842104,9.0,7.0,9.0,8.052631578947368,69.21315789473684,0,0,0,0,0
88,3.1157894736842104,9.0,7.0,9.0,8.052631578947368,70.21315789473684,0,0,0,0,0
89,2.863157894736842,10.0,7.0,9.0,7.684210526315789,66.6921052631579,2,12,2,43,134
90,2.913157894736842,10.0,7.0,9.0,7.684210526315789,67.6921052631579,0,0,0,0,0
91,2.913157894736842,10.0,7.0,9.0,7.684210526315789,68.6921052631579,0,0,0,0,0
92,2.8973684210526316,10.0,7.0,9.0,7.684210526315789,68.36842105263158,1,7,1,10,25
93,2.7973684210526315,10.0,7.0,9.0,7.578947368421052,67.28157894736842,1,5,1,16,57
94,2.8973684210526316,11.0,7.0,9.0,7.631578947368421,68.28157894736842,0,0,0,0,0
95,2.8973684210526316,11.0,7.0,9.0,7.631578947368421,69.28157894736842,0,0,0,0,0
96,2.892105263157895,11.0,7.0,9.0,7.631578947368421,68.50526315789473,2,12,2,11,40
97,2.892105263157895,11.0,7.0,9.0,7.631578947368421,69.50526315789473,0,0,0,0,0
98,2.942105263157895,11.0,7.0,9.0,7.631578947368421,70.50526315789473,0,0,0,0,0
99,2.9157894736842107,11.0,7.0,9.0,7.631578947368421,70.76842105263158,1,5,1,5,10
100,2.9157894736842107,11.0,7.0,9.0,7.631578947368421,71.76842105263158,0,0,0,0,0
101,2.9657894736842105,11.0,7.0,9.0,7.631578947368421,72.76842105263158,0,0,0,0,0
102,3.0657894736842106,12.0,7.0,9.0,7.894736842105263,73.76842105263158,0,0,0,0,0
103,3.042105263157895,12.0,7.0,9.0,7.947368421052632,73.77894736842106,1,4,1,4,28
