source,version,generation_slot,completion_slot,delay,completed
0,1,1,34,33,True
10,1,1,22,21,True
11,1,1,37,36,True
0,2,2,34,32,True
7,1,2,34,32,True
13,1,2,45,43,True
1,1,3,39,36,True
4,1,3,34,31,True
10,2,3,22,19,True
18,1,3,34,31,True
15,1,4,22,18,True
3,1,5,34,29,True
10,3,5,22,17,True
6,1,6,34,28,True
2,1,7,39,32,True
2,2,9,39,30,True
14,1,9,34,25,True
7,2,11,34,23,True
11,2,11,37,26,True
10,4,12,34,22,True
14,2,13,39,26,True
19,1,13,34,21,True
11,3,14,37,23,True
6,2,16,39,23,True
15,2,16,39,23,True
4,2,17,39,22,True
7,3,17,44,27,True
12,1,17,44,27,True
7,4,20,44,24,True
19,2,21,65,44,True
17,1,24,50,26,True
19,3,24,65,41,True
3,2,26,34,8,True
19,4,26,65,39,True
10,5,27,65,38,True
2,3,29,50,21,True
4,3,29,44,15,True
15,3,29,50,21,True
10,6,30,65,35,True
17,2,30,50,20,True
0,3,31,45,14,True
9,1,31,50,19,True
2,4,32,50,18,True
2,5,33,50,17,True
4,4,35,61,26,True
10,7,35,65,30,True
7,5,36,46,10,True
16,1,37,45,8,True
19,5,37,65,28,True
3,3,38,45,7,True
5,1,38,65,27,True
5,2,39,65,26,True
19,6,39,65,26,True
1,2,40,64,24,True
9,2,40,65,25,True
16,2,41,61,20,True
12,2,42,50,8,True
17,3,42,65,23,True
0,4,43,61,18,True
10,8,46,79,33,True
18,2,47,64,17,True
2,6,49,65,16,True
11,4,49,79,30,True
12,3,49,65,16,True
13,2,49,61,12,True
0,5,50,61,11,True
7,6,50,65,15,True
12,4,50,65,15,True
3,4,53,65,12,True
1,3,54,90,36,True
7,7,56,65,9,True
1,4,57,90,33,True
0,6,61,79,18,True
12,5,61,81,20,True
17,4,63,81,18,True
1,5,67,92,25,True
14,3,67,89,22,True
10,9,68,92,24,True
11,5,68,81,13,True
8,1,70,103,33,True
8,2,72,103,31,True
5,3,73,101,28,True
19,7,74,92,18,True
15,4,77,101,24,True
17,5,77,89,12,True
16,3,79,90,11,True
5,4,80,101,21,True
14,4,80,92,12,True
4,5,81,92,11,True
15,5,81,101,20,True
1,6,82,92,10,True
7,8,83,104,21,True
7,9,87,104,17,True
2,7,89,121,32,True
7,10,89,104,15,True
0,7,90,121,31,True
11,6,92,126,34,True
15,6,93,121,28,True
7,11,94,104,10,True
11,7,94,126,32,True
15,7,96,121,25,True
17,6,96,115,19,True
14,5,98,106,8,True
6,3,101,109,8,True
2,8,102,121,19,True
7,12,102,114,12,True
0,8,103,123,20,True
16,4,104,123,19,True
19,8,107,126,19,True
4,6,108,123,15,True
17,7,109,133,24,True
4,7,111,123,12,True
11,8,112,126,14,True
2,9,113,133,20,True
10,10,115,167,52,True
8,3,116,133,17,True
9,3,116,133,17,True
15,8,118,133,15,True
19,9,119,141,22,True
9,4,122,133,11,True
10,11,124,167,43,True
8,4,125,153,28,True
4,8,126,159,33,True
7,13,126,144,18,True
18,3,126,144,18,True
19,10,130,167,37,True
9,5,131,147,16,True
16,5,131,190,59,True
18,4,131,159,28,True
19,11,131,167,36,True
11,9,132,167,35,True
13,3,132,159,27,True
17,8,133,188,55,True
1,7,135,159,24,True
3,5,136,167,31,True
11,10,136,167,31,True
8,5,137,153,16,True
14,6,138,159,21,True
5,5,140,153,13,True
7,14,140,159,19,True
12,6,140,147,7,True
3,6,141,167,26,True
6,4,141,159,18,True
10,12,142,185,43,True
15,9,142,172,30,True
13,4,143,167,24,True
18,5,145,167,22,True
6,5,146,159,13,True
15,10,146,172,26,True
9,6,147,172,25,True
13,5,147,167,20,True
17,9,148,188,40,True
5,6,149,172,23,True
14,7,149,167,18,True
17,10,149,188,39,True
1,8,151,167,16,True
14,8,151,167,16,True
15,11,151,172,21,True
11,11,154,167,13,True
18,6,155,167,12,True
0,9,157,167,10,True
7,15,157,172,15,True
8,6,158,185,27,True
2,10,160,172,12,True
5,7,160,185,25,True
13,6,160,188,28,True
16,6,160,190,30,True
13,7,161,188,27,True
1,9,162,188,26,True
19,12,163,185,22,True
6,6,165,188,23,True
10,13,165,197,32,True
1,10,166,190,24,True
2,11,166,197,31,True
4,9,166,188,22,True
16,7,166,190,24,True
18,7,167,190,23,True
10,14,168,197,29,True
0,10,169,,,False
13,8,169,190,21,True
5,8,172,197,25,True
3,7,175,191,16,True
2,12,176,197,21,True
6,7,176,192,16,True
7,16,176,190,14,True
16,8,178,,,False
9,7,179,197,18,True
15,12,179,197,18,True
8,7,183,,,False
15,13,183,,,False
1,11,184,,,False
18,8,184,,,False
4,10,186,,,False
14,9,187,,,False
15,14,188,,,False
6,8,189,,,False
5,9,190,,,False
1,12,191,,,False
8,8,191,,,False
0,11,192,,,False
8,9,192,,,False
11,12,192,,,False
15,15,192,,,False
11,13,195,,,False
15,16,195,,,False
10,15,196,,,False
11,14,198,,,False
10,16,199,,,False
16,9,199,,,False
