slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement
20,1.0,4.0,3.0,4.0,3.8421052631578947,17.98421052631579,5,15,5,12,16
21,0.9763157894736842,4.0,3.0,4.0,3.6315789473684212,18.526315789473685,1,8,1,20,28
22,0.8921052631578947,4.0,3.0,4.0,3.4210526315789473,18.98421052631579,3,13,3,24,32
23,0.8789473684210526,4.0,3.0,4.0,3.4210526315789473,19.92105263157895,3,12,2,5,5
24,0.9605263157894737,4.0,3.0,4.0,3.4210526315789473,20.818421052631578,2,5,2,4,7
25,0.9368421052631579,4.0,3.0,4.0,3.3684210526315788,21.723684210526315,4,10,3,7,9
26,1.0105263157894737,4.0,3.0,4.0,3.526315789473684,22.45263157894737,3,10,3,7,10
27,0.9973684210526316,4.0,3.0,4.0,3.526315789473684,22.860526315789475,3,14,3,15,24
28,0.9578947368421052,4.0,3.0,4.0,3.526315789473684,23.576315789473686,3,15,3,7,15
29,1.0368421052631578,4.0,3.0,4.0,3.473684210526316,24.126315789473683,3,11,3,14,27
30,1.081578947368421,4.0,3.0,4.0,3.4210526315789473,24.71578947368421,3,13,3,14,21
31,1.1263157894736842,4.0,3.0,4.0,3.4210526315789473,25.13157894736842,5,10,4,15,21
32,0.881578947368421,4.0,3.0,4.0,3.3157894736842106,24.16842105263158,2,13,2,66,112
33,0.9052631578947369,5.0,3.0,4.2099999999999795,3.526315789473684,24.907894736842106,3,15,3,8,10
34,0.8078947368421052,5.0,3.0,3.419999999999959,3.4210526315789473,25.068421052631578,5,11,5,22,37
35,0.8736842105263158,5.0,3.0,3.419999999999959,3.4210526315789473,25.73421052631579,5,15,4,10,13
36,0.8789473684210526,5.0,3.0,3.0,3.3157894736842106,26.25,6,10,6,12,17
37,0.9157894736842105,5.0,4.0,4.0,4.052631578947368,26.818421052631578,8,11,6,16,24
38,0.9763157894736842,5.0,3.0500000000000114,4.0,4.052631578947368,27.210526315789473,4,9,3,9,15
39,0.9842105263157894,5.0,3.0,5.0,4.684210526315789,27.4,4,13,3,21,35
40,1.0763157894736841,5.0,3.0,5.0,4.684210526315789,28.107894736842105,4,15,4,3,3
41,1.0921052631578947,5.0,3.0,5.0,4.684210526315789,28.560526315789474,6,9,4,9,13
42,1.15,5.0,3.0,5.0,4.684210526315789,28.757894736842104,1,7,1,15,16
43,1.1605263157894736,5.0,3.0,5.0,4.684210526315789,29.1,4,11,4,10,15
44,1.0842105263157895,5.0,3.0,5.0,4.684210526315789,28.54736842105263,1,10,1,27,29
45,0.9710526315789474,5.0,3.0,5.0,4.684210526315789,27.555263157894736,6,12,5,37,43
46,0.9631578947368421,5.0,4.0,5.0,4.842105263157895,27.731578947368423,5,15,5,15,22
47,0.9868421052631579,5.0,4.0,5.0,4.842105263157895,28.38157894736842,8,9,6,8,10
48,0.9263157894736842,5.0,4.0,5.0,4.842105263157895,28.65,3,15,3,19,23
49,0.9736842105263158,5.0,4.0,5.0,4.842105263157895,27.402631578947368,5,14,4,37,58
50,1.063157894736842,5.0,4.0,5.0,4.842105263157895,27.13421052631579,3,15,3,18,23
51,1.0236842105263158,5.0,4.0,5.0,4.842105263157895,27.560526315789474,3,15,3,15,15
52,0.9105263157894737,5.0,4.0,5.0,4.7894736842105265,26.207894736842107,4,16,4,33,43
