source,version,generation_slot,completion_slot,delay,completed
0,1,1,152,151,True
10,1,1,82,81,True
11,1,1,117,116,True
0,2,2,152,150,True
7,1,2,152,150,True
13,1,2,152,150,True
1,1,3,152,149,True
4,1,3,152,149,True
10,2,3,82,79,True
18,1,3,152,149,True
15,1,4,152,148,True
3,1,5,152,147,True
10,3,5,82,77,True
6,1,6,117,111,True
2,1,7,189,182,True
2,2,9,189,180,True
14,1,9,117,108,True
7,2,11,152,141,True
11,2,11,117,106,True
10,4,12,117,105,True
14,2,13,117,104,True
19,1,13,117,104,True
11,3,14,117,103,True
6,2,16,117,101,True
15,2,16,152,136,True
4,2,17,152,135,True
7,3,17,152,135,True
12,1,17,152,135,True
7,4,20,152,132,True
19,2,21,117,96,True
17,1,24,189,165,True
19,3,24,117,93,True
3,2,26,152,126,True
19,4,26,117,91,True
10,5,27,,,False
2,3,29,189,160,True
4,3,29,152,123,True
15,3,29,152,123,True
10,6,30,,,False
17,2,30,189,159,True
0,3,31,152,121,True
9,1,31,,,False
2,4,32,189,157,True
2,5,33,189,156,True
4,4,35,152,117,True
10,7,35,,,False
7,5,36,152,116,True
16,1,37,152,115,True
19,5,37,117,80,True
3,3,38,152,114,True
5,1,38,,,False
5,2,39,,,False
19,6,39,117,78,True
1,2,40,152,112,True
9,2,40,,,False
16,2,41,152,111,True
12,2,42,152,110,True
17,3,42,189,147,True
0,4,43,152,109,True
10,8,46,,,False
18,2,47,152,105,True
2,6,49,189,140,True
11,4,49,152,103,True
12,3,49,152,103,True
13,2,49,152,103,True
0,5,50,152,102,True
7,6,50,152,102,True
12,4,50,152,102,True
3,4,53,152,99,True
1,3,54,152,98,True
7,7,56,152,96,True
1,4,57,152,95,True
0,6,61,152,91,True
12,5,61,152,91,True
17,4,63,189,126,True
1,5,67,152,85,True
14,3,67,152,85,True
10,9,68,,,False
11,5,68,152,84,True
8,1,70,152,82,True
8,2,72,152,80,True
5,3,73,,,False
19,7,74,,,False
15,4,77,152,75,True
17,5,77,189,112,True
16,3,79,152,73,True
5,4,80,,,False
14,4,80,152,72,True
4,5,81,152,71,True
15,5,81,152,71,True
1,6,82,152,70,True
7,8,83,152,69,True
7,9,87,152,65,True
2,7,89,189,100,True
7,10,89,152,63,True
0,7,90,,,False
11,6,92,152,60,True
15,6,93,,,False
7,11,94,152,58,True
11,7,94,152,58,True
15,7,96,,,False
17,6,96,189,93,True
14,5,98,152,54,True
6,3,101,152,51,True
2,8,102,189,87,True
7,12,102,152,50,True
0,8,103,,,False
16,4,104,152,48,True
19,8,107,,,False
4,6,108,152,44,True
17,7,109,189,80,True
4,7,111,152,41,True
11,8,112,152,40,True
2,9,113,189,76,True
10,10,115,,,False
8,3,116,,,False
9,3,116,,,False
15,8,118,,,False
19,9,119,,,False
9,4,122,,,False
10,11,124,,,False
8,4,125,,,False
4,8,126,152,26,True
7,13,126,189,63,True
18,3,126,,,False
19,10,130,,,False
9,5,131,,,False
16,5,131,,,False
18,4,131,,,False
19,11,131,,,False
11,9,132,,,False
13,3,132,,,False
17,8,133,189,56,True
1,7,135,,,False
3,5,136,,,False
11,10,136,,,False
8,5,137,,,False
14,6,138,189,51,True
5,5,140,,,False
7,14,140,,,False
12,6,140,160,20,True
3,6,141,,,False
6,4,141,,,False
10,12,142,,,False
15,9,142,,,False
13,4,143,,,False
18,5,145,,,False
6,5,146,,,False
15,10,146,,,False
9,6,147,,,False
13,5,147,,,False
17,9,148,189,41,True
5,6,149,,,False
14,7,149,189,40,True
17,10,149,189,40,True
1,8,151,,,False
14,8,151,,,False
15,11,151,,,False
11,11,154,,,False
18,6,155,,,False
0,9,157,,,False
7,15,157,,,False
8,6,158,,,False
2,10,160,,,False
5,7,160,,,False
13,6,160,,,False
16,6,160,,,False
13,7,161,,,False
1,9,162,,,False
19,12,163,,,False
6,6,165,,,False
10,13,165,,,False
1,10,166,,,False
2,11,166,,,False
4,9,166,,,False
16,7,166,,,False
18,7,167,,,False
10,14,168,,,False
0,10,169,,,False
13,8,169,,,False
5,8,172,,,False
3,7,175,,,False
2,12,176,,,False
6,7,176,,,False
7,16,176,,,False
16,8,178,,,False
9,7,179,,,False
15,12,179,,,False
8,7,183,,,False
15,13,183,,,False
1,11,184,,,False
18,8,184,,,False
4,10,186,,,False
14,9,187,,,False
15,14,188,,,False
6,8,189,,,False
5,9,190,,,False
1,12,191,,,False
8,8,191,,,False
0,11,192,,,False
8,9,192,,,False
11,12,192,,,False
15,15,192,,,False
11,13,195,,,False
15,16,195,,,False
10,15,196,,,False
11,14,198,,,False
10,16,199,,,False
16,9,199,,,False
