source,version,generation_slot,completion_slot,delay,completed
0,1,1,14,13,True
10,1,1,14,13,True
11,1,1,29,28,True
0,2,2,14,12,True
7,1,2,20,18,True
13,1,2,20,18,True
1,1,3,43,40,True
4,1,3,20,17,True
10,2,3,14,11,True
18,1,3,20,17,True
15,1,4,40,36,True
3,1,5,20,15,True
10,3,5,14,9,True
6,1,6,14,8,True
2,1,7,20,13,True
2,2,9,20,11,True
14,1,9,20,11,True
7,2,11,20,9,True
11,2,11,29,18,True
10,4,12,54,42,True
14,2,13,20,7,True
19,1,13,43,30,True
11,3,14,43,29,True
6,2,16,29,13,True
15,2,16,40,24,True
4,2,17,38,21,True
7,3,17,21,4,True
12,1,17,40,23,True
7,4,20,38,18,True
19,2,21,43,22,True
17,1,24,47,23,True
19,3,24,43,19,True
3,2,26,43,17,True
19,4,26,43,17,True
10,5,27,54,27,True
2,3,29,52,23,True
4,3,29,47,18,True
15,3,29,40,11,True
10,6,30,54,24,True
17,2,30,47,17,True
0,3,31,43,12,True
9,1,31,52,21,True
2,4,32,52,20,True
2,5,33,52,19,True
4,4,35,47,12,True
10,7,35,54,19,True
7,5,36,47,11,True
16,1,37,76,39,True
19,5,37,54,17,True
3,3,38,55,17,True
5,1,38,52,14,True
5,2,39,52,13,True
19,6,39,55,16,True
1,2,40,53,13,True
9,2,40,52,12,True
16,2,41,76,35,True
12,2,42,62,20,True
17,3,42,52,10,True
0,4,43,76,33,True
10,8,46,67,21,True
18,2,47,76,29,True
2,6,49,62,13,True
11,4,49,80,31,True
12,3,49,62,13,True
13,2,49,110,61,True
0,5,50,80,30,True
7,6,50,62,12,True
12,4,50,62,12,True
3,4,53,80,27,True
1,3,54,80,26,True
7,7,56,71,15,True
1,4,57,80,23,True
0,6,61,80,19,True
12,5,61,82,21,True
17,4,63,103,40,True
1,5,67,88,21,True
14,3,67,103,36,True
10,9,68,91,23,True
11,5,68,90,22,True
8,1,70,91,21,True
8,2,72,103,31,True
5,3,73,91,18,True
19,7,74,109,35,True
15,4,77,103,26,True
17,5,77,103,26,True
16,3,79,125,46,True
5,4,80,117,37,True
14,4,80,103,23,True
4,5,81,103,22,True
15,5,81,103,22,True
1,6,82,103,21,True
7,8,83,109,26,True
7,9,87,109,22,True
2,7,89,106,17,True
7,10,89,109,20,True
0,7,90,125,35,True
11,6,92,110,18,True
15,6,93,116,23,True
7,11,94,110,16,True
11,7,94,110,16,True
15,7,96,117,21,True
17,6,96,106,10,True
14,5,98,111,13,True
6,3,101,115,14,True
2,8,102,116,14,True
7,12,102,110,8,True
0,8,103,125,22,True
16,4,104,125,21,True
19,8,107,117,10,True
4,6,108,116,8,True
17,7,109,130,21,True
4,7,111,143,32,True
11,8,112,137,25,True
2,9,113,130,17,True
10,10,115,137,22,True
8,3,116,131,15,True
9,3,116,130,14,True
15,8,118,130,12,True
19,9,119,137,18,True
9,4,122,130,8,True
10,11,124,143,19,True
8,4,125,151,26,True
4,8,126,143,17,True
7,13,126,143,17,True
18,3,126,157,31,True
19,10,130,143,13,True
9,5,131,143,12,True
16,5,131,157,26,True
18,4,131,157,26,True
19,11,131,143,12,True
11,9,132,143,11,True
13,3,132,157,25,True
17,8,133,143,10,True
1,7,135,157,22,True
3,5,136,143,7,True
11,10,136,151,15,True
8,5,137,151,14,True
14,6,138,144,6,True
5,5,140,151,11,True
7,14,140,144,4,True
12,6,140,150,10,True
3,6,141,161,20,True
6,4,141,151,10,True
10,12,142,151,9,True
15,9,142,178,36,True
13,4,143,157,14,True
18,5,145,182,37,True
6,5,146,157,11,True
15,10,146,178,32,True
9,6,147,158,11,True
13,5,147,157,10,True
17,9,148,171,23,True
5,6,149,160,11,True
14,7,149,157,8,True
17,10,149,171,22,True
1,8,151,182,31,True
14,8,151,157,6,True
15,11,151,178,27,True
11,11,154,183,29,True
18,6,155,182,27,True
0,9,157,173,16,True
7,15,157,171,14,True
8,6,158,178,20,True
2,10,160,182,22,True
5,7,160,178,18,True
13,6,160,182,22,True
16,6,160,193,33,True
13,7,161,182,21,True
1,9,162,182,20,True
19,12,163,193,30,True
6,6,165,183,18,True
10,13,165,186,21,True
1,10,166,182,16,True
2,11,166,191,25,True
4,9,166,191,25,True
16,7,166,193,27,True
18,7,167,193,26,True
10,14,168,186,18,True
0,10,169,193,24,True
13,8,169,183,14,True
5,8,172,186,14,True
3,7,175,193,18,True
2,12,176,,,False
6,7,176,197,21,True
7,16,176,191,15,True
16,8,178,,,False
9,7,179,,,False
15,12,179,,,False
8,7,183,,,False
15,13,183,,,False
1,11,184,193,9,True
18,8,184,,,False
4,10,186,,,False
14,9,187,,,False
15,14,188,,,False
6,8,189,,,False
5,9,190,,,False
1,12,191,,,False
8,8,191,,,False
0,11,192,,,False
8,9,192,,,False
11,12,192,,,False
15,15,192,,,False
11,13,195,,,False
15,16,195,,,False
10,15,196,,,False
11,14,198,,,False
10,16,199,,,False
16,9,199,,,False
