node_i,node_j,curvature
0,1,0.2857142857142858
0,3,0.10000000000000009
0,6,0.09285714285714286
0,11,0.0
0,13,0.2857142857142858
0,16,0.2499999999999999
0,18,0.2857142857142858
1,4,0.25
1,6,0.02499999999999991
1,7,0.2430555555555557
1,13,0.4821428571428572
1,14,0.25
1,16,0.3125
1,18,0.4821428571428572
2,8,0.4
2,9,0.4833333333333333
2,12,0.19999999999999984
2,15,0.4
2,17,0.1166666666666667
3,6,0.19999999999999984
3,7,-0.04444444444444473
3,11,0.44999999999999996
3,19,0.1499999999999999
4,6,0.12499999999999989
4,7,0.4583333333333335
4,12,-0.0625
4,13,0.2053571428571428
4,14,0.5625
4,17,0.02083333333333337
4,18,0.20535714285714302
5,6,-0.2666666666666666
5,8,0.25
5,9,0.16666666666666674
5,10,-0.08333333333333348
5,12,0.1166666666666667
5,15,0.24999999999999978
6,7,0.19444444444444453
6,11,0.12499999999999978
6,12,-0.15000000000000036
6,14,0.1250000000000001
6,19,0.050000000000000044
7,12,-0.11111111111111116
7,13,0.19841269841269837
7,14,0.4583333333333335
7,17,-0.02777777777777768
7,18,0.19841269841269837
8,9,0.4666666666666667
8,12,0.19999999999999996
8,15,0.6
9,12,0.25
9,15,0.4666666666666667
9,17,0.08333333333333337
10,19,0.125
11,19,0.25
12,14,-0.0625
12,15,0.19999999999999984
12,17,0.30000000000000004
13,14,0.2053571428571429
13,16,0.3035714285714286
13,18,0.5714285714285714
14,17,0.02083333333333326
14,18,0.2053571428571429
16,18,0.3035714285714286
