source,version,generation_slot,completion_slot,delay,completed
0,1,1,39,38,True
10,1,1,42,41,True
11,1,1,21,20,True
0,2,2,39,37,True
7,1,2,39,37,True
13,1,2,60,58,True
1,1,3,39,36,True
4,1,3,21,18,True
10,2,3,42,39,True
18,1,3,39,36,True
15,1,4,42,38,True
3,1,5,39,34,True
10,3,5,42,37,True
6,1,6,21,15,True
2,1,7,42,35,True
2,2,9,42,33,True
14,1,9,39,30,True
7,2,11,39,28,True
11,2,11,42,31,True
10,4,12,42,30,True
14,2,13,39,26,True
19,1,13,42,29,True
11,3,14,42,28,True
6,2,16,42,26,True
15,2,16,42,26,True
4,2,17,67,50,True
7,3,17,39,22,True
12,1,17,42,25,True
7,4,20,42,22,True
19,2,21,42,21,True
17,1,24,42,18,True
19,3,24,42,18,True
3,2,26,42,16,True
19,4,26,42,16,True
10,5,27,60,33,True
2,3,29,42,13,True
4,3,29,67,38,True
15,3,29,42,13,True
10,6,30,60,30,True
17,2,30,42,12,True
0,3,31,60,29,True
9,1,31,42,11,True
2,4,32,42,10,True
2,5,33,67,34,True
4,4,35,67,32,True
10,7,35,60,25,True
7,5,36,60,24,True
16,1,37,60,23,True
19,5,37,60,23,True
3,3,38,60,22,True
5,1,38,67,29,True
5,2,39,67,28,True
19,6,39,60,21,True
1,2,40,67,27,True
9,2,40,65,25,True
16,2,41,67,26,True
12,2,42,51,9,True
17,3,42,67,25,True
0,4,43,60,17,True
10,8,46,60,14,True
18,2,47,67,20,True
2,6,49,67,18,True
11,4,49,60,11,True
12,3,49,72,23,True
13,2,49,67,18,True
0,5,50,67,17,True
7,6,50,84,34,True
12,4,50,72,22,True
3,4,53,112,59,True
1,3,54,67,13,True
7,7,56,84,28,True
1,4,57,76,19,True
0,6,61,76,15,True
12,5,61,72,11,True
17,4,63,84,21,True
1,5,67,84,17,True
14,3,67,88,21,True
10,9,68,100,32,True
11,5,68,84,16,True
8,1,70,100,30,True
8,2,72,100,28,True
5,3,73,103,30,True
19,7,74,112,38,True
15,4,77,103,26,True
17,5,77,100,23,True
16,3,79,116,37,True
5,4,80,103,23,True
14,4,80,88,8,True
4,5,81,116,35,True
15,5,81,103,22,True
1,6,82,116,34,True
7,8,83,100,17,True
7,9,87,101,14,True
2,7,89,103,14,True
7,10,89,101,12,True
0,7,90,130,40,True
11,6,92,112,20,True
15,6,93,103,10,True
7,11,94,116,22,True
11,7,94,112,18,True
15,7,96,140,44,True
17,6,96,116,20,True
14,5,98,130,32,True
6,3,101,116,15,True
2,8,102,140,38,True
7,12,102,116,14,True
0,8,103,130,27,True
16,4,104,130,26,True
19,8,107,158,51,True
4,6,108,130,22,True
17,7,109,126,17,True
4,7,111,130,19,True
11,8,112,158,46,True
2,9,113,150,37,True
10,10,115,131,16,True
8,3,116,145,29,True
9,3,116,140,24,True
15,8,118,140,22,True
19,9,119,158,39,True
9,4,122,140,18,True
10,11,124,167,43,True
8,4,125,145,20,True
4,8,126,158,32,True
7,13,126,150,24,True
18,3,126,158,32,True
19,10,130,158,28,True
9,5,131,180,49,True
16,5,131,158,27,True
18,4,131,158,27,True
19,11,131,158,27,True
11,9,132,158,26,True
13,3,132,158,26,True
17,8,133,150,17,True
1,7,135,158,23,True
3,5,136,190,54,True
11,10,136,158,22,True
8,5,137,158,21,True
14,6,138,158,20,True
5,5,140,167,27,True
7,14,140,180,40,True
12,6,140,158,18,True
3,6,141,190,49,True
6,4,141,158,17,True
10,12,142,167,25,True
15,9,142,180,38,True
13,4,143,158,15,True
18,5,145,180,35,True
6,5,146,158,12,True
15,10,146,180,34,True
9,6,147,180,33,True
13,5,147,180,33,True
17,9,148,180,32,True
5,6,149,167,18,True
14,7,149,159,10,True
17,10,149,180,31,True
1,8,151,186,35,True
14,8,151,159,8,True
15,11,151,180,29,True
11,11,154,167,13,True
18,6,155,186,31,True
0,9,157,,,False
7,15,157,180,23,True
8,6,158,180,22,True
2,10,160,180,20,True
5,7,160,180,20,True
13,6,160,186,26,True
16,6,160,186,26,True
13,7,161,186,25,True
1,9,162,186,24,True
19,12,163,193,30,True
6,6,165,193,28,True
10,13,165,193,28,True
1,10,166,186,20,True
2,11,166,,,False
4,9,166,,,False
16,7,166,186,20,True
18,7,167,186,19,True
10,14,168,193,25,True
0,10,169,,,False
13,8,169,186,17,True
5,8,172,193,21,True
3,7,175,,,False
2,12,176,,,False
6,7,176,193,17,True
7,16,176,190,14,True
16,8,178,,,False
9,7,179,,,False
15,12,179,,,False
8,7,183,,,False
15,13,183,,,False
1,11,184,,,False
18,8,184,,,False
4,10,186,,,False
14,9,187,,,False
15,14,188,,,False
6,8,189,,,False
5,9,190,,,False
1,12,191,,,False
8,8,191,,,False
0,11,192,,,False
8,9,192,,,False
11,12,192,,,False
15,15,192,,,False
11,13,195,,,False
15,16,195,,,False
10,15,196,,,False
11,14,198,,,False
10,16,199,,,False
16,9,199,,,False
