slot,mean_version_age,max_version_age,p95_version_age,p99_version_age,top_5pct_mean_version_age,mean_time_age,num_transmitters,num_successful_decodes,num_transmitters_decoded,num_improved_cache_entries,total_version_improvement
20,1.0263157894736843,4.0,4.0,4.0,4.0,17.96578947368421,2,5,2,0,0
21,1.0052631578947369,4.0,4.0,4.0,4.0,18.568421052631578,1,6,1,15,27
22,0.9894736842105263,4.0,4.0,4.0,4.0,19.53157894736842,2,12,2,4,6
23,0.9894736842105263,4.0,4.0,4.0,4.0,20.53157894736842,0,0,0,0,0
24,1.0368421052631578,4.0,4.0,4.0,4.0,21.33684210526316,4,12,4,12,20
25,0.9289473684210526,4.0,3.0,4.0,3.9473684210526314,21.481578947368423,2,13,2,25,41
26,0.8315789473684211,4.0,4.0,4.0,4.0,21.69736842105263,5,13,4,36,75
27,0.6105263157894737,5.0,2.0,5.0,3.8421052631578947,21.057894736842105,1,10,1,52,103
28,0.5763157894736842,5.0,2.0,5.0,3.736842105263158,21.889473684210525,5,12,5,8,13
29,0.7210526315789474,5.0,3.0,5.0,4.0,22.873684210526317,2,9,2,2,2
30,0.7947368421052632,6.0,3.0,6.0,4.2631578947368425,23.542105263157893,2,12,2,6,10
31,0.8342105263157895,6.0,3.0,4.419999999999959,4.105263157894737,23.486842105263158,3,12,3,15,23
32,0.8447368421052631,6.0,3.0,4.0,4.105263157894737,24.071052631578947,1,5,1,7,15
33,0.8947368421052632,6.0,3.0,5.0,4.2631578947368425,25.071052631578947,0,0,0,0,0
34,0.7947368421052632,6.0,3.0,5.0,4.105263157894737,25.342105263157894,2,10,2,22,38
35,0.7526315789473684,7.0,3.0,4.0,3.473684210526316,25.278947368421054,4,10,4,27,54
36,0.75,7.0,3.0,4.0,3.526315789473684,25.542105263157893,1,10,1,16,20
37,0.7631578947368421,7.0,3.0,5.0,3.6315789473684212,25.068421052631578,1,10,1,24,33
38,0.8631578947368421,7.0,3.0,5.0,3.6315789473684212,26.068421052631578,0,0,0,0,0
39,0.8736842105263158,7.0,3.0,3.0,3.473684210526316,26.326315789473686,1,4,1,17,34
40,0.9631578947368421,7.0,3.0,3.0,3.473684210526316,26.936842105263157,1,4,1,4,4
41,0.9473684210526315,7.0,3.0,3.0,3.473684210526316,26.857894736842105,4,14,3,22,25
42,0.9394736842105263,3.0,3.0,3.0,3.0,26.71578947368421,2,9,2,22,41
43,0.9342105263157895,3.0,3.0,3.0,3.0,26.68421052631579,5,13,5,17,21
44,0.9026315789473685,3.0,3.0,3.0,3.0,27.039473684210527,3,12,3,11,12
45,0.8315789473684211,3.0,3.0,3.0,3.0,27.11315789473684,4,11,3,20,27
46,0.8710526315789474,4.0,3.0,4.0,3.8947368421052633,28.071052631578947,1,4,1,4,4
47,0.8578947368421053,4.0,3.0,4.0,3.8947368421052633,28.16578947368421,3,12,3,16,24
48,0.8421052631578947,4.0,3.0,4.0,3.8947368421052633,28.91315789473684,5,10,4,6,6
49,1.0078947368421052,4.0,3.0,4.0,3.8947368421052633,29.53157894736842,2,10,2,13,13
50,1.1473684210526316,4.0,3.0,4.0,3.8947368421052633,30.21315789473684,5,11,5,4,4
51,1.068421052631579,4.0,3.0,4.0,3.736842105263158,29.902631578947368,2,8,2,20,30
52,1.068421052631579,4.0,3.0,4.0,3.736842105263158,30.902631578947368,1,5,1,0,0
53,1.0421052631578946,4.0,3.0,4.0,3.526315789473684,30.82894736842105,2,12,2,16,29
54,1.0921052631578947,4.0,3.0,4.0,3.526315789473684,31.82894736842105,1,4,1,0,0
55,0.9710526315789474,4.0,3.0,3.2099999999999795,3.210526315789474,31.102631578947367,3,11,3,22,46
56,0.9552631578947368,4.0,3.0,3.2099999999999795,3.210526315789474,30.57894736842105,4,12,4,19,25
