node_i,node_j,is_inter_cluster
0,1,False
0,3,False
0,6,False
0,11,False
0,13,False
0,16,False
0,18,False
1,4,False
1,6,False
1,7,False
1,13,False
1,14,False
1,16,False
1,18,False
2,8,False
2,9,False
2,12,False
2,15,False
2,17,False
3,6,False
3,7,False
3,11,False
3,19,False
4,6,False
4,7,False
4,12,False
4,13,False
4,14,False
4,17,False
4,18,False
5,6,False
5,8,False
5,9,False
5,10,False
5,12,False
5,15,False
6,7,False
6,11,False
6,12,False
6,14,False
6,19,False
7,12,False
7,13,False
7,14,False
7,17,False
7,18,False
8,9,False
8,12,False
8,15,False
9,12,False
9,15,False
9,17,False
10,19,False
11,19,False
12,14,False
12,15,False
12,17,False
13,14,False
13,16,False
13,18,False
14,17,False
14,18,False
16,18,False
